x,y
2666475,1258597
2666575,1258597
2666675,1258597
2666775,1258597
2666875,1258597
2666975,1258597
2667075,1258597
2667175,1258597
2667275,1258597
2667375,1258597
2667475,1258597
2667575,1258597
2667675,1258597
2667775,1258597
2667875,1258597
2667975,1258597
2668075,1258597
2668175,1258597
2668275,1258597
2668375,1258597
2668475,1258597
2668575,1258597
2668675,1258597
2668775,1258597
2668875,1258597
2668975,1258597
2669075,1258597
2669175,1258597
2669275,1258597
2669375,1258597
2669475,1258597
2669575,1258597
2669675,1258597
2669775,1258597
2669875,1258597
2669975,1258597
2670075,1258597
2670175,1258597
2670275,1258597
2670375,1258597
2670475,1258597
2670575,1258597
2670675,1258597
2670775,1258597
2670875,1258597
2670975,1258597
2671075,1258597
2671175,1258597
2671275,1258597
2671375,1258597
2671475,1258597
2671575,1258597
2671675,1258597
2671775,1258597
2671875,1258597
2671975,1258597
2672075,1258597
2672175,1258597
2672275,1258597
2672375,1258597
2672475,1258597
2672575,1258597
2672675,1258597
2672775,1258597
2672875,1258597
2672975,1258597
2673075,1258597
2673175,1258597
2673275,1258597
2673375,1258597
2673475,1258597
2673575,1258597
2673675,1258597
2673775,1258597
2673875,1258597
2673975,1258597
2674075,1258597
2674175,1258597
2674275,1258597
2674375,1258597
2674475,1258597
2674575,1258597
2674675,1258597
2674775,1258597
2674875,1258597
2674975,1258597
2675075,1258597
2675175,1258597
2675275,1258597
2675375,1258597
2675475,1258597
2675575,1258597
2675675,1258597
2675775,1258597
2675875,1258597
2675975,1258597
2676075,1258597
2676175,1258597
2676275,1258597
2676375,1258597
2676475,1258597
2676575,1258597
2676675,1258597
2676775,1258597
2676875,1258597
2676975,1258597
2677075,1258597
2677175,1258597
2677275,1258597
2677375,1258597
2677475,1258597
2677575,1258597
2677675,1258597
2677775,1258597
2677875,1258597
2677975,1258597
2678075,1258597
2678175,1258597
2678275,1258597
2678375,1258597
2678475,1258597
2678575,1258597
2678675,1258597
2678775,1258597
2678875,1258597
2678975,1258597
2679075,1258597
2679175,1258597
2679275,1258597
2679375,1258597
2679475,1258597
2679575,1258597
2679675,1258597
2679775,1258597
2679875,1258597
2679975,1258597
2680075,1258597
2680175,1258597
2680275,1258597
2680375,1258597
2680475,1258597
2680575,1258597
2680675,1258597
2680775,1258597
2680875,1258597
2680975,1258597
2681075,1258597
2681175,1258597
2681275,1258597
2681375,1258597
2681475,1258597
2681575,1258597
2681675,1258597
2681775,1258597
2681875,1258597
2681975,1258597
2682075,1258597
2682175,1258597
2682275,1258597
2682375,1258597
2682475,1258597
2682575,1258597
2682675,1258597
2682775,1258597
2682875,1258597
2682975,1258597
2683075,1258597
2683175,1258597
2683275,1258597
2683375,1258597
2683475,1258597
2683575,1258597
2683675,1258597
2683775,1258597
2683875,1258597
2683975,1258597
2684075,1258597
2684175,1258597
2684275,1258597
2684375,1258597
2684475,1258597
2684575,1258597
2684675,1258597
2684775,1258597
2684875,1258597
2684975,1258597
2685075,1258597
2685175,1258597
2685275,1258597
2685375,1258597
2685475,1258597
2685575,1258597
2685675,1258597
2685775,1258597
2685875,1258597
2685975,1258597
2686075,1258597
2686175,1258597
2686275,1258597
2686375,1258597
2686475,1258597
2686575,1258597
2686675,1258597
2686775,1258597
2686875,1258597
2686975,1258597
2687075,1258597
2687175,1258597
2687275,1258597
2687375,1258597
2687475,1258597
2687575,1258597
2687675,1258597
2687775,1258597
2687875,1258597
2687975,1258597
2688075,1258597
2688175,1258597
2688275,1258597
2688375,1258597
2688475,1258597
2688575,1258597
2688675,1258597
2688775,1258597
2688875,1258597
2688975,1258597
2689075,1258597
2689175,1258597
2689275,1258597
2689375,1258597
2689475,1258597
2689575,1258597
2689675,1258597
2689775,1258597
