Station_name,spatial_CV,CV,dist_nearest_road_bysite,dist_nearest_mainroad_bysite,OBJECTID_all,DTV_all,StreetType_all,OBJECTID_main,DTV_main,StreetType_main,geometry
Baden-Schönaustrasse,3,3,1.31654003553025,158.503386079786,605410,3,"Erschliessungsstrasse, innero*",605069,13950,"Hauptstrasse, innerorts","c(2666075, 1257972)"
Lustenau Wiesenrain,1,5,149.125618186179,401.95491262672,1009103,3430,"Verbindungsstrasse, ausserorts",1011337,16140,Autobahn,"c(2767146, 1253330)"
Bern-Bollwerk,1,4,12.0809393483434,12.0809393483434,318690,8941.38,"Verbindungsstrasse, innerorts",318690,8941.38,"Verbindungsstrasse, innerorts","c(2600170, 1199990)"
Biel-Bienne,1,2,37.7645310914418,37.7645310914418,288564,10696.35,"Hauptstrasse, innerorts",288564,10696.35,"Hauptstrasse, innerorts","c(2586025, 1221660)"
Bern-Wankdorf,1,2,23.5077088377652,23.5077088377652,320001,20823.58,"Hauptstrasse, innerorts",320001,20823.58,"Hauptstrasse, innerorts","c(2602040, 1201565)"
Ittigen,1,4,116.794013967968,116.794013967968,320205,5477.19,"Verbindungsstrasse, innerorts",320205,5477.19,"Verbindungsstrasse, innerorts","c(2603050, 1202815)"
Jungfraujoch,1,4,6220.93051882192,9214.27586411498,462595,282.735,"Verbindungsstrasse, innerorts",463009,5720,"Erschliessungsstrasse, innero*","c(2641910, 1155280)"
Langenthal,5,4,39.1626840878992,110.519545784644,439024,1595.76,"Sammelstrasse, innerorts",439050,8860.86,"Hauptstrasse, innerorts","c(2626340, 1228935)"
Bern-Morgartenstrasse,1,1,35.8576522146427,205.288160384884,319775,42.09,"Erschliessungsstrasse, innero*",319708,14070.87,"Hauptstrasse, innerorts","c(2601818, 1201338)"
Thun-Bälliz,1,5,19.9153674406812,19.9153674406812,346063,10462.11,"Verbindungsstrasse, innerorts",346063,10462.11,"Verbindungsstrasse, innerorts","c(2614380, 1178750)"
Thun-Pestalozzi,1,5,45.1751319699556,374.488624659557,347613,2443.97,"Verbindungsstrasse, innerorts",394475,18418.04,"Hauptstrasse, innerorts","c(2614075, 1178160)"
Basel-Binningen,5,1,222.648804175305,224.176109242722,383458,360,"Erschliessungsstrasse, innero*",383446,8289,"Hauptstrasse, innerorts","c(2610890, 1265605)"
Muttenz-Hard-A2,5,3,12.6231842443235,12.6231842443235,419325,55285,Autobahn,419325,55285,Autobahn,"c(2615780, 1265295)"
Basel-Feldbergstrasse,5,4,13.6350519028947,13.6350519028947,386780,16168,"Hauptstrasse, innerorts",386780,16168,"Hauptstrasse, innerorts","c(2611745, 1268490)"
Basel-St-Johann,5,3,11.6148289482627,19.7332422641098,386263,83,"Erschliessungsstrasse, innero*",385845,6793,"Verbindungsstrasse, innerorts","c(2610795, 1268365)"
Bulle-Rue-de-Vevey,4,3,14.0841589646508,139.804470600054,190436,3098,"Verbindungsstrasse, innerorts",190378,21372,"Verbindungsstrasse, innerorts","c(2570695, 1162924)"
Fribourg-Chamblioux,1,5,7.22001908694044,7.22001908694044,240305,6490,"Verbindungsstrasse, innerorts",240305,6490,"Verbindungsstrasse, innerorts","c(2577125, 1184538)"
Fribourg-Parc-Pérolles,1,2,12.6000000021886,87.7588738994786,241203,160,"Erschliessungsstrasse, innero*",241169,8750,"Hauptstrasse, innerorts","c(2578181, 1182941)"
Thônex-Foron,5,1,7.73937262202434,9.05960467610356,14606,320,"Erschliessungsstrasse, innero*",14508,5490,"Verbindungsstrasse, innerorts","c(2505254, 1116758)"
Meyrin-Vaudagne,5,2,21.7802754526349,21.7802754526349,3514,6560,"Verbindungsstrasse, innerorts",3514,6560,"Verbindungsstrasse, innerorts","c(2494742, 1120874)"
Genève-Necker,5,1,3.0626728869218,37.2121227968998,12520,80,"Erschliessungsstrasse, innero*",12794,5743.5,"Hauptstrasse, innerorts","c(2499864, 1118200)"
Avully-Passeiry,5,4,156.275487449829,1001.59925119783,420,2560,"Verbindungsstrasse, ausserorts",556,8433,"Hauptstrasse, ausserorts","c(2489281, 1113355)"
Chur-A13,1,4,11.7755746954706,11.7755746954706,975766,10119.5,Autobahn,975766,10119.5,Autobahn,"c(2757725, 1191375)"
Chur-RhB,1,4,41.9980151704686,148.543932895665,976464,1580,"Sammelstrasse, innerorts",976661,6470,"Verbindungsstrasse, innerorts","c(2759645, 1191105)"
Davos-Seehornwald,1,4,461.023851366753,674.664197953047,1020893,1390,"Hauptstrasse, ausserorts",1020894,5902,"Hauptstrasse, ausserorts","c(2784450, 1187735)"
Davos-Promenade,1,4,44.5231221858271,2389.97274043226,1015891,4460,"Hauptstrasse, innerorts",1020849,5902,"Hauptstrasse, innerorts","c(2781957, 1185583)"
Mesocco-A13,2,2,5.52862711226146,9.36002136750792,911023,2421,"Verbindungsstrasse, innerorts",911330,5978,Autostrasse,"c(2738060, 1139050)"
Rothenbrunnen-A13,1,4,14.4705989410171,14.4705989410171,943842,13742,Autostrasse,943842,13742,Autostrasse,"c(2751540, 1181150)"
San-Vittore,2,3,6.67235547050058,746.748579079671,873516,2604,"Verbindungsstrasse, innerorts",872320,5875.5,Autobahn,"c(2728549, 1122183)"
Delémont,5,5,8.18041345895414,255.638807689259,293986,990,"Sammelstrasse, innerorts",295045,7823,"Verbindungsstrasse, innerorts","c(2593500, 1246050)"
Beromünster,5,3,170.550784229953,1223.15404062419,546289,90,"Erschliessungsstrasse, ausser*",546082,7179,"Hauptstrasse, ausserorts","c(2655840, 1226780)"
Ebikon-Sedel,4,5,236.545006287978,274.833222156398,581796,80,"Erschliessungsstrasse, ausser*",579809,18827,"Verbindungsstrasse, ausserorts","c(2665480, 1213325)"
Luzern-Moosstrasse,4,5,4.84922068819998,27.4993041756874,581197,190,"Sammelstrasse, innerorts",581202,16010,"Hauptstrasse, innerorts","c(2665789, 1210898)"
Reiden-A2,5,5,18.2198923931495,18.2198923931495,476602,23160,Autobahn,476602,23160,Autobahn,"c(2639560, 1232110)"
Chaumont,4,1,143.864782884805,2867.40071841944,206146,396,"Verbindungsstrasse, ausserorts",167257,5248,"Verbindungsstrasse, innerorts","c(2565090, 1211040)"
La-Chaux-de-Fonds,4,2,16.943445419243,101.728726406714,125565,2651,"Erschliessungsstrasse, innero*",125749,10994,"Hauptstrasse, innerorts","c(2553467, 1216963)"
Le-Landeron,4,4,2.00677460666219,760.605790700747,208807,38,"Erschliessungsstrasse, ausser*",208805,6931,"Erschliessungsstrasse, ausser*","c(2571175, 1210800)"
Le-Locle,4,5,2.38387196763808,17.7671553301216,123500,192,"Erschliessungsstrasse, innero*",123444,18696,"Hauptstrasse, innerorts","c(2548581, 1212842)"
Neuchâtel,4,1,6.11094493263764,12.964695223689,162510,1089,"Erschliessungsstrasse, innero*",162512,11683,"Verbindungsstrasse, innerorts","c(2561518, 1204935)"
St-Gallen-Blumenbergplatz,3,3,1.90953365107822,1.90953365107822,958400,9900,"Hauptstrasse, innerorts",958400,9900,"Hauptstrasse, innerorts","c(2746011, 1254720)"
Rapperswil-Tüchelweier,3,2,10.3304799577916,10.3304799577916,783594,10854,"Hauptstrasse, innerorts",783594,10854,"Hauptstrasse, innerorts","c(2704856, 1231660)"
St-Gallen-Stuelegg,1,5,369.211335146957,1248.34300174289,959632,90,"Erschliessungsstrasse, ausser*",957767,6510,"Verbindungsstrasse, innerorts","c(2747601, 1252530)"
Neuhausen-Schaffhauserstrasse,3,1,3.72766844611656,9.97049821931613,708282,160,"Erschliessungsstrasse, innero*",708191,14010,"Hauptstrasse, ausserorts","c(2688816, 1282412)"
Dornach-Schulhaus-Brühl,5,1,12.0594363954242,311.139839946129,379646,650,"Sammelstrasse, innerorts",379588,5080,"Verbindungsstrasse, innerorts","c(2613144, 1258911)"
