layers,neurons,epochs,batch.size,regularization,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
1,5,20,5,NA,40.73847180884841,38.594389995852936,4.96083654501403,5.009879041908006,0.5345736868618701,0.5596787126989545
2,5,20,5,NA,467.9778354918694,43.259235286896846,19.527732945496417,5.125385583149778,3.914483748957341e-4,0.5171643057271179
3,5,20,5,NA,28.340443739415665,203.53393016213593,4.087699182274056,10.779082217793277,0.676216884411672,0.10480252043812323
4,5,20,5,NA,40.067984521291315,52.221093253170466,4.800978176458577,5.638040914291758,0.5406706599856098,0.43817472469511687
1,10,20,5,NA,21.470550310317368,38.14789060085403,3.442409899722523,4.865065818811396,0.7610857082118189,0.5644118994090974
2,10,20,5,NA,27.419560330285798,34.40359289959894,4.132022574475971,4.6101397272686055,0.6881210472714575,0.6035999810271943
3,10,20,5,NA,25.07169813864713,32.95213149347968,3.846880566611446,4.563404102891499,0.7118708820027602,0.6200088863565469
4,10,20,5,NA,30.679219958719656,33.43729462270223,4.290542856595735,4.5315111861280775,0.6538175757576027,0.6144030413326397
1,15,20,5,NA,24.98031003971338,33.24459923145837,3.799317655744926,4.408139530291791,0.7130835704223731,0.6179717599064865
2,15,20,5,NA,26.58153680419701,28.636478361451903,3.882363110604909,4.2138885559300885,0.6997489766599778,0.6705662131365236
3,15,20,5,NA,20.56609953983073,31.236775179673494,3.3754437091772056,4.419585887218218,0.7663848406329137,0.6404428881157449
4,15,20,5,NA,21.112233011108234,30.717630230813764,3.5588306315313534,4.243612268461548,0.7588107759607267,0.6479319230570992
1,30,20,5,NA,21.110018502898445,33.53458322105684,3.4179524007809463,4.487142127727559,0.7579115227384431,0.6135219365091684
2,30,20,5,NA,18.54812788521972,30.02456644020096,3.097189739624449,4.115989715577846,0.7871140137919245,0.6574407615759067
3,30,20,5,NA,20.525792836033514,27.48520608718151,3.3818473091169023,3.942275809020228,0.7699424267068126,0.6867750256633269
4,30,20,5,NA,20.822759858640588,32.014919184951665,3.3908389606926272,4.373401577903855,0.7612773148880282,0.6343367566771679
1,50,20,5,NA,17.829595787034027,28.36280043360011,3.1354186500171948,4.080329320228198,0.8007941394381783,0.6746017231545836
2,50,20,5,NA,19.055440786674854,27.77423250286522,3.3042188315915864,4.026839457747136,0.7837325924033713,0.68328602016157
3,50,20,5,NA,14.764806402418168,30.148732079622935,2.7976445835091726,4.192212756256252,0.8320223549081591,0.6523724985981818
4,50,20,5,NA,14.98278270036936,32.64031933517805,2.8896490609226126,4.349537565510492,0.8346668823939756,0.6330911965272377
1,100,20,5,NA,16.642278710791537,31.483006666755447,3.0320402672380022,4.271919566396518,0.8150625921084653,0.645083287714744
2,100,20,5,NA,16.5842416119568,29.990093469885327,3.046211056159517,4.255597509477425,0.8185404434315035,0.6620913803099466
3,100,20,5,NA,14.606467657218607,31.189077778808695,2.991476989976733,4.095298422114772,0.8918618829948018,0.6484316627105939
4,100,20,5,NA,9.015551331996836,32.323947566346746,1.9842103914227962,4.469508018426231,0.902938626148444,0.6545495722327838
1,5,30,5,NA,30.856441167955417,32.62636134885958,4.301352240106834,4.478458291068189,0.6447714737205522,0.6240214884641538
2,5,30,5,NA,23.273970217548488,119.09095748000588,3.7302207904991564,7.710863077864679,0.7339681768662136,0.2190121125462847
3,5,30,5,NA,29.834575192566053,120.66072808540194,4.2198206073698,7.8444634569467055,0.66015656050637594,0.21838067455449472
4,5,30,5,NA,26.633751959046243,35.61706948700841,4.038757046958262,4.651942387367412,0.7023142262558771,0.589738439686287
1,10,30,5,NA,20.129160873945438,30.716253422041834,3.415466251052891,4.279028719283474,0.7693990962979034,0.6458887793635805
2,10,30,5,NA,25.20783937440706,31.303838358729678,3.8703995012863333,4.357936687257368,0.7188059788877463,0.6397336041800629
3,10,30,5,NA,20.608809132064103,31.181169316491754,3.3019279389616636,4.248886402083145,0.7649195715278756,0.6405881016846016
4,10,30,5,NA,23.244473701440796,29.52793379860353,3.632006400894263,4.230404749108989,0.7330291987481061,0.6596296307313343
1,15,30,5,NA,21.235365078072757,29.563920473543924,3.4672494059730057,4.265524158789027,0.7557584410735662,0.659362454552851
2,15,30,5,NA,20.783645740972783,31.054769974831196,3.414467158994549,4.355316681326779,0.7611436964841157,0.6501754075529592
3,15,30,5,NA,19.396989709405005,30.864031181342245,3.3899622115180703,4.301507097648765,0.7785197997305741,0.6460542007108624
4,15,30,5,NA,17.142356970498177,29.675921831094502,3.0448864666333835,4.22838880213892,0.8045818006870843,0.6580447501931518
1,30,30,5,NA,19.587608813534967,30.80513181328878,3.385174531883651,4.268533467040238,0.7755424448690004,0.6456759078114364
2,30,30,5,NA,14.859206397257378,29.785134589387695,2.9023104412679053,4.283294089057885,0.8309387636072733,0.6602422687738354
3,30,30,5,NA,18.932459540623224,31.922402876929706,3.2964592263649783,4.281018856788085,0.7937783833690477,0.6363440635595532
4,30,30,5,NA,15.8721710615975,29.94458551995207,3.0043431739796813,4.054299127509981,0.8215690746622764,0.6558580569945281
1,50,30,5,NA,15.63813874139637,27.93865080101942,2.79306876504827,4.008134203328366,0.8208145587963505,0.6793891250271739
2,50,30,5,NA,16.556702081630217,29.848154199522014,2.98245955486638,4.192772397656555,0.8648448174638266,0.6632509063436162
3,50,30,5,NA,9.435829922252154,31.565730617540716,2.133130998300953,4.20764686275725,0.8962410949833084,0.6473096383322293
4,50,30,5,NA,8.526648921276534,32.73634161771083,2.054039083487685,4.324593437335152,0.9110680768494317,0.6380303838481926
1,100,30,5,NA,16.258028692226624,29.13905525536383,2.919760345139853,4.124105174759141,0.8231083049413371,0.667181620665782
2,100,30,5,NA,9.127419519748912,32.82515658249482,2.098706765951495,4.405097316544277,0.8963216754508323,0.6342564386019078
3,100,30,5,NA,10.385628925659251,34.195041065741925,2.386583840476503,4.389151442214595,0.9215432766818129,0.6205004685674708
4,100,30,5,NA,8.224110131114697,34.510499406507805,1.8692944613745608,4.460685726741433,0.909273655617574,0.6329707279208421
1,5,50,5,NA,25.196504678643915,30.019003242133746,3.8106508569217414,4.1463770986480375,0.7100566706060581,0.6545796156138272
2,5,50,5,NA,20.373907870111843,29.711852592682337,3.2046092715549865,4.176661487190123,0.7709775140642999,0.657621859526316
3,5,50,5,NA,457.9183826813661,204.12239459463586,19.272236123006223,10.388167273974982,0.04591097027608072,0.08090933019115762
4,5,50,5,NA,23.678888369474816,31.64309963636652,3.5294758802807467,4.3824111310972205,0.7272278686506175,0.6354377053714115
1,10,50,5,NA,19.93532121309609,32.070988639586034,3.372262249800982,4.34624967382304,0.7710469947559413,0.6338194149235761
2,10,50,5,NA,20.927187633682472,29.690216083115555,3.40222655542018,4.135293121992072,0.7588276976427495,0.6596798764354982
3,10,50,5,NA,19.39795049892058,27.528520118389714,3.338201109032173,4.009781534900488,0.777586736859408,0.6825589568167576
4,10,50,5,NA,23.067974183068728,30.99398507898067,3.614187667054888,4.288170506299315,0.7350607669279944,0.6436669636861596
1,15,50,5,NA,16.142574850020726,30.707497074248554,2.9539355575034745,4.219521283044274,0.8148729519574798,0.6525488652398647
2,15,50,5,NA,13.990357805255938,31.533358158544655,2.7035718493727816,4.245362143988558,0.8448792538849168,0.6408106249374138
3,15,50,5,NA,13.541280218316231,27.328924724681,2.742248184916887,3.850699795450809,0.8564555382984901,0.6863307950946436
4,15,50,5,NA,13.18519674091726,31.77056634856834,2.6627326725903435,4.21228661421408,0.8483853138686317,0.6460801957132852
1,30,50,5,NA,12.954828474334697,29.596555013771574,2.6705066592562914,4.087801501683579,0.8521845549864968,0.6637268212315147
2,30,50,5,NA,11.650227263805123,29.313913016598967,2.5017191810845083,4.119488319847566,0.8656337920499514,0.6723664348798822
3,30,50,5,NA,13.103872948315841,30.262554275352922,2.86764874187898,4.081626185039041,0.8987733253900803,0.6661829366169093
4,30,50,5,NA,9.96845441583506,33.62196339449324,2.3664644938828845,4.2914033159861615,0.8856002963841965,0.627460465470705
1,50,50,5,NA,13.056719510295018,30.04702046244723,2.727169249537935,4.219793570850589,0.8514672700456873,0.6622551746536626
2,50,50,5,NA,9.693804931805207,36.11733041711717,2.199006309677263,4.606023585489148,0.8891471306292019,0.604723299155096
3,50,50,5,NA,8.25684427298017,33.98223010196797,1.5843256028607435,4.630933562675959,0.907884007836039,0.641070081902251
4,50,50,5,NA,7.074709575383944,38.1451421787577,1.390350145218296,4.831345039112765,0.9194232103638904,0.6033832476544172
1,100,50,5,NA,11.310697885197799,29.935059380773108,2.516329413992822,4.154075595802442,0.874821514114516,0.6682063976473424
2,100,50,5,NA,6.49551145247414,32.20066311562559,1.432923376120661,4.266797077406105,0.9267583210446886,0.6511640543430922
3,100,50,5,NA,5.607002878125397,33.3712388143849,1.1947789028897713,4.497959640005381,0.9361429192901466,0.6433430064481057
4,100,50,5,NA,6.788863512347025,32.7609889510876,1.4852462780964093,4.4896627136792,0.9254254631511625,0.6445675990409887
1,5,20,10,NA,58.624171379225146,55.53957904589411,5.72938945696154,5.8062497179599415,0.48458648826282297,0.42313718475356704
2,5,20,10,NA,50.00235988559318,47.674315295682476,5.399097667035315,5.2611124879817766,0.47639551406881764,0.49556432885482626
3,5,20,10,NA,123.65484503529102,52.685519087301735,8.83854742910474,5.749130796961015,0.44548407899657266,0.46130509945856396
