layers,neurons,epochs,batch.size,regularization,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
1,5,20,5,NA,28.448457675311797,38.27440800679034,4.028891809410728,4.821653424877433,0.6732531621097837,0.568758174171595
2,5,20,5,NA,27.94416398520937,97.32828700540684,4.001500305655637,7.0274855203601145,0.6842592336422021,0.30187775779020304
3,5,20,5,NA,32.298207517487484,38.661169209216105,4.393945289511366,4.899160087850048,0.6280934724734586,0.5594859543203929
4,5,20,5,NA,32.27375447456975,39.232596011419524,4.262326270976757,4.8839760787440545,0.6467329475964311,0.5560637532180885
1,10,20,5,NA,27.730746194933502,32.049613151356944,3.893283804572745,4.496377080324546,0.680861996740276,0.634915254261617
2,10,20,5,NA,24.27763269828683,35.33547111121557,3.5385972937815064,4.700499838055365,0.722485028010516,0.5947207850912575
3,10,20,5,NA,25.329461584360093,32.82312606030653,3.504047209370069,4.444209518537542,0.7159750474566452,0.6236139881945265
4,10,20,5,NA,29.357154431148306,38.778850180257955,4.096926448904472,4.886302799961659,0.666464352391559,0.5563471620483098
1,15,20,5,NA,23.3887823464772,34.16625905472631,3.40862378853852,4.556947127635766,0.73275759278942,0.626937731313921
2,15,20,5,NA,23.875638455004275,30.312668026795183,3.4295822369805467,4.34709902236383,0.7264873678356848,0.6508065793102151
3,15,20,5,NA,21.696166919587487,31.34026554514885,3.290557634281705,4.273018281139869,0.7500816686403811,0.6424007225343206
4,15,20,5,NA,24.555109950955462,30.583663422779377,3.5075236824312177,4.23732066902739,0.7404003137629519,0.6497653210675441
1,30,20,5,NA,21.13417880068791,30.002894808363425,3.2074737162956914,4.36353321652299,0.7563243702033079,0.6578301833831411
2,30,20,5,NA,21.971093347595538,29.75282871226585,3.4231354688703077,4.186162292803833,0.759863774052203,0.6610540578619368
3,30,20,5,NA,19.711412399192003,28.265653128550582,3.0594095269201693,4.09979818746361,0.7756185899617594,0.6775320450372911
4,30,20,5,NA,23.548253669954395,28.940877420676863,3.5483956621304107,4.1684268160372495,0.7596299326528683,0.6690666622303916
1,50,20,5,NA,20.9066102880241,29.48203995434471,3.190305287868259,4.230978443373302,0.7623278106130662,0.6701652584585415
2,50,20,5,NA,18.904565120345282,30.098997499413727,2.8300660139093194,4.132407486101979,0.7883103313827673,0.656985836754467
3,50,20,5,NA,15.90286244760504,32.599013592832826,2.7050297394712772,4.28075443627506,0.8188595247582886,0.633375835666417
4,50,20,5,NA,17.260989443977785,35.689747639031474,2.8622395019564424,4.67775919914167,0.8321903045539266,0.6102716832150658
1,100,20,5,NA,23.50687307303829,30.44154545445766,3.397816631751616,4.129485743096867,0.7849070753235985,0.6650320563601101
2,100,20,5,NA,16.044033866098232,29.03754479739291,2.6869509879429887,4.0893111110841165,0.8300681598451661,0.6725191196742684
3,100,20,5,NA,23.69805818865306,30.038978024567356,3.5872392982460304,4.156375969956211,0.7949290202446023,0.6572285716934245
4,100,20,5,NA,14.27847076871221,29.425813733400283,2.4788879063502063,4.060507056085571,0.845227476006906,0.6743244959800131
