layers,neurons,epochs,batch.size,regularization,regularization_factor,garson_selection,dropout_rate,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
1,5,25,3,NA,0.001,NA,0,28.570710123914534,32.011161476967345,4.167443057807871,4.402926816238812,0.6723569195186674,0.6329884237505516
2,5,25,3,NA,0.001,NA,0,30.01817970860304,131.09640235723776,3.9884019389807093,7.9227141372014565,0.7329921729969698,0.18649628979470712
3,5,25,3,NA,0.001,NA,0,25.29933471238017,34.75517566481106,3.6742569029139265,4.589840826921681,0.7072295684006328,0.5988109730723121
4,5,25,3,NA,0.001,NA,0,27.86286473326541,33.47552193441281,4.019174564981417,4.470565223912468,0.6834159181270522,0.6138050433257058
1,10,25,3,NA,0.001,NA,0,19.966217147400542,33.16374805841776,3.0514180567707707,4.5033265051842735,0.7748439121234819,0.6234232604356825
2,10,25,3,NA,0.001,NA,0,28.095854308845933,30.523185714101007,3.9096361316456263,4.271299351686198,0.7104811500058862,0.6487164937871132
3,10,25,3,NA,0.001,NA,0,23.508174511680544,28.690635414818075,3.2842976637724157,3.98579506215909,0.7542799358488299,0.6695736685667631
4,10,25,3,NA,0.001,NA,0,24.16982979858418,32.493704500332235,3.393057391712067,4.370745701453066,0.7672414779854462,0.6256088831560102
1,20,25,3,NA,0.001,NA,0,22.45669534626675,30.350603429619866,3.328135615370589,4.236621189500382,0.7440142780428393,0.6511375273930547
2,20,25,3,NA,0.001,NA,0,23.752598130487435,32.00424363321244,3.358433861339153,4.3063900364376195,0.7773378978073846,0.6435433998438405
3,20,25,3,NA,0.001,NA,0,20.134772755873538,32.91481440734554,3.1938744482956216,4.403171141931864,0.7699663004903563,0.6217565409244379
4,20,25,3,NA,0.001,NA,0,20.253614934754815,31.561698335875068,2.9663283255949264,4.388204027669196,0.7846463622242983,0.6396777948613462
1,30,25,3,NA,0.001,NA,0,21.582080111580755,29.932284628240442,3.225880030788791,4.219891176641951,0.7538739871782643,0.6596825740190999
2,30,25,3,NA,0.001,NA,0,14.567181736573534,30.428669496825883,2.4690521682044366,4.10914447273968,0.8326022464532227,0.6544433543087063
3,30,25,3,NA,0.001,NA,0,18.077858255034716,28.67619894683758,2.7518230433262367,4.2174256442760285,0.8275355254801396,0.6745095658747644
4,30,25,3,NA,0.001,NA,0,22.286969079938206,32.111749726942236,3.577956309956307,4.381861432852501,0.7471816827134465,0.6351555871388458
1,50,25,3,NA,0.001,NA,0,18.623566544175144,29.718599566224793,2.816050531349834,4.136829221267676,0.7837566216037337,0.6627610619553055
2,50,25,3,NA,0.001,NA,0,16.292041301402723,34.9032510292556,2.760943430400118,4.420276095543681,0.8161123286700431,0.6103481705642863
3,50,25,3,NA,0.001,NA,0,15.977250491099573,31.534360391724828,2.635912660294139,4.267290160254709,0.8366318400569885,0.6376110356083885
4,50,25,3,NA,0.001,NA,0,17.32847771296324,32.24745102983188,2.7541998311273854,4.417371208299285,0.8394241827174682,0.6316663105863497
