layers,neurons,epochs,batch.size,regularization,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
1,5,30,3,NA,25.77367297129022,35.567581656594,3.63460454351096,4.65023810413825,0.7036604527850296,0.5961732316952999
2,5,30,3,NA,32.80718746207955,35.187456562259264,4.3209558527402825,4.631376936479097,0.6225258479725004,0.5978512284745491
3,5,30,3,NA,24.265271972261694,32.74207099868001,3.5504113333597744,4.366326516792971,0.7264401099323258,0.6239045370075256
4,5,30,3,NA,22.792619572575184,36.7794922753405,3.3714800273798575,4.55195640426141,0.7373367307167646,0.5835472475808144
1,10,30,3,NA,21.953881737932438,35.67008412850748,3.3092485365944975,4.576554156675328,0.7471681256721213,0.6002962607707759
2,10,30,3,NA,21.756672683425766,34.61097270409997,3.1519542545526744,4.485381069135579,0.7503339742564551,0.6071428624993739
3,10,30,3,NA,21.427150054524553,36.73004140556305,3.3284889904978376,4.6213146032886865,0.7533858099690902,0.5895770430726134
4,10,30,3,NA,20.687502919686004,31.232280333933563,3.1150007342776234,4.27872744047676,0.7621279288720006,0.6421510300772217
1,15,30,3,NA,22.310443077367843,35.62015413174579,3.290472124124168,4.592556847271738,0.7471023078717973,0.6046453064621155
2,15,30,3,NA,20.514813982612917,31.857760800463225,3.071777971739837,4.3065576921025475,0.7791203259008909,0.6412248714507861
3,15,30,3,NA,21.234135357205137,34.30480482280984,3.253922379906981,4.412672642022988,0.767624702299839,0.6131922389320016
4,15,30,3,NA,18.797665872695294,35.535463717225966,2.841381958399263,4.533320673150895,0.7877506030541205,0.6054046574410379
1,20,30,3,NA,17.734521283994418,34.710960526874736,2.7910699168968387,4.471705926626142,0.8036869458044277,0.6128911038259841
2,20,30,3,NA,20.48822269751272,32.97535769972232,3.178604306037984,4.327324776857192,0.8318393005619394,0.6283106379938959
3,20,30,3,NA,17.292763731432835,33.08111469542345,2.7191090563150273,4.368479737606628,0.801702872079015,0.6327039543955861
