eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.01,1,1,0.65,0.8,533,5.1521412,0.6805657997480647
0.05,1,1,0.65,0.8,91,5.2012646,0.6775005973402101
0.1,1,1,0.65,0.8,66,5.2214952,0.6733479467822517
0.3,1,1,0.65,0.8,16,5.212302,0.6732953328487394
0.01,3,1,0.65,0.8,453,5.1894894,0.6835348955198469
0.05,3,1,0.65,0.8,91,5.0898962,0.6961336402636725
0.1,3,1,0.65,0.8,46,5.106491,0.6969244071369577
0.3,3,1,0.65,0.8,21,5.607537,0.6328457108607738
0.01,5,1,0.65,0.8,468,5.2468214,0.6777988615597111
0.05,5,1,0.65,0.8,100,5.2526788,0.677528482284896
0.1,5,1,0.65,0.8,66,5.141643,0.694936519305522
0.3,5,1,0.65,0.8,22,5.5112668000000005,0.6474291711792105
0.01,10,1,0.65,0.8,468,5.315932,0.6704191425242618
0.05,10,1,0.65,0.8,116,5.2678784,0.6751294804485478
0.1,10,1,0.65,0.8,72,5.0404304,0.7043734154954752
0.3,10,1,0.65,0.8,16,5.707942,0.619353083985691
0.01,1,3,0.65,0.8,528,5.1581332,0.679944332292938
0.05,1,3,0.65,0.8,91,5.2072246,0.6777638647881463
0.1,1,3,0.65,0.8,75,5.167422,0.6797386014315114
0.3,1,3,0.65,0.8,16,5.2555192,0.6662935451701198
0.01,3,3,0.65,0.8,467,5.0164444,0.7000295387776305
0.05,3,3,0.65,0.8,106,5.038238,0.6961818601948909
0.1,3,3,0.65,0.8,58,4.9370058,0.710869466232436
0.3,3,3,0.65,0.8,26,4.8769872,0.7106733533310178
0.01,5,3,0.65,0.8,468,5.0918972,0.6923883316412839
0.05,5,3,0.65,0.8,117,4.9970358,0.7037558283898286
0.1,5,3,0.65,0.8,46,5.0014552000000005,0.7062329334706675
0.3,5,3,0.65,0.8,18,5.1754716,0.6760620597538416
0.01,10,3,0.65,0.8,490,5.103278,0.691033183410646
0.05,10,3,0.65,0.8,116,5.095227,0.6935367529384259
0.1,10,3,0.65,0.8,46,4.9285542,0.7133535568966471
0.3,10,3,0.65,0.8,16,5.1516636,0.6778112559861924
0.01,1,5,0.65,0.8,533,5.1286388,0.6832344801042955
0.05,1,5,0.65,0.8,91,5.1712102,0.6808543268520593
0.1,1,5,0.65,0.8,91,5.1323658,0.6846877753255526
0.3,1,5,0.65,0.8,16,5.2240456,0.6719631571464774
0.01,3,5,0.65,0.8,449,4.9917336,0.7020627676154352
0.05,3,5,0.65,0.8,91,4.9852647999999995,0.7053811369579708
0.1,3,5,0.65,0.8,46,5.014590800000001,0.6991105445971018
0.3,3,5,0.65,0.8,14,5.1023056,0.6848159578180746
0.01,5,5,0.65,0.8,445,5.0031532,0.7005625516262572
0.05,5,5,0.65,0.8,91,5.1028842,0.6939735097372532
0.1,5,5,0.65,0.8,46,5.159341,0.6839309249498737
0.3,5,5,0.65,0.8,14,4.9913976,0.6966699422311229
0.01,10,5,0.65,0.8,445,5.0053795999999995,0.7002667878992805
0.05,10,5,0.65,0.8,87,5.096927,0.6954709091090583
0.1,10,5,0.65,0.8,44,5.1937756,0.6816768607701809
0.3,10,5,0.65,0.8,14,4.8099754,0.7230849853465847
0.01,1,7,0.65,0.8,466,5.1431442,0.6831297184271965
0.05,1,7,0.65,0.8,91,5.1472922,0.6835170128472565
0.1,1,7,0.65,0.8,78,5.2080884,0.6764682073138835
0.3,1,7,0.65,0.8,27,5.1814713999999995,0.6819452208569587
0.01,3,7,0.65,0.8,461,4.9384414,0.7069599579896083
0.05,3,7,0.65,0.8,91,4.9664236,0.7020392172291354
0.1,3,7,0.65,0.8,46,4.8782792,0.7116790030297873
0.3,3,7,0.65,0.8,11,5.1324818,0.7022785669156233
0.01,5,7,0.65,0.8,460,4.9480228,0.705926548445608
0.05,5,7,0.65,0.8,93,5.022997200000001,0.6978058311891593
0.1,5,7,0.65,0.8,46,4.988836,0.6991791098192924
0.3,5,7,0.65,0.8,22,4.9916528,0.7056255917340754
0.01,10,7,0.65,0.8,460,4.9494446,0.7058673137507474
0.05,10,7,0.65,0.8,93,5.0137286,0.6990912714770338
0.1,10,7,0.65,0.8,46,4.9919812,0.6991843591421807
0.3,10,7,0.65,0.8,22,4.9859774,0.7065325222841813
0.01,1,1,0.8,0.8,465,5.3277562,0.661928840536231
0.05,1,1,0.8,0.8,95,5.3623076,0.6552474260155051
0.1,1,1,0.8,0.8,46,5.3344206,0.6586064227581756
0.3,1,1,0.8,0.8,21,5.365006,0.6560560009546658
0.01,3,1,0.8,0.8,472,5.1772082,0.6839682286838228
0.05,3,1,0.8,0.8,103,5.1906622,0.6843230823450571
0.1,3,1,0.8,0.8,53,5.1984446,0.6820482191468573
0.3,3,1,0.8,0.8,19,5.5560344,0.6465326685205967
0.01,5,1,0.8,0.8,551,5.305003,0.6706531841530173
0.05,5,1,0.8,0.8,160,5.3272904,0.6664980092086447
0.1,5,1,0.8,0.8,47,5.356468,0.6686683974224771
0.3,5,1,0.8,0.8,15,5.9719182,0.5957379879748335
0.01,10,1,0.8,0.8,508,5.3807114,0.6638350479099766
0.05,10,1,0.8,0.8,124,5.4318,0.6560117596955536
0.1,10,1,0.8,0.8,53,5.3469359999999995,0.668219652141602
0.3,10,1,0.8,0.8,31,5.9708646,0.5991106601226872
0.01,1,3,0.8,0.8,465,5.3239832,0.6624213879386865
0.05,1,3,0.8,0.8,95,5.3539862,0.6564143735141443
0.1,1,3,0.8,0.8,59,5.3144188,0.6598741766963451
0.3,1,3,0.8,0.8,18,5.3570286,0.6512148270313082
0.01,3,3,0.8,0.8,453,5.1600114,0.686680994949187
0.05,3,3,0.8,0.8,93,5.1850868,0.6845252854344619
0.1,3,3,0.8,0.8,56,4.8355612,0.7227629759228804
0.3,3,3,0.8,0.8,17,5.4952594,0.6429356106892105
0.01,5,3,0.8,0.8,453,5.2122856,0.6823807384357904
0.05,5,3,0.8,0.8,100,5.2301624,0.6834002799925687
0.1,5,3,0.8,0.8,54,5.0167422,0.7044698734843315
0.3,5,3,0.8,0.8,16,5.2835218,0.663341542298845
0.01,10,3,0.8,0.8,562,5.1984572,0.6824650938502174
0.05,10,3,0.8,0.8,125,5.2488054,0.6798310421299552
0.1,10,3,0.8,0.8,54,5.0282540000000004,0.7043996295139497
0.3,10,3,0.8,0.8,17,5.333554,0.6622469089536662
0.01,1,5,0.8,0.8,465,5.3023324,0.6646373159981777
0.05,1,5,0.8,0.8,95,5.2951396,0.6633887522767898
0.1,1,5,0.8,0.8,60,5.2806422,0.6631655899111037
0.3,1,5,0.8,0.8,22,5.3172304,0.6651448459598194
0.01,3,5,0.8,0.8,451,5.069471,0.6936466899804031
0.05,3,5,0.8,0.8,78,5.1301504,0.6903450458052798
0.1,3,5,0.8,0.8,45,5.0328588,0.6958937913386122
0.3,3,5,0.8,0.8,13,5.2747764,0.6684481833592292
0.01,5,5,0.8,0.8,465,5.1088096,0.6894328359803825
0.05,5,5,0.8,0.8,102,5.1166632,0.6878888594996497
0.1,5,5,0.8,0.8,56,5.2368964,0.6754346504218304
0.3,5,5,0.8,0.8,13,5.189481799999999,0.681517151559904
