type,name,value,min,max,model,product
CV,R2,0.7313605556899396,0.6705730686838055,0.8276689616165575,GBM,TROPOMI
CV,RMSE,4.857798785083511,4.321025960390701,6.42861264618981,GBM,TROPOMI
spatialCV,R2,0.710180334941318,0.6066803488305426,0.7727051457534829,GBM,TROPOMI
spatialCV,RMSE,5.027794383290937,3.971567590308895,6.177508493003913,GBM,TROPOMI
training,R2,0.9995841816257539,NA,NA,GBM,TROPOMI
training,RMSE,0.2002377666632656,NA,NA,GBM,TROPOMI
CV,intercept,1.7829629194579684,-0.6994700579509612,4.265395896866898,GBM,TROPOMI
CV,slope,0.9233807102667538,0.8102469907933473,1.0365144297401603,GBM,TROPOMI
spatialCV,intercept,1.5004213933448054,-1.1440580653842871,4.1449008520738975,GBM,TROPOMI
spatialCV,slope,0.930650617497419,0.8104633619405749,1.0508378730542631,GBM,TROPOMI
training,intercept,-0.14906694073019533,-0.24212405389733493,-0.05600982756305574,GBM,TROPOMI
training,slope,1.0071334592295575,1.0029808475641426,1.0112860708949725,GBM,TROPOMI
