type,name,value,min,max,model,product
CV,R2,0.7450458273282218,0.6557058074098416,0.8441407241528327,GWR,OMI
CV,RMSE,4.7064118394130245,3.7164461652719107,6.2325221430650135,GWR,OMI
spatialCV,R2,0.7414624471473669,0.6363834054795343,0.8560367214010107,GWR,OMI
spatialCV,RMSE,4.722216710704837,3.9162638604861293,5.563478742350172,GWR,OMI
training,R2,0.7789715927478134,NA,NA,GWR,OMI
training,RMSE,4.360469457994422,NA,NA,GWR,OMI
CV,intercept,1.1631680478769109,-1.303845662892188,3.6301817586460094,GWR,OMI
CV,slope,0.9451023683396762,0.8333361479147094,1.056868588764643,GWR,OMI
spatialCV,intercept,0.6138085598940375,-1.9362984276359945,3.1639155474240694,GWR,OMI
spatialCV,slope,0.9775811035318017,0.8608834350055957,1.0942787720580078,GWR,OMI
training,intercept,0.004791514168230315,-2.3644772231901143,2.3740602515265747,GWR,OMI
training,slope,0.999814255178794,0.8921492151880231,1.107479295169565,GWR,OMI
