type,name,value,min,max,model,product
CV,R2,0.7359076927407682,0.643028769693941,0.8204560470241903,GWR,TROPOMI
CV,RMSE,4.772671481921911,3.6152151882417933,6.292715640864943,GWR,TROPOMI
spatialCV,R2,0.7276327367337438,0.5920198149147478,0.8713515183861434,GWR,TROPOMI
spatialCV,RMSE,4.842375202133804,3.749183593546503,6.15164893314466,GWR,TROPOMI
training,R2,0.7584734961829359,NA,NA,GWR,TROPOMI
training,RMSE,4.5581815673093145,NA,NA,GWR,TROPOMI
CV,intercept,0.6155886974673003,-1.9699216133820503,3.2010990083166506,GWR,TROPOMI
CV,slope,0.9700944857633823,0.8526122008480226,1.087576770678742,GWR,TROPOMI
spatialCV,intercept,0.18075501769857236,-2.5077954317795497,2.8693054671766944,GWR,TROPOMI
spatialCV,slope,0.9869421010554826,0.8648731651996018,1.1090110369113635,GWR,TROPOMI
training,intercept,0.0054816519510194105,-2.499809239126657,2.510772543028696,GWR,TROPOMI
training,slope,0.9998252904586664,0.8857665805230771,1.1138840003942558,GWR,TROPOMI
