type,name,value,min,max,model,product
CV,R2,0.7362199795288848,0.6188010195284316,0.812104905302038,GWR,spatial
CV,RMSE,4.782243416256191,3.8889844680504773,6.314594805069098,GWR,spatial
spatialCV,R2,0.7152885130313363,0.6051377134127267,0.8535492854510993,GWR,spatial
spatialCV,RMSE,4.955833291094638,4.134970283328377,6.0184224200147876,GWR,spatial
training,R2,0.7638738973023584,NA,NA,GWR,spatial
training,RMSE,4.506934120742673,NA,NA,GWR,spatial
CV,intercept,1.0639985952095197,-1.4692411484969288,3.597238338915968,GWR,spatial
CV,slope,0.9498100543633262,0.8348767067592204,1.064743401967432,GWR,spatial
spatialCV,intercept,0.5521233583838359,-2.173065235885524,3.2773119526531955,GWR,spatial
spatialCV,slope,0.969216115699736,0.8456001287046907,1.0928321026947814,GWR,spatial
training,intercept,0.004395889957196151,-2.46525828592547,2.474050065839862,GWR,spatial
training,slope,0.9998734213027849,0.8874910133376068,1.112255829267963,GWR,spatial
