type,name,value,min,max,model,product
CV,R2,0.7200004424009471,0.6397301220946585,0.8456620919463091,LGB,OMI
CV,RMSE,4.924533118375736,3.5743722966367097,6.105314583905814,LGB,OMI
spatialCV,R2,0.6472256962558156,0.6264921890095739,0.7678478882235622,LGB,OMI
spatialCV,RMSE,5.526312293432793,4.938038584522957,6.405402046131676,LGB,OMI
training,R2,0.9006156957109483,NA,NA,LGB,OMI
training,RMSE,3.0519276659286922,NA,NA,LGB,OMI
CV,intercept,0.2866280025529875,-2.4394009629432643,3.012656968049239,LGB,OMI
CV,slope,1.0058080175056523,0.8790079371857977,1.1326080978255069,LGB,OMI
spatialCV,intercept,0.5614433095662723,-2.6057453202301706,3.728631939362715,LGB,OMI
spatialCV,slope,0.9937752412852521,0.8454548326970832,1.142095649873421,LGB,OMI
training,intercept,-1.8696940446595374,-3.479495110865032,-0.25989297845404313,LGB,OMI
training,slope,1.105156053251436,1.0309387967015842,1.1793733098012877,LGB,OMI
