type,name,value,min,max,model,product
CV,R2,0.7256474401760651,0.6411191017557489,0.8664414741853068,LGB,TROPOMI
CV,RMSE,4.8951681006582985,3.3051087052982218,5.922211385205161,LGB,TROPOMI
spatialCV,R2,0.6711388985975422,0.6461863773904466,0.7605679802706066,LGB,TROPOMI
spatialCV,RMSE,5.33929837955646,4.954312276511161,5.836651146531823,LGB,TROPOMI
training,R2,0.9010707505663491,NA,NA,LGB,TROPOMI
training,RMSE,3.0485689324302463,NA,NA,LGB,TROPOMI
CV,intercept,-0.13383565171296324,-2.8718332426839237,2.6041619392579975,LGB,TROPOMI
CV,slope,1.0340125241788618,0.9054810116698611,1.1625440366878625,LGB,TROPOMI
spatialCV,intercept,0.475792826581184,-2.545368636685915,3.4969542898482833,LGB,TROPOMI
spatialCV,slope,0.9995672510872982,0.8581168408084396,1.1410176613661567,LGB,TROPOMI
training,intercept,-1.9001109501969786,-3.507766694819532,-0.2924552055744256,LGB,TROPOMI
training,slope,1.1066636880333518,1.0325342486864226,1.180793127380281,LGB,TROPOMI
