type,name,value,min,max,model,product
CV,R2,0.6716731095279561,0.6070243642597926,0.8810346482529314,NN,OMI
CV,RMSE,5.348344433832328,3.455736478132661,7.673825597493191,NN,OMI
spatialCV,R2,0.6802358715959215,0.5648135557126907,0.8062116519692132,NN,OMI
spatialCV,RMSE,5.309470523298418,4.429251225448503,6.580943702726551,NN,OMI
training,R2,0.7588869358569222,NA,NA,NN,OMI
training,RMSE,4.607081900493223,NA,NA,NN,OMI
CV,intercept,1.1391339972005028,-1.791100679105286,4.0693686735062915,NN,OMI
CV,slope,0.9705980334515489,0.8334132956426676,1.1077827712604302,NN,OMI
spatialCV,intercept,1.5016684026652105,-1.3276576580127415,4.3309944633431625,NN,OMI
spatialCV,slope,0.9628840004650999,0.8294239695857084,1.0963440313444914,NN,OMI
training,intercept,0.6654322588764013,-1.7673539636796107,3.098218481432413,NN,OMI
training,slope,1.0015196462851836,0.8873965751214467,1.1156427174489205,NN,OMI
