type,name,value,min,max,model,product
CV,R2,0.6744941089838002,0.6003893020885728,0.8781197184935127,NN,TROPOMI
CV,RMSE,5.3129617069158614,3.4196024532540026,7.657833008614134,NN,TROPOMI
spatialCV,R2,0.6792795203658274,0.5686369468707528,0.800993479606371,NN,TROPOMI
spatialCV,RMSE,5.316558958594687,4.505790863749443,6.568847583886133,NN,TROPOMI
training,R2,0.7594861566602417,NA,NA,NN,TROPOMI
training,RMSE,4.650518410460639,NA,NA,NN,TROPOMI
CV,intercept,0.7865020528680351,-2.1719480083312366,3.744952114067307,NN,TROPOMI
CV,slope,0.9835694695812284,0.8454396227869354,1.1216993163755213,NN,TROPOMI
spatialCV,intercept,1.3944811637325663,-1.4545978692283288,4.243560196693461,NN,TROPOMI
spatialCV,slope,0.9689734040979425,0.8343740154803558,1.1035727927155292,NN,TROPOMI
training,intercept,0.5000048774854743,-1.9463642722636982,2.9463740272346466,NN,TROPOMI
training,slope,1.0231449193938023,0.9067485579179164,1.139541280869688,NN,TROPOMI
