type,name,value,min,max,model,product
CV,R2,0.7008778629872247,0.5428380320037912,0.9000330707408413,RF,OMI
CV,RMSE,5.1701108109226315,3.438754137396309,7.006017617149067,RF,OMI
spatialCV,R2,0.7147332004080204,0.6351879187145298,0.8042391056743546,RF,OMI
spatialCV,RMSE,5.075019003997385,3.75706969901428,6.195775300829437,RF,OMI
training,R2,0.7182440698402235,NA,NA,RF,OMI
training,RMSE,5.025378516729279,NA,NA,RF,OMI
CV,intercept,-2.4099002287681257,-5.484029056852519,0.6642285993162678,RF,OMI
CV,slope,1.1275914696325122,0.9817443283269219,1.2734386109381024,RF,OMI
spatialCV,intercept,-2.867351945070439,-5.897414293457014,0.16271040331613573,RF,OMI
spatialCV,slope,1.146974457788583,1.0035079863580845,1.2904409292190815,RF,OMI
training,intercept,-2.427663614665613,-5.380934197881348,0.5256069685501217,RF,OMI
training,slope,1.1285408211536845,0.988594716479649,1.26848692582772,RF,OMI
