type,name,value,min,max,model,product
CV,R2,0.7008389301786647,0.5349009703581868,0.9047608519657396,RF,TROPOMI
CV,RMSE,5.192774299040223,3.4020739241238207,7.0527487992634095,RF,TROPOMI
spatialCV,R2,0.7178272379294396,0.631172309713819,0.80276461081627,RF,TROPOMI
spatialCV,RMSE,5.070071201131712,3.7189081528339023,6.1740998880922415,RF,TROPOMI
training,R2,0.7200385465454765,NA,NA,RF,TROPOMI
training,RMSE,5.028257823523583,NA,NA,RF,TROPOMI
CV,intercept,-2.805183731127775,-5.927937661095227,0.31757019883967574,RF,TROPOMI
CV,slope,1.1478202862914997,0.999342884433276,1.2962976881497235,RF,TROPOMI
spatialCV,intercept,-3.1927565207110264,-6.2387485117483585,-0.1467645296736948,RF,TROPOMI
spatialCV,slope,1.163888597208813,1.0194104961993922,1.308366698218234,RF,TROPOMI
training,intercept,-2.753389310255355,-5.731938809413085,0.22516018890237577,RF,TROPOMI
training,slope,1.1444418630605462,1.003152972262294,1.2857307538587983,RF,TROPOMI
