type,name,value,min,max,model,product
CV,R2,0.7451356912637186,0.65566882234782,0.8441440610689258,SLR,OMI
CV,RMSE,4.705320958449358,3.7155805806583575,6.231096397191636,SLR,OMI
spatialCV,R2,0.7414588482981228,0.6364126769872566,0.855947424402954,SLR,OMI
spatialCV,RMSE,4.722161555452904,3.9182193360957065,5.562832171021028,SLR,OMI
training,R2,0.7788700375079652,NA,NA,SLR,OMI
training,RMSE,4.361470709299794,NA,NA,SLR,OMI
CV,intercept,1.1561101857560214,-1.3111124525303468,3.6233328240423894,SLR,OMI
CV,slope,0.9453996486648228,0.8336247181525336,1.057174579177112,SLR,OMI
spatialCV,intercept,0.6091061705159482,-1.9415445409591303,3.1597568819910267,SLR,OMI
spatialCV,slope,0.9777783265884972,0.8610560191297454,1.094500634047249,SLR,OMI
training,intercept,-0,-2.3704251678196306,2.3704251678196306,SLR,OMI
training,slope,1.0000000000000002,0.892283200256745,1.1077167997432555,SLR,OMI
