type,name,value,min,max,model,product
CV,R2,0.7360112150188208,0.6430352472628379,0.8204423769376533,SLR,TROPOMI
CV,RMSE,4.771628551382198,3.6147402056668705,6.292228539140874,SLR,TROPOMI
spatialCV,R2,0.727654852538783,0.592033733887363,0.8713329136126599,SLR,TROPOMI
spatialCV,RMSE,4.842164225957054,3.750633177953547,6.150682544123557,SLR,TROPOMI
training,R2,0.7583457706996389,NA,NA,SLR,TROPOMI
training,RMSE,4.559386030161538,NA,NA,SLR,TROPOMI
CV,intercept,0.6091738245623245,-1.976393854910631,3.19474150403528,SLR,TROPOMI
CV,slope,0.9703479159393951,0.8528662369569657,1.0878295949218244,SLR,TROPOMI
spatialCV,intercept,0.17485935099576155,-2.5142256591270975,2.8639443611186204,SLR,TROPOMI
spatialCV,slope,0.9871651310833129,0.8650754225045105,1.1092548396621154,SLR,TROPOMI
training,intercept,1.1603114287023092e-14,-2.5067174360087092,2.5067174360087323,SLR,TROPOMI
training,slope,0.9999999999999994,0.8858815904861091,1.1141184095138899,SLR,TROPOMI
