type,name,value,min,max,model,product
CV,R2,0.7320751129079756,0.6213416527731077,0.8152174258576755,SLR,spatial
CV,RMSE,4.820761960530466,3.983194760549581,6.120800090366349,SLR,spatial
spatialCV,R2,0.7255029026575747,0.5786331668048205,0.8334537860724774,SLR,spatial
spatialCV,RMSE,4.8629518398411165,3.8448841534592937,6.000140398356646,SLR,spatial
training,R2,0.7638001380414035,NA,NA,SLR,spatial
training,RMSE,4.507637505985234,NA,NA,SLR,spatial
CV,intercept,1.1169634598923845,-1.4362846269396206,3.6702115467243894,SLR,spatial
CV,slope,0.9481904418664138,0.8322282476748697,1.0641526360579578,SLR,spatial
spatialCV,intercept,0.5051738644761705,-2.159761583426441,3.1701093123787825,SLR,spatial
spatialCV,slope,0.9794012203638597,0.8576138967949948,1.1011885439327247,SLR,spatial
training,intercept,-1.1603114287023092e-14,-2.4706022353228594,2.4706022353228363,SLR,spatial
training,slope,1.0000000000000002,0.8875803838660207,1.1124196161339799,SLR,spatial
