type,name,value,min,max,model,product
CV,R2,0.6971620079490769,0.5697166390337687,0.8640554741202104,XGB,OMI
CV,RMSE,5.189742982236914,3.9654530032989865,6.776984415599645,XGB,OMI
spatialCV,R2,0.6007696396780574,0.5995678706501231,0.7092881272731099,XGB,OMI
spatialCV,RMSE,5.979814119704151,5.3259804273790214,6.673478279811598,XGB,OMI
training,R2,0.9980567637307032,NA,NA,XGB,OMI
training,RMSE,0.41909643306245553,NA,NA,XGB,OMI
CV,intercept,2.360358419728691,-0.2586544306008638,4.979371270058246,XGB,OMI
CV,slope,0.9060812881110081,0.7853561727177936,1.0268064035042226,XGB,OMI
spatialCV,intercept,2.990856650087186,-0.11723467433309853,6.09894797450747,XGB,OMI
spatialCV,slope,0.8586583939066113,0.7171538597028628,1.0001629281103597,XGB,OMI
training,intercept,-0.21029908177342865,-0.4120939118605228,-0.008504251686334507,XGB,OMI
training,slope,1.0100176161804377,1.0010080002913226,1.0190272320695528,XGB,OMI
