model,product,training_R2,training_RMSE,training_slope,training_intercept,CV_R2,CV_RMSE,CV_slope,CV_intercept,spatialCV_R2,spatialCV_RMSE,spatialCV_slope,spatialCV_intercept,MoransI,MoransI.p
SLR,spatial,0.764,4.509,1.000 (0.888~1.112),0.000 (-2.471~2.471),0.736 (0.619~0.812),4.782 (3.890~6.314),0.950 (0.835~1.065),1.057 (-1.477~3.591),0.715 (0.605~0.853),4.956 (4.139~6.018),0.969 (0.846~1.093),0.548 (-2.178~3.274),-0.011,0.519
SLR,OMI,0.779,4.361,1.000 (0.892~1.108),0.000 (-2.370~2.370),0.745 (0.656~0.844),4.705 (3.716~6.231),0.945 (0.834~1.057),1.156 (-1.311~3.623),0.741 (0.636~0.856),4.722 (3.918~5.563),0.978 (0.861~1.095),0.609 (-1.942~3.160),-0.002,0.097
SLR,TROPOMI,0.758,4.559,1.000 (0.886~1.114),0.000 (-2.507~2.507),0.736 (0.643~0.820),4.772 (3.615~6.292),0.970 (0.853~1.088),0.609 (-1.976~3.195),0.728 (0.592~0.871),4.842 (3.751~6.151),0.987 (0.865~1.109),0.175 (-2.514~2.864),-0.008,0.335
GWR,spatial,0.764,4.507,1.000 (0.887~1.112),0.004 (-2.465~2.474),0.736 (0.619~0.812),4.782 (3.889~6.315),0.950 (0.835~1.065),1.064 (-1.469~3.597),0.715 (0.605~0.854),4.956 (4.135~6.018),0.969 (0.846~1.093),0.552 (-2.173~3.277),-0.011,0.516
GWR,OMI,0.779,4.360,1.000 (0.892~1.107),0.005 (-2.364~2.374),0.745 (0.656~0.844),4.706 (3.716~6.233),0.945 (0.833~1.057),1.163 (-1.304~3.630),0.741 (0.636~0.856),4.722 (3.916~5.563),0.978 (0.861~1.094),0.614 (-1.936~3.164),-0.002,0.097
GWR,TROPOMI,0.758,4.558,1.000 (0.886~1.114),0.005 (-2.500~2.511),0.736 (0.643~0.820),4.773 (3.615~6.293),0.970 (0.853~1.088),0.616 (-1.970~3.201),0.728 (0.592~0.871),4.842 (3.749~6.152),0.987 (0.865~1.109),0.181 (-2.508~2.869),-0.008,0.333
RF,OMI,0.723,4.924,1.088 (0.952~1.224),-1.681 (-4.618~1.257),0.746 (0.724~0.898),4.758 (2.974~6.691),1.125 (0.992~1.257),-2.432 (-5.288~0.424),0.717 (0.661~0.790),4.990 (4.185~6.006),1.103 (0.963~1.243),-2.124 (-5.159~0.910),-0.025,0.988
RF,TROPOMI,0.727,4.886,1.081 (0.947~1.215),-1.532 (-4.426~1.361),0.749 (0.731~0.901),4.729 (2.906~6.644),1.119 (0.988~1.250),-2.316 (-5.142~0.509),0.722 (0.669~0.798),4.949 (4.093~5.880),1.108 (0.969~1.247),-2.227 (-5.235~0.781),-0.026,0.994
GBM,OMI,0.998,0.419,1.010 (1.001~1.019),-0.210 (-0.412~-0.009),0.697 (0.570~0.864),5.190 (3.965~6.777),0.906 (0.785~1.027),2.360 (-0.259~4.979),0.601 (0.600~0.709),5.980 (5.326~6.673),0.859 (0.717~1.000),2.991 (-0.117~6.099),-0.015,0.774
GBM,TROPOMI,1.000,0.200,1.007 (1.003~1.011),-0.149 (-0.242~-0.056),0.731 (0.671~0.828),4.858 (4.321~6.429),0.923 (0.810~1.037),1.783 (-0.699~4.265),0.710 (0.607~0.773),5.028 (3.972~6.178),0.931 (0.810~1.051),1.500 (-1.144~4.145),-0.014,0.693
NN,OMI,0.765,4.792,1.070 (0.950~1.190),0.251 (-2.186~2.688),0.644 (0.483~0.846),5.748 (4.469~7.913),1.008 (0.857~1.160),1.401 (-1.670~4.472),0.601 (0.514~0.764),6.037 (5.035~8.063),0.934 (0.780~1.087),2.621 (-0.543~5.786),-0.013,0.639
NN,TROPOMI,0.776,4.503,1.055 (0.941~1.170),-0.160 (-2.565~2.244),0.634 (0.537~0.806),5.849 (4.711~7.613),0.974 (0.825~1.124),2.131 (-0.898~5.160),0.621 (0.543~0.757),5.931 (5.010~8.040),0.924 (0.778~1.070),2.939 (-0.053~5.930),-0.011,0.536
