model,product,training_R2,training_RMSE,CV_R2,CV_RMSE,spatialCV_R2,spatialCV_RMSE,MoransI,MoransI.p
SLR,spatial,0.764,4.508,0.732 (0.621~0.815),4.821 (3.983~6.121),0.726 (0.579~0.833),4.863 (3.845~6.000),-0.012,0.578
SLR,OMI,0.779,4.361,0.745 (0.656~0.844),4.705 (3.716~6.231),0.741 (0.636~0.856),4.722 (3.918~5.563),-0.002,0.097
SLR,TROPOMI,0.758,4.559,0.736 (0.643~0.820),4.772 (3.615~6.292),0.728 (0.592~0.871),4.842 (3.751~6.151),-0.008,0.335
GWR,spatial,0.764,4.507,0.736 (0.619~0.812),4.782 (3.889~6.315),0.715 (0.605~0.854),4.956 (4.135~6.018),-0.011,0.516
GWR,OMI,0.779,4.360,0.745 (0.656~0.844),4.706 (3.716~6.233),0.741 (0.636~0.856),4.722 (3.916~5.563),-0.002,0.097
GWR,TROPOMI,0.758,4.558,0.736 (0.643~0.820),4.773 (3.615~6.293),0.728 (0.592~0.871),4.842 (3.749~6.152),-0.008,0.333
RF,OMI,0.723,4.924,0.746 (0.724~0.898),4.758 (2.974~6.691),0.717 (0.661~0.790),4.990 (4.185~6.006),-0.025,0.988
RF,TROPOMI,0.727,4.886,0.749 (0.731~0.901),4.729 (2.906~6.644),0.722 (0.669~0.798),4.949 (4.093~5.880),-0.026,0.994
XGB,OMI,0.998,0.419,0.697 (0.570~0.864),5.190 (3.965~6.777),0.601 (0.600~0.709),5.980 (5.326~6.673),-0.015,0.774
XGB,TROPOMI,1.000,0.200,0.731 (0.671~0.828),4.858 (4.321~6.429),0.710 (0.607~0.773),5.028 (3.972~6.178),-0.014,0.693
LGB,OMI,0.901,3.052,0.720 (0.640~0.846),4.925 (3.574~6.105),0.647 (0.626~0.768),5.526 (4.938~6.405),-0.02,0.927
LGB,TROPOMI,0.901,3.049,0.726 (0.641~0.866),4.895 (3.305~5.922),0.671 (0.646~0.761),5.339 (4.954~5.837),-0.014,0.69
NN,OMI,0.759,4.607,0.672 (0.607~0.881),5.348 (3.456~7.674),0.680 (0.565~0.806),5.309 (4.429~6.581),-0.021,0.948
NN,TROPOMI,0.759,4.651,0.674 (0.600~0.878),5.313 (3.420~7.658),0.679 (0.569~0.801),5.317 (4.506~6.569),-0.018,0.896
