model,product,training_slope,training_intercept,CV_slope,CV_intercept,spatialCV_slope,spatialCV_intercept
SLR,spatial,1.000 (0.888~1.112),0.000 (-2.471~2.471),0.950 (0.835~1.065),1.057 (-1.477~3.591),0.969 (0.846~1.093),0.548 (-2.178~3.274)
SLR,OMI,1.000 (0.892~1.108),0.000 (-2.370~2.370),0.945 (0.834~1.057),1.156 (-1.311~3.623),0.978 (0.861~1.095),0.609 (-1.942~3.160)
SLR,TROPOMI,1.000 (0.886~1.114),0.000 (-2.507~2.507),0.970 (0.853~1.088),0.609 (-1.976~3.195),0.987 (0.865~1.109),0.175 (-2.514~2.864)
GWR,spatial,1.000 (0.887~1.112),0.004 (-2.465~2.474),0.950 (0.835~1.065),1.064 (-1.469~3.597),0.969 (0.846~1.093),0.552 (-2.173~3.277)
GWR,OMI,1.000 (0.892~1.107),0.005 (-2.364~2.374),0.945 (0.833~1.057),1.163 (-1.304~3.630),0.978 (0.861~1.094),0.614 (-1.936~3.164)
GWR,TROPOMI,1.000 (0.886~1.114),0.005 (-2.500~2.511),0.970 (0.853~1.088),0.616 (-1.970~3.201),0.987 (0.865~1.109),0.181 (-2.508~2.869)
RF,OMI,1.088 (0.952~1.224),-1.681 (-4.618~1.257),1.125 (0.992~1.257),-2.432 (-5.288~0.424),1.103 (0.963~1.243),-2.124 (-5.159~0.910)
RF,TROPOMI,1.081 (0.947~1.215),-1.532 (-4.426~1.361),1.119 (0.988~1.250),-2.316 (-5.142~0.509),1.108 (0.969~1.247),-2.227 (-5.235~0.781)
GBM,OMI,1.010 (1.001~1.019),-0.210 (-0.412~-0.009),0.906 (0.785~1.027),2.360 (-0.259~4.979),0.859 (0.717~1.000),2.991 (-0.117~6.099)
GBM,TROPOMI,1.007 (1.003~1.011),-0.149 (-0.242~-0.056),0.923 (0.810~1.037),1.783 (-0.699~4.265),0.931 (0.810~1.051),1.500 (-1.144~4.145)
NN,OMI,1.070 (0.950~1.190),0.251 (-2.186~2.688),1.008 (0.857~1.160),1.401 (-1.670~4.472),0.934 (0.780~1.087),2.621 (-0.543~5.786)
NN,TROPOMI,1.055 (0.941~1.170),-0.160 (-2.565~2.244),0.974 (0.825~1.124),2.131 (-0.898~5.160),0.924 (0.778~1.070),2.939 (-0.053~5.930)
