Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,22.07191276550293,4,29.841163635253906,5,25.20209312438965,0.11234137814346923,-7.656909491607507,-3.0178389807432495,GBM,OMI
Aigle,20.0332409972299,industry,2561330,1129900,19.899290084838867,1,17.256744384765625,5,16.502859115600586,0.13395091239103252,2.7764966124642747,3.5303818816293138,GBM,OMI
Airolo,17.5633608815427,traffic,2690021,1153641,17.671852111816406,4,20.5548038482666,4,24.952239990234375,-0.10849123027370666,-2.991442966723902,-7.388879108691675,GBM,OMI
Altdorf,17.8435616438356,traffic,2690175,1193550,17.90250587463379,3,26.30373764038086,4,26.0479736328125,-0.05894423079818978,-8.46017599654526,-8.2044119889769,GBM,OMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,10.721049308776855,4,9.066033363342285,5,11.145137786865234,0.0673804432892453,1.7223963887238156,-0.3567080347991336,GBM,OMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,20.18581771850586,3,13.3696870803833,3,14.844374656677246,0.049362336895839576,6.865492975018398,5.390805398724453,GBM,OMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,16.699909210205078,1,21.075176239013672,5,20.6221923828125,0.03498089968502072,-4.340286129123573,-3.887302272922401,GBM,OMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,43.437477111816406,4,30.852689743041992,5,28.00148582458496,0.39807844373919465,12.982865812513609,15.83406973097064,GBM,OMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,23.313533782958984,3,26.319847106933594,5,25.899261474609375,-0.3399226718478836,-3.346235995822493,-2.9256503634982742,GBM,OMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,32.84958267211914,4,31.0983943939209,1,36.32142639160156,0.11836253336036151,1.8695508115586037,-3.3534811861220604,GBM,OMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,17.603899002075195,1,18.777437210083008,1,20.523998260498047,0.28103250477410313,-0.8925057032337094,-2.6390667536487484,GBM,OMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,26.71721076965332,2,34.98847961425781,1,29.992868423461914,-0.01252757406102134,-8.283796418665514,-3.288185227869615,GBM,OMI
Beromünster,7.92527777777778,background,2655840,1226780,7.998132228851318,5,7.495007514953613,5,5.465044975280762,-0.07285445107353805,0.430270262824167,2.4602328024970186,GBM,OMI
