Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,26.5540037720266,1,26.43005264365542,5,26.246936930771184,-4.369749628380202,-4.24579850000902,-4.0626827871247855,GWR,OMI
Aigle,20.0332409972299,industry,2561330,1129900,20.45937614175495,3,20.63430058928857,5,20.931249976589854,-0.42613514452505186,-0.6010595920586717,-0.8980089793599539,GWR,OMI
Airolo,17.5633608815427,traffic,2690021,1153641,20.50249188139801,1,21.6465219901468,4,22.73846846318531,-2.939130999855312,-4.083161108604099,-5.17510758164261,GWR,OMI
Altdorf,17.8435616438356,traffic,2690175,1193550,24.013614525628782,5,24.21098142636334,4,25.205939134715255,-6.170052881793183,-6.36741978252774,-7.3623774908796555,GWR,OMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,6.612934830564444,4,6.744944894683772,5,7.3151191787618846,4.175494921501657,4.043484857382329,3.473310573304216,GWR,OMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,19.639482179563036,3,19.62172771682707,3,19.749627860044598,0.5956978758386633,0.6134523385746284,0.48555219535710137,GWR,OMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,17.139368842940524,1,17.506045843185525,5,16.600574928864987,-0.4044787330504249,-0.7711557332954264,0.1343151810251122,GWR,OMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,37.38433709626331,4,36.4232647347266,5,34.586804055039934,6.451218459292292,7.412290820829,9.248751500515667,GWR,OMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,29.76555180823806,3,30.478939591581344,5,28.14578182665445,-6.791940697126961,-7.505328480470244,-5.1721707155433485,GWR,OMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,30.863675153846888,4,30.67756194004933,1,30.790322163742758,2.1042700516326143,2.2903832654301723,2.1776230417367444,GWR,OMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,23.01426310649179,1,24.374357128305085,1,25.55306991805911,-5.129331599642491,-6.489425621455787,-7.66813841120981,GWR,OMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,28.300828577263225,2,27.862402788243347,1,30.328284294504158,-1.596145381670926,-1.1577195926510484,-3.623601098911859,GWR,OMI
Beromünster,7.92527777777778,background,2655840,1226780,7.951827422044072,3,7.990279338091496,5,8.060303353146715,-0.026549644266292027,-0.06500156031371596,-0.13502557536893445,GWR,OMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,23.78175272091568,2,24.459247059385397,1,24.296812703314394,-6.591474943137879,-7.268969281607596,-7.106534925536593,GWR,OMI
Bioggio,26.9662087912088,industry,2714170,1096525,22.5826768206543,5,21.236226955096022,2,20.841635944252552,4.3835319705545,5.729981836112778,6.124572846956248,GWR,OMI
Bodio,23.6654794520548,industry,2713360,1137370,21.60853852752126,2,22.025086595137772,2,20.74436278945811,2.0569409245335386,1.6403928569170283,2.921116662596692,GWR,OMI
Brigerbad,17.4225274725275,industry,2636790,1127555,13.363559673111444,1,13.377785393327787,2,11.941503088271595,4.058967799416054,4.044742079199711,5.481024384255903,GWR,OMI
Brione-sopra-Minusio,7.3158904109589,background,2706015,1115655,16.243012180112014,1,16.071622935940702,2,15.390173295842827,-8.927121769153114,-8.755732524981802,-8.074282884883926,GWR,OMI
Bulle-Rue-de-Vevey,22.8915068493151,traffic,2570695,1162924,18.49193298165247,3,18.61377937163546,4,17.754326971944227,4.399573867662628,4.27772747767964,5.137179877370873,GWR,OMI
Bussigny,29.9763085399449,traffic,2532800,1155660,28.189042369535386,2,27.720908983689093,4,26.22686335648566,1.787266170409513,2.2553995562558065,3.7494451834592404,GWR,OMI
Camignolo,43.1873278236915,traffic,2715430,1106905,29.066973057722617,4,28.602536707312098,2,27.99585083252194,14.12035476596888,14.5847911163794,15.191476991169559,GWR,OMI
Chaumont,4.98833333333333,background,2565090,1211040,4.117469480221274,1,4.758723417069819,4,4.292802443908817,0.8708638531120556,0.22960991626351035,0.6955308894245125,GWR,OMI
Chiasso,30.8665745856354,traffic,2723490,1077455,28.66044709397388,1,28.71509453367568,2,27.374938745604574,2.2061274916615226,2.151480051959723,3.4916358400308276,GWR,OMI
Chur-A13,25.416620498615,traffic,2757725,1191375,27.7219999314352,4,26.886507171908004,1,29.426715187387128,-2.3053794328201995,-1.4698866732930043,-4.010094688772128,GWR,OMI
Chur-RhB,11.8077777777778,background,2759645,1191105,20.74067119474478,4,20.200676931801464,1,20.539146902856512,-8.932893416966982,-8.392899154023665,-8.731369125078713,GWR,OMI
Davos-Promenade,22.5796143250689,background,2781957,1185583,9.55822473058926,4,9.23359636594304,1,8.756863627878182,13.02138959447964,13.34601795912586,13.822750697190717,GWR,OMI
Davos-Seehornwald,2.86694214876033,background,2784450,1187735,2.6734826036289565,4,1.7320515944533827,1,2.1063673143534674,0.19345954513137364,1.1348905543069474,0.7605748344068628,GWR,OMI
Delémont,13.5618784530387,background,2593500,1246050,19.550206524013976,5,19.375129656433316,5,19.92549760748075,-5.988328070975276,-5.813251203394616,-6.36361915444205,GWR,OMI
Dornach-Schulhaus-Brühl,13.3602739726027,background,2613144,1258911,16.94927128737759,1,16.747033199108504,5,17.366992979440106,-3.5889973147748915,-3.386759226505804,-4.006719006837406,GWR,OMI
Dübendorf-EMPA,21.5528767123288,background,2688675,1250900,20.12180163401722,1,20.940362663363587,3,19.554642099397515,1.4310750783115793,0.6125140489652132,1.9982346129312845,GWR,OMI
Ebikon-Sedel,17.3756164383562,background,2665480,1213325,21.894293737970166,5,22.899628924032275,4,23.41655358771936,-4.518677299613966,-5.524012485676074,-6.04093714936316,GWR,OMI
Egerkingen,25.810773480663,traffic,2627039,1240750,22.08182362354391,1,21.811531558705394,5,21.881833047446424,3.728949857119087,3.999241921957605,3.9289404332165745,GWR,OMI
