Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,26.251608502574257,4,26.283925172333266,5,26.31626027264262,-4.067354358927858,-4.099671028686867,-4.13200612899622,GWR,TROPOMI
Aigle,20.0332409972299,industry,2561330,1129900,16.81762969390079,1,15.27172519921531,5,16.358935889185613,3.2156113033291085,4.761515798014591,3.674305108044287,GWR,TROPOMI
Airolo,17.5633608815427,traffic,2690021,1153641,25.282807811799998,4,26.248227611058386,4,26.87019444957476,-7.719446930257298,-8.6848667295156865,-9.306833568032062,GWR,TROPOMI
Altdorf,17.8435616438356,traffic,2690175,1193550,24.94880598863068,3,25.182916280197848,4,25.932182520821208,-7.105244344795082,-7.339354636362248,-8.088620876985608,GWR,TROPOMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,9.830686883959924,4,10.214483926587196,5,11.18931627820103,0.9577428681061768,0.5739458254789049,-0.40088652613492926,GWR,TROPOMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,18.53467160506433,3,18.347579923539293,3,19.416695462578147,1.7005084503373702,1.8876001318624063,0.8184845928235518,GWR,TROPOMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,17.962864652669282,1,16.778467560176857,5,16.718128679281623,-1.227974542779183,-0.04357745028675808,0.01676143060847579,GWR,TROPOMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,35.44841533546916,4,34.067479517628094,5,31.20886056794418,8.387140220086444,9.768076037927507,12.626694987611423,GWR,TROPOMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,28.936782094096625,3,29.61042073217902,5,26.045316609300375,-5.963170982985524,-6.636809621067918,-3.0717054981892744,GWR,TROPOMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,31.231787631543007,4,31.37918562421148,1,31.0485832514467,1.7361575739364952,1.5887595812680217,1.9193619540328015,GWR,TROPOMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,25.327772314016705,1,26.32950629106129,1,27.875663547025304,-7.442840807167407,-8.44457478421199,-9.990732040176006,GWR,TROPOMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,27.6837197947359,2,27.67027286300006,1,29.945622827709702,-0.9790365991436012,-0.9655896674077624,-3.240939632117403,GWR,TROPOMI
Beromünster,7.92527777777778,background,2655840,1226780,7.7013167365935455,5,6.023883723286571,5,8.220660508226715,0.22396104118423477,1.9013940544912096,-0.29538273044893426,GWR,TROPOMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,23.02035176134501,2,23.533534579573715,1,23.94329167170868,-5.83007398356721,-6.3432568017959134,-6.753013893930877,GWR,TROPOMI
Bioggio,26.9662087912088,industry,2714170,1096525,21.929421286366907,4,21.427227862126177,2,20.414296747076225,5.036787504841893,5.538980929082623,6.551912044132575,GWR,TROPOMI
Bodio,23.6654794520548,industry,2713360,1137370,20.68084147901599,3,20.784126968816384,2,20.350833981553045,2.9846379730388115,2.881352483238416,3.3146454705017554,GWR,TROPOMI
Brigerbad,17.4225274725275,industry,2636790,1127555,13.427830462239433,3,13.58086627531296,2,13.193948681406813,3.994697010288066,3.8416611972145382,4.228578791120686,GWR,TROPOMI
Brione-sopra-Minusio,7.3158904109589,background,2706015,1115655,14.238255541898399,1,13.831279319341835,2,14.053297217924964,-6.9223651309394985,-6.515388908382935,-6.737406806966064,GWR,TROPOMI
Bulle-Rue-de-Vevey,22.8915068493151,traffic,2570695,1162924,18.778237045175064,3,18.851091012268807,4,18.564174824540466,4.113269804140035,4.040415837046293,4.327332024774634,GWR,TROPOMI
Bussigny,29.9763085399449,traffic,2532800,1155660,28.801395352905296,5,28.06785072376983,4,27.516325908825053,1.1749131870396035,1.9084578161750692,2.4599826311198463,GWR,TROPOMI
Camignolo,43.1873278236915,traffic,2715430,1106905,26.438945979163126,2,26.636282123803007,2,25.41571693539147,16.74838184452837,16.55104569988849,17.771610888300028,GWR,TROPOMI
Chaumont,4.98833333333333,background,2565090,1211040,7.939078754021709,2,8.139885368211358,4,8.10499920216108,-2.9507454206883796,-3.151552034878028,-3.1166658688277504,GWR,TROPOMI
Chiasso,30.8665745856354,traffic,2723490,1077455,27.317626908180312,1,28.696208642658178,2,26.680516908083238,3.5489476774550894,2.1703659429772237,4.186057677552164,GWR,TROPOMI
Chur-A13,25.416620498615,traffic,2757725,1191375,27.338143557689758,3,27.484717223626397,1,29.176322853508378,-1.921523059074758,-2.0680967250113973,-3.7597023548933777,GWR,TROPOMI
Chur-RhB,11.8077777777778,background,2759645,1191105,20.333833211522645,4,21.32464683644586,1,20.151642387206945,-8.526055433744846,-9.516869058668062,-8.343864609429145,GWR,TROPOMI
Davos-Promenade,22.5796143250689,background,2781957,1185583,8.632633363519677,2,8.180069544693026,1,7.7942147391610455,13.946980961549222,14.399544780375873,14.785399585907854,GWR,TROPOMI
Davos-Seehornwald,2.86694214876033,background,2784450,1187735,3.3884682261048606,4,4.270386842966344,1,2.692761081372747,-0.5215260773445305,-1.403444694206014,0.174181067387583,GWR,TROPOMI
Delémont,13.5618784530387,background,2593500,1246050,17.488718941487054,2,18.1952836085705,5,17.476907517521475,-3.926840488448354,-4.633405155531799,-3.915029064482775,GWR,TROPOMI
Dornach-Schulhaus-Brühl,13.3602739726027,background,2613144,1258911,16.18329272631129,2,16.80873780679144,5,16.777841145436355,-2.82301875370859,-3.4484638341887415,-3.417567172833655,GWR,TROPOMI
Dübendorf-EMPA,21.5528767123288,background,2688675,1250900,23.58262328902301,1,24.974125170317226,3,24.361768299176404,-2.0297465766942118,-3.421248457988426,-2.8088915868476043,GWR,TROPOMI
Ebikon-Sedel,17.3756164383562,background,2665480,1213325,21.087108206326647,5,22.067745178344094,4,21.98873716447992,-3.711491767970447,-4.6921287399878935,-4.6131207261237215,GWR,TROPOMI
Egerkingen,25.810773480663,traffic,2627039,1240750,21.157644626431384,5,19.914413401232043,5,20.733639867353293,4.653128854231614,5.896360079430956,5.077133613309705,GWR,TROPOMI
Eggerberg,8.07205479452055,background,2634047,1128450,10.482411264269334,3,10.65793637134344,2,10.057527124543208,-2.410356469748784,-2.5858815768228904,-1.9854723300226578,GWR,TROPOMI
Erstfeld-A2,24.1405027932961,traffic,2691390,1188470,22.799161839769287,3,22.84271317932804,4,23.27371048249651,1.3413409535268137,1.2977896139680603,0.866792310799589,GWR,TROPOMI
Fribourg-Chamblioux,34.8230769230769,traffic,2577125,1184538,28.545588800254045,5,27.986958247701132,1,29.17749811293629,6.277488122822852,6.836118675375765,5.645578810140606,GWR,TROPOMI
Fribourg-Parc-Pérolles,13.5324022346369,background,2578181,1182941,17.039390470429183,1,16.70695822686232,1,17.194643988574953,-3.5069882357922832,-3.17455599222542,-3.662241753938053,GWR,TROPOMI
Genève-Necker,35.2967123287671,background,2499864,1118200,32.93923861015136,5,32.588289879998555,5,31.64716893551607,2.3574737186157435,2.7084224487685447,3.6495433932510295,GWR,TROPOMI
Giubiasco,19.6839335180055,industry,2720255,1114535,19.007972020996444,1,18.19775706260851,2,17.882341492338384,0.6759614970090553,1.4861764553969898,1.8015920256671158,GWR,TROPOMI
Glarus-Feuerwehrstützpunkt,13.805,background,2723401,1212270,13.367156302613871,4,14.282216019534454,4,14.055706334818272,0.4378436973861284,-0.47721601953445436,-0.25070633481827187,GWR,TROPOMI
Härkingen-A1,31.9944903581267,traffic,2628875,1240185,29.365445392683192,3,29.11848383867059,5,29.05094659207564,2.6290449654435086,2.876006519456112,2.943543766051061,GWR,TROPOMI
Horgen-Sekundarschule,6.05,background,2687799,1234471,16.20069434395218,2,16.74824327309215,3,17.09542385870087,-10.150694343952178,-10.69824327309215,-11.045423858700868,GWR,TROPOMI
Ittigen,17.5338192419825,background,2603050,1202815,19.49084358159334,4,19.43461319153769,1,19.567298174590753,-1.9570243396108395,-1.9007939495551902,-2.0334789326082543,GWR,TROPOMI
Jungfraujoch,0.270621468926554,background,2641910,1155280,-1.6805529597571305,4,-1.3740581129036267,1,-3.7981603796869687,1.9511744286836845,1.6446795818301807,4.068781848613523,GWR,TROPOMI
La-Chaux-de-Fonds,21.6700831024931,traffic,2553467,1216963,18.784504776126,1,18.05424922155081,4,18.660368775881484,2.8855783263670993,3.61583388094229,3.009714326611615,GWR,TROPOMI
Langenthal,13.1436813186813,background,2626340,1228935,15.988251226823973,4,16.3962158595086,5,17.72360995108982,-2.844569908142672,-3.2525345408273,-4.579928632408519,GWR,TROPOMI
Lausanne-César-Roux,32.2245856353591,traffic,2538695,1152615,26.28701514180693,1,26.402151023033102,4,26.754665152457818,5.937570493552169,5.822434612325996,5.46992048290128,GWR,TROPOMI
Lausanne-Plaines-du-Loup,17.0352777777778,background,2537376,1154164,19.997362325913166,5,20.372524792139462,4,20.485093693481435,-2.9620845481353655,-3.3372470143616617,-3.4498159157036348,GWR,TROPOMI
Le-Landeron,8.4606648199446,background,2571175,1210800,10.738961184863596,3,10.772366987254006,4,11.308514102474366,-2.2782963649189956,-2.311702167309406,-2.847849282529765,GWR,TROPOMI
Le-Locle,19.4044568245125,traffic,2548581,1212842,17.317084572860438,4,18.183626996876466,4,18.07310038235087,2.087372251652063,1.2208298276360345,1.3313564421616313,GWR,TROPOMI
Les-Giettes,3.23178082191781,background,2563267,1119297,7.782467753254062,4,8.357291557864798,5,8.869574437788701,-4.550686931336252,-5.125510735946988,-5.6377936158708915,GWR,TROPOMI
Locarno,21.8531680440771,traffic,2704690,1113855,24.926693728117968,1,25.463192339347295,2,24.697300641461347,-3.0735256840408667,-3.6100242952701933,-2.8441325973842453,GWR,TROPOMI
Lugano-Pregassona,19.8676795580111,background,2718385,1098300,14.663278545865808,1,14.788374349829002,2,13.027769917955984,5.2044010121452935,5.079305208182099,6.839909640055117,GWR,TROPOMI
Lugano-Università,24.51108033241,background,2717615,1096645,20.909650503725246,2,20.378565104569798,2,20.485343976773734,3.601429828684754,4.1325152278402015,4.0257363556362655,GWR,TROPOMI
Lustenau Wiesenrain,18.6744382022472,background,2767146,1253330,19.573533696148417,5,19.647353362641514,1,19.785487654591655,-0.8990954939012177,-0.9729151603943151,-1.1110494523444565,GWR,TROPOMI
Luzern-Moosstrasse,35.2345205479452,traffic,2665789,1210898,26.984108433531965,1,27.668982725782698,4,27.20541059606794,8.250412114413237,7.565537822162504,8.029109951877263,GWR,TROPOMI
Magadino-Cadenazzo,15.2404432132964,background,2715500,1113200,10.12136165377444,5,6.650467925667058,2,10.422583729595077,5.119081559521961,8.589975287629343,4.817859483701323,GWR,TROPOMI
Massongex,13.6556164383562,industry,2564941,1121275,15.525867790353447,2,15.063289262002563,5,15.256586387068593,-1.870251351997247,-1.4076728236463634,-1.6009699487123932,GWR,TROPOMI
Meilen-Bezirksgericht,15.133333333333301,traffic,2691909,1235880,16.915779602918363,2,16.583640754746977,3,17.847448942028755,-1.782446269585062,-1.450307421413676,-2.7141156086954545,GWR,TROPOMI
Mendrisio-A2,31.6330578512397,traffic,2719472,1081336,38.049418562383956,1,41.79326500215004,2,37.091894875438896,-6.416360711144257,-10.160207150910338,-5.458837024199198,GWR,TROPOMI
Mesocco-A13,15.3698060941828,traffic,2738060,1139050,21.991440510154774,3,22.29931177379583,2,21.987312246264477,-6.6216344159719736,-6.929505679613028,-6.617506152081676,GWR,TROPOMI
