Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,24.934689418397127,1,24.748759186106668,5,25.20535053083502,-2.7504352747507284,-2.5645050424602687,-3.0210963871886207,GWR,spatial
Aigle,20.0332409972299,industry,2561330,1129900,20.15521378061267,3,19.845823033564834,5,20.21193163345846,-0.12197278338276973,0.1874179636650659,-0.17869063622855919,GWR,spatial
Airolo,17.5633608815427,traffic,2690021,1153641,21.67138491795211,1,22.773128473502776,4,24.003215131744135,-4.108024036409411,-5.209767591960077,-6.439854250201435,GWR,spatial
Altdorf,17.8435616438356,traffic,2690175,1193550,23.44630841428512,5,23.865158637065857,4,24.677097776899725,-5.602746770449521,-6.021596993230258,-6.8335361330641256,GWR,spatial
Avully-Passeiry,10.7884297520661,background,2489281,1113355,9.224145047313279,4,8.57386341085496,5,10.436483398626432,1.564284704752822,2.2145663412111407,0.3519463534396685,GWR,spatial
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,19.003051137326285,3,19.02341203272347,3,18.951857550080426,1.2321289180754142,1.2117680226782284,1.283322505321273,GWR,spatial
Basel-Binningen,16.7348901098901,background,2610890,1265605,16.596147398849308,1,17.41399506252318,5,15.831356694370871,0.13874271104079128,-0.6791049526330823,0.9035334155192274,GWR,spatial
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,37.49033587278156,4,36.375358502229375,5,34.1870858192582,6.345219682774044,7.460197053326226,9.6484697362974,GWR,spatial
Basel-St-Johann,22.9736111111111,background,2610795,1268365,30.273239709845207,3,31.09996121722031,5,27.984279100112445,-7.299628598734106,-8.12635010610921,-5.010667989001345,GWR,spatial
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,32.52132282655106,4,31.663599850414318,1,32.587151417109745,0.4466223789284456,1.304345355065184,0.38079378836975764,GWR,spatial
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,22.672741588038505,1,23.41524446438402,1,23.779433645495658,-4.787810081189207,-5.530312957534722,-5.894502138646359,GWR,spatial
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,26.234935208316067,2,26.180216834307743,1,26.85051689245914,0.46974798727623224,0.5244663612845564,-0.14583369686684122,GWR,spatial
Beromünster,7.92527777777778,background,2655840,1226780,7.048105710335256,3,6.810905898560256,5,7.349014740251995,0.8771720674425243,1.114371879217524,0.5762630375257851,GWR,spatial
Biel-Bienne,17.1902777777778,background,2586025,1221660,24.037074238109476,2,24.78176448429156,1,24.176109389423278,-6.846796460331674,-7.591486706513759,-6.985831611645477,GWR,spatial
Bioggio,26.9662087912088,industry,2714170,1096525,19.442776655562966,5,17.928781893195218,2,17.263051928585412,7.523432135645834,9.037426898013582,9.703156862623388,GWR,spatial
Bodio,23.6654794520548,industry,2713360,1137370,21.909192048037024,2,22.422430909810263,2,21.575863978972897,1.756287404017776,1.2430485422445372,2.0896154730819028,GWR,spatial
Brigerbad,17.4225274725275,industry,2636790,1127555,13.482300239896052,1,13.454456854634179,2,12.520439814253669,3.9402272326314467,3.9680706178933196,4.90208765827383,GWR,spatial
Brione-sopra-Minusio,7.3158904109589,background,2706015,1115655,16.712803405558876,1,17.105275193220077,2,16.886081989268142,-9.396912994599976,-9.789384782261177,-9.570191578309242,GWR,spatial
Bulle-Rue-de-Vevey,22.8915068493151,traffic,2570695,1162924,19.62944237482939,3,19.633329784062703,4,19.011152686402962,3.262064474485708,3.258177065252397,3.8803541629121376,GWR,spatial
Bussigny,29.9763085399449,traffic,2532800,1155660,27.485537119720295,2,27.533212637354254,4,26.51326413778787,2.490771420224604,2.4430959025906454,3.4630444021570277,GWR,spatial
Camignolo,43.1873278236915,traffic,2715430,1106905,30.226006326493803,4,29.495125036955987,2,29.714274825861647,12.961321497197694,13.69220278673551,13.47305299782985,GWR,spatial
Chaumont,4.98833333333333,background,2565090,1211040,6.962354817807151,1,7.990972653541619,4,7.569821146630855,-1.9740214844738215,-3.0026393202082895,-2.5814878132975254,GWR,spatial
Chiasso,30.8665745856354,traffic,2723490,1077455,24.937605678851604,1,26.12324329291344,2,23.704234432472894,5.928968906783798,4.743331292721962,7.162340153162507,GWR,spatial
Chur-A13,25.416620498615,traffic,2757725,1191375,25.8367015570031,4,25.629538117333652,1,25.962966745929304,-0.4200810583880994,-0.21291761871865234,-0.5463462473143039,GWR,spatial
Chur-RhB,11.8077777777778,background,2759645,1191105,20.434801304744852,4,20.302499042245813,1,20.31148818635161,-8.627023526967053,-8.494721264468014,-8.503710408573811,GWR,spatial
Davos-Promenade,22.5796143250689,background,2781957,1185583,9.653250635975253,4,9.507129611358708,1,8.822358424344642,12.926363689093646,13.07248471371019,13.757255900724257,GWR,spatial
Davos-Seehornwald,2.86694214876033,background,2784450,1187735,4.345570821088062,4,3.427437078016273,1,3.4335532962012736,-1.4786286723277318,-0.5604949292559427,-0.5666111474409434,GWR,spatial
Delémont,13.5618784530387,background,2593500,1246050,19.062044878080076,5,19.150506180681333,5,19.549355545431812,-5.500166425041376,-5.588627727642633,-5.987477092393112,GWR,spatial
Dornach-Schulhaus-Brühl,13.3602739726027,background,2613144,1258911,16.182502125136246,1,15.877602663550448,5,16.8753383622232,-2.8222281525335458,-2.517328690947748,-3.5150643896205,GWR,spatial
Dübendorf-EMPA,21.5528767123288,background,2688675,1250900,20.28727126997053,1,21.012150602591888,3,19.838994262638064,1.265605442358268,0.5407261097369123,1.713882449690736,GWR,spatial
Ebikon-Sedel,17.3756164383562,background,2665480,1213325,20.71143171367753,5,21.005940290347912,4,21.87111209416785,-3.3358152753213304,-3.6303238519917116,-4.495495655811649,GWR,spatial
Egerkingen,25.810773480663,traffic,2627039,1240750,21.252774341087544,1,20.722913585816315,5,20.985364378841066,4.557999139575454,5.087859894846684,4.825409101821933,GWR,spatial
Eggerberg,8.07205479452055,background,2634047,1128450,11.35648546558395,2,11.92462844080021,2,10.643436212795368,-3.284430671063399,-3.8525736462796605,-2.571381418274818,GWR,spatial
Erstfeld-A2,24.1405027932961,traffic,2691390,1188470,22.45503736461659,3,21.52676411716432,4,22.794592111253365,1.6854654286795103,2.6137386761317813,1.3459106820427351,GWR,spatial
Fribourg-Chamblioux,34.8230769230769,traffic,2577125,1184538,31.17700337209847,5,30.105106732223238,1,31.96455304128512,3.6460735509784286,4.717970190853659,2.8585238817917755,GWR,spatial
Fribourg-Parc-Pérolles,13.5324022346369,background,2578181,1182941,17.551708427030963,2,17.886139301788276,1,17.399798377364608,-4.019306192394064,-4.353737067151377,-3.867396142727708,GWR,spatial
Genève-Necker,35.2967123287671,background,2499864,1118200,34.93249302876471,1,35.27630534687011,5,33.93843429341084,0.36421930000238945,0.020406981896989862,1.358278035356257,GWR,spatial
Giubiasco,19.6839335180055,industry,2720255,1114535,21.389459232364647,1,22.569619974983258,2,19.988709925695744,-1.7055257143591476,-2.8856864569777585,-0.3047764076902446,GWR,spatial
Härkingen-A1,31.9944903581267,traffic,2628875,1240185,30.736084691045647,3,30.7899188399267,5,30.66737234254172,1.2584056670810533,1.2045715182000016,1.327118015584979,GWR,spatial
Ittigen,17.5338192419825,background,2603050,1202815,18.168722001515587,4,18.41910644026222,1,18.89436282779387,-0.6349027595330874,-0.8852871982797197,-1.3605435858113708,GWR,spatial
Jungfraujoch,0.270621468926554,background,2641910,1155280,-2.732829390672022,4,-5.944275162571442,1,-5.604597469547061,3.003450859598576,6.214896631497996,5.875218938473615,GWR,spatial
La-Chaux-de-Fonds,21.6700831024931,traffic,2553467,1216963,22.248089323493495,2,22.624291913709897,4,22.27016618188845,-0.5780062210003969,-0.9542088112167981,-0.6000830793953504,GWR,spatial
Langenthal,13.1436813186813,background,2626340,1228935,14.546419127201752,4,14.829934900144048,5,15.77692672011167,-1.4027378085204507,-1.686253581462747,-2.6332454014303686,GWR,spatial
Lausanne-César-Roux,32.2245856353591,traffic,2538695,1152615,26.69727310315651,5,26.581820092316093,4,27.161328958453513,5.52731253220259,5.642765543043005,5.063256676905585,GWR,spatial
Lausanne-Plaines-du-Loup,17.0352777777778,background,2537376,1154164,20.36940742007332,2,20.290868120076713,4,20.45225980470768,-3.334129642295519,-3.2555903422989125,-3.4169820269298796,GWR,spatial
Le-Landeron,8.4606648199446,background,2571175,1210800,15.359678318175355,4,14.384345991061332,4,15.234582973077423,-6.8990134982307545,-5.923681171116732,-6.773918153132822,GWR,spatial
Le-Locle,19.4044568245125,traffic,2548581,1212842,19.1272735449916,5,19.031132351512223,4,19.422798303071342,0.2771832795209015,0.3733244730002774,-0.01834147855884183,GWR,spatial
Les-Giettes,3.23178082191781,background,2563267,1119297,5.518217168099751,2,6.122979095956038,5,6.352593796840935,-2.286436346181941,-2.891198274038228,-3.1208129749231253,GWR,spatial
Locarno,21.8531680440771,traffic,2704690,1113855,24.848883125854723,5,24.90639577041573,2,24.54557960323749,-2.9957150817776217,-3.05322772633863,-2.692411559160387,GWR,spatial
Lugano-Pregassona,19.8676795580111,background,2718385,1098300,16.679917256293496,2,17.740643176478944,2,15.792672409860055,3.187762301717605,2.1270363815321573,4.075007148151046,GWR,spatial
Lugano-Università,24.51108033241,background,2717615,1096645,20.462367673088124,4,20.303562442932765,2,19.886925001749415,4.048712659321875,4.207517889477234,4.624155330660585,GWR,spatial
Lustenau Wiesenrain,18.6744382022472,background,2767146,1253330,16.773443359634996,5,16.23609699073823,1,17.433963142538996,1.900994842612203,2.4383412115089698,1.2404750597082028,GWR,spatial
Luzern-Moosstrasse,35.2345205479452,traffic,2665789,1210898,24.843839215267153,5,25.201025178951046,4,25.17741659650575,10.39068133267805,10.033495368994156,10.057103951439451,GWR,spatial
Magadino-Cadenazzo,15.2404432132964,background,2715500,1113200,12.952692719491733,4,9.919153427681898,2,14.414190816415154,2.2877504938046673,5.321289785614502,0.8262523968812463,GWR,spatial
Massongex,13.6556164383562,industry,2564941,1121275,17.21818965184204,5,17.54074841569694,5,17.18190154291565,-3.562573213485839,-3.8851319773407393,-3.5262851045594505,GWR,spatial
Mendrisio-A2,31.6330578512397,traffic,2719472,1081336,35.26139288001429,3,35.52612068305977,2,34.63883643933065,-3.6283350287745932,-3.8930628318200746,-3.005778588090955,GWR,spatial
Mesocco-A13,15.3698060941828,traffic,2738060,1139050,25.114090439297808,2,26.073244063904347,2,25.261928806908198,-9.744284345115007,-10.703437969721547,-9.892122712725397,GWR,spatial
Meyrin-Vaudagne,15.2978082191781,background,2494742,1120874,21.786484453600124,2,22.764811775024196,5,23.999426348992962,-6.488676234422025,-7.467003555846096,-8.701618129814863,GWR,spatial
Moleno-A2,30.8827397260274,traffic,2719940,1126560,27.1587277760875,2,28.0517313368617,2,27.191326926601498,3.7240119499399,2.8310083891656994,3.691412799425901,GWR,spatial
Montana,10.1631578947368,background,2603346,1128235,6.411104766753978,3,5.083174932197343,2,6.172293041439178,3.7520531279828226,5.079982962539457,3.990864853297622,GWR,spatial
Montreux,16.9458563535912,background,2559500,1142490,21.415771515332594,3,21.27850479611033,5,21.24378065596711,-4.469915161741394,-4.33264844251913,-4.297924302375911,GWR,spatial
Morges,21.3454545454545,background,2527930,1151552,29.546115804199317,5,29.346454493135184,4,30.094646341243756,-8.200661258744816,-8.000999947680683,-8.749191795789255,GWR,spatial
Muttenz-Hard-A2,41.0131652661064,traffic,2615780,1265295,34.8999234272239,3,35.24479418384217,5,33.922264066547164,6.113241838882502,5.768371082264231,7.090901199559234,GWR,spatial
Neuchâtel,25.2290960451977,traffic,2561518,1204935,23.44102112660261,1,23.141250550539297,4,23.698680611199325,1.7880749185950897,2.087845494658403,1.5304154339983747,GWR,spatial
Neuhausen-Schaffhauserstrasse,28.536914600551,traffic,2688816,1282412,24.729199004124528,1,24.646751164519372,3,24.6617556816048,3.8077155964264726,3.890163436031628,3.8751589189462017,GWR,spatial
Nyon-Hôpital,15.7158774373259,background,2506900,1137640,20.27596194397344,1,21.717346174349537,5,20.731286738636342,-4.560084506647538,-6.001468737023636,-5.0154093013104415,GWR,spatial
Opfikon-Balsberg,33.6225274725275,traffic,2685351,1254830,37.448667208368306,2,38.183975242322305,3,36.958960697270285,-3.8261397358408047,-4.561447769794803,-3.336433224742784,GWR,spatial
Opfikon-Glattpark,25.3533149171271,background,2684665,1253012,24.17283108467778,2,23.667683652590995,3,23.654693975742354,1.180483832449319,1.6856312645361058,1.6986209413847462,GWR,spatial
Payerne,11.5545205479452,background,2562285,1184775,13.947404541402529,1,14.328556331565263,4,14.125815138648653,-2.3928839934573283,-2.7740357836200626,-2.5712945907034523,GWR,spatial
Rapperswil-Tüchelweier,20.3230555555556,traffic,2704856,1231660,19.68762448639901,2,20.222807962495448,3,19.69848112235052,0.6354310691565921,0.1002475930601534,0.6245744332050833,GWR,spatial
Reiden-A2,25.2475274725275,traffic,2639560,1232110,25.24642044083106,5,25.12064573743736,5,25.496722890586067,0.0011070316964421067,0.12688173509014078,-0.24919541805856582,GWR,spatial
Rigi-Seebodenalp,4.82657534246575,background,2677835,1213440,2.748448676467599,4,0.38426555078587804,4,3.0937972947989683,2.078126665998151,4.442309791679872,1.7327780476667818,GWR,spatial
Rothenbrunnen-A13,21.7770718232044,traffic,2751540,1181150,21.57300991934904,4,21.067281208453707,1,21.18877607075209,0.20406190385535794,0.7097906147506912,0.5882957524523071,GWR,spatial
San-Vittore,13.4232044198895,traffic,2728549,1122183,18.75497260444334,3,19.802825949476286,2,19.022193136738583,-5.331768184553839,-6.379621529586787,-5.5989887168490835,GWR,spatial
Saxon,14.5318681318681,background,2577566,1109764,11.482444898074068,3,10.42242718231874,2,10.68924962271565,3.049423233794032,4.109440949549359,3.84261850915245,GWR,spatial
Schupfart-Blind,8.77762039660057,background,2639304,1263441,5.456868647140051,3,4.819061953188578,5,6.178836191454416,3.320751749460519,3.9585584434119916,2.5987842051461536,GWR,spatial
Schwyz,16.3969863013699,background,2691911,1208039,18.350313418076276,3,17.627737695489376,4,18.929583291216296,-1.953327116706376,-1.2307513941194763,-2.5325969898463967,GWR,spatial
Sion,20.4603305785124,traffic,2593702,1120409,19.07093459145786,2,18.988163408537954,2,18.555145555153192,1.3893959870545416,1.4721671699744476,1.9051850233592091,GWR,spatial
Sion-Aéroport-A9,29.7285714285714,traffic,2592540,1118755,24.457188219831032,1,24.040507564529104,2,23.87192388707171,5.271383208740367,5.688063864042295,5.85664754149969,GWR,spatial
Sissach-Bützenen,15.1540166204986,background,2628415,1257193,13.172376805595778,3,12.557038229909526,5,13.336214855335308,1.981639814902822,2.596978390589074,1.817801765163292,GWR,spatial
Solothurn-Altwyberhüsli,15.4088154269972,background,2607067,1229160,16.736743820884772,2,17.023547135669318,5,17.20201067558338,-1.3279283938875714,-1.6147317086721173,-1.79319524858618,GWR,spatial
Solothurn-Werkhofstrasse,22.4402739726027,traffic,2607259,1228757,19.35817416339677,3,19.433831305580778,5,19.05488566696888,3.0820998092059284,3.006442667021922,3.385388305633821,GWR,spatial
St-Gallen-Blumenbergplatz,33.0806629834254,traffic,2746011,1254720,28.987976852580385,3,29.23576782849813,3,28.78260488599644,4.0926861308450135,3.8448951549272685,4.298058097428957,GWR,spatial
St-Gallen-Stuelegg,6.50413223140496,background,2747601,1252530,3.761405496314032,5,3.423388269118057,1,1.9006600495548525,2.7427267350909283,3.0807439622869035,4.603472181850108,GWR,spatial
Tänikon,11.132782369146,background,2710500,1259810,12.631246361924847,5,12.719206601232239,3,12.867878907248528,-1.4984639927788468,-1.5864242320862392,-1.7350965381025283,GWR,spatial
Thônex-Foron,17.4019178082192,background,2505254,1116758,18.096804252024672,1,18.01615513961463,5,18.251063453349236,-0.6948864438054727,-0.6142373313954295,-0.8491456451300365,GWR,spatial
Thun-Bälliz,20.3532544378698,background,2614380,1178750,17.56182145285556,5,17.239421503811222,1,17.79324584905964,2.7914329850142394,3.1138329340585784,2.5600085888101596,GWR,spatial
Thun-Pestalozzi,14.9313186813187,background,2614075,1178160,18.432323785117497,5,17.934608741610123,1,18.70787466392949,-3.5010051037987964,-3.003290060291423,-3.776555982610791,GWR,spatial
Winterthur-Veltheim,15.7108333333333,background,2696556,1262725,19.665985165508214,3,19.697550266752494,3,19.69338648099973,-3.9551518321749146,-3.986716933419194,-3.9825531476664313,GWR,spatial
Yverdon-les-Bains,16.6079889807163,background,2538615,1181105,22.20834493243633,4,22.157089091123197,4,21.787168593754423,-5.600355951720029,-5.549100110406897,-5.179179613038123,GWR,spatial
Zug,25.4345205479452,traffic,2681625,1224641,18.964242496152686,5,18.52693012710376,3,18.778006956360045,6.470278051792516,6.907590420841441,6.656513591585156,GWR,spatial
Zürich-Heubeeribüel,12.6069252077562,background,2685126,1248460,14.614220965647899,4,14.403428650529289,3,14.807492966029546,-2.007295757891699,-1.7965034427730888,-2.200567758273346,GWR,spatial
Zürich-Kaserne,24.0316804407713,background,2682450,1247990,22.97368752451071,1,23.79953386102923,3,22.548994404875355,1.0579929162605914,0.23214657974207142,1.482686035895945,GWR,spatial
Zürich-Rosengartenstrasse,44.4698630136986,traffic,2682096,1249940,37.401126160508575,2,37.346708447987915,3,36.98046873851778,7.068736853190025,7.123154565710685,7.489394275180821,GWR,spatial
Zürich-Schimmelstrasse,35.2633608815427,traffic,2681942,1247245,34.41792842272956,5,34.09877139394375,3,33.977226814759746,0.8454324588131428,1.1645894875989526,1.2861340667829566,GWR,spatial
Zürich-Stampfenbachstrasse,26.2805479452055,traffic,2683146,1249020,33.02046654112045,4,32.694819934283075,3,32.70864230000535,-6.739918595914947,-6.414271989077573,-6.42809435479985,GWR,spatial
