Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,26.735660646723492,1,30.145964173395285,5,29.547140760167853,-4.551406503077093,-7.961710029748886,-7.362886616521454,LGB,OMI
Aigle,20.0332409972299,industry,2561330,1129900,19.66871689295198,3,19.011013895987126,5,20.375960647239992,0.36452410427791904,1.0222271012427733,-0.34271965001009264,LGB,OMI
Airolo,17.5633608815427,traffic,2690021,1153641,19.695292116161472,1,24.9288338067328,4,24.242576408704164,-2.131931234618772,-7.365472925190101,-6.679215527161464,LGB,OMI
Altdorf,17.8435616438356,traffic,2690175,1193550,22.04424532792829,5,24.458359940130677,4,24.92556456080212,-4.2006836840926915,-6.614798296295078,-7.08200291696652,LGB,OMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,9.69883262581877,4,9.977755045142635,5,9.121535760185221,1.0895971262473303,0.8106747069234661,1.6668939918808796,LGB,OMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,18.058611557395686,3,21.226678086219867,3,16.297243849053242,2.176568498006013,-0.9914980308181676,3.937936206348457,LGB,OMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,15.99036521043894,1,16.75574529003382,5,15.698356922601596,0.7445248994511591,-0.020855180143719565,1.0365331872885033,LGB,OMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,36.428874223912835,4,33.56444337732199,5,30.45331118493649,7.4066813316427655,10.271112178233608,13.382244370619112,LGB,OMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,23.824828237555167,3,28.39171956509479,5,22.763526063928467,-0.851217126444066,-5.418108453983688,0.2100850471826341,LGB,OMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,30.995125015106858,4,29.866414154800182,1,29.92882995268579,1.9728201903726443,3.10153105067932,3.0391152527937138,LGB,OMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,19.613366814538846,1,19.597138407088565,1,19.950535491454872,-1.7284353076895478,-1.7122069002392664,-2.0656039846055734,LGB,OMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,28.925878926337933,2,30.88393595032879,1,30.338095749210442,-2.2211957307456345,-4.179252754736492,-3.633412553618143,LGB,OMI
Beromünster,7.92527777777778,background,2655840,1226780,9.279852701440744,3,8.602217812216152,5,10.719641799383464,-1.3545749236629634,-0.6769400344383714,-2.7943640216056833,LGB,OMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,21.479776793601324,2,27.78937516002234,1,27.8383933875965,-4.289499015823523,-10.59909738224454,-10.6481156098187,LGB,OMI
Bioggio,26.9662087912088,industry,2714170,1096525,25.27165132859962,5,21.19244304878991,2,17.496735045968517,1.694557462609179,5.773765742418888,9.469473745240283,LGB,OMI
Bodio,23.6654794520548,industry,2713360,1137370,20.195651021965766,2,16.088738686761815,2,17.426137034030315,3.4698284300890343,7.5767407652929855,6.239342418024485,LGB,OMI
Brigerbad,17.4225274725275,industry,2636790,1127555,14.534132125907586,1,13.493374098864024,2,9.866924003057571,2.8883953466199124,3.9291533736634747,7.5556034694699274,LGB,OMI
Brione-sopra-Minusio,7.3158904109589,background,2706015,1115655,8.353469979110836,1,13.933696954020617,2,11.219142579251203,-1.0375795681519353,-6.617806543061716,-3.903252168292303,LGB,OMI
