Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,26.9054109578805,1,31.804208767540963,5,30.920530066589222,-4.721156814234099,-9.619954623894564,-8.736275922942824,LGB,TROPOMI
Aigle,20.0332409972299,industry,2561330,1129900,18.88431787938441,3,19.106179181994456,5,18.592369214265084,1.148923117845488,0.9270618152354437,1.440871782964816,LGB,TROPOMI
Airolo,17.5633608815427,traffic,2690021,1153641,19.96566691386868,1,23.12201729260922,4,24.312762914662837,-2.4023060323259813,-5.558656411066519,-6.749402033120138,LGB,TROPOMI
Altdorf,17.8435616438356,traffic,2690175,1193550,21.342612851969914,5,24.317398623352375,4,25.465082585094084,-3.499051208134315,-6.473836979516776,-7.621520941258485,LGB,TROPOMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,9.855564582251507,4,10.105406052310826,5,9.026000440376647,0.932865169814594,0.6830236997552745,1.7624293116894538,LGB,TROPOMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,18.581259389677612,3,19.72874750964312,3,16.465025586774686,1.6539206657240868,0.5064325457585781,3.7701544686270125,LGB,TROPOMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,16.54442746717137,1,18.606581375727618,5,16.331849640164364,0.19046264271872815,-1.8716912658375193,0.4030404697257346,LGB,TROPOMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,36.376724817491116,4,33.40571673579569,5,31.396628978362582,7.458830738064485,10.429838819759908,12.438926577193019,LGB,TROPOMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,24.14394753930552,3,27.52310136254673,5,22.327833512925558,-1.1703364281944175,-4.549490251435628,0.6457775981855427,LGB,TROPOMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,31.138588912742065,4,28.82828341411838,1,29.903527016877046,1.8293562927374367,4.139661791361121,3.064418188602456,LGB,TROPOMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,18.729252400946613,1,18.73877353738209,1,20.027478926829776,-0.844320894097315,-0.8538420305327925,-2.1425474199804775,LGB,TROPOMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,29.204186603354017,2,30.488002366105768,1,30.084370532902117,-2.4995034077617184,-3.7833191705134688,-3.379687337309818,LGB,TROPOMI
Beromünster,7.92527777777778,background,2655840,1226780,8.511427866801439,3,8.819859677922903,5,9.888686713402958,-0.5861500890236586,-0.8945819001451225,-1.9634089356251776,LGB,TROPOMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,21.063985613674372,2,28.201302289511467,1,28.104831937642732,-3.873707835896571,-11.011024511733666,-10.914554159864931,LGB,TROPOMI
Bioggio,26.9662087912088,industry,2714170,1096525,24.905992348404034,5,23.603022953605272,2,18.45699845333316,2.060216442804766,3.3631858376035275,8.50921033787564,LGB,TROPOMI
Bodio,23.6654794520548,industry,2713360,1137370,19.73908849758129,2,15.166961016988846,2,17.383425794272153,3.9263909544735114,8.498518435065954,6.282053657782647,LGB,TROPOMI
Brigerbad,17.4225274725275,industry,2636790,1127555,14.736239107074182,1,12.14625438018704,2,10.638970575804553,2.6862883654533167,5.276273092340459,6.783556896722946,LGB,TROPOMI
Brione-sopra-Minusio,7.3158904109589,background,2706015,1115655,8.798237549857411,1,12.705488496216413,2,12.358477067232894,-1.4823471388985112,-5.3895980852575125,-5.042586656273993,LGB,TROPOMI
Bulle-Rue-de-Vevey,22.8915068493151,traffic,2570695,1162924,19.626104882571376,3,16.547265085247123,4,14.330470772936897,3.265401966743724,6.344241764067977,8.561036076378203,LGB,TROPOMI
Bussigny,29.9763085399449,traffic,2532800,1155660,28.810385630503202,2,29.21394025205542,4,31.792814701766748,1.1659229094416972,0.7623682878894797,-1.8165061618218488,LGB,TROPOMI
Camignolo,43.1873278236915,traffic,2715430,1106905,35.533889990781475,4,30.789131570737315,2,28.13764573273153,7.653437832910022,12.398196252954182,15.049682090959966,LGB,TROPOMI
