Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,21.665306091308594,4,22.5037899017334,5,24.655210494995117,0.5189480523378052,-0.3195357580869995,-2.4709563513487183,NN,OMI
Aigle,20.0332409972299,industry,2561330,1129900,18.874536514282227,1,14.204108238220215,5,15.20112419128418,1.1587044829476731,5.829132759009685,4.83211680594572,NN,OMI
Airolo,17.5633608815427,traffic,2690021,1153641,15.792985916137695,4,21.470476150512695,4,23.571903228759766,1.7703749654050043,-3.9071152689699957,-6.008542347217066,NN,OMI
Altdorf,17.8435616438356,traffic,2690175,1193550,17.824325561523438,3,24.317890167236328,4,28.68168067932129,0.019236082312161784,-6.474328523400729,-10.83811903548569,NN,OMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,11.005599975585938,4,10.106663703918457,5,7.446914196014404,-0.21717022351983672,0.6817660481476437,3.3415155560516965,NN,OMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,15.236930847167969,3,12.827763557434082,3,15.200572967529297,4.99824920823373,7.407416497967617,5.034607087872402,NN,OMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,16.138324737548828,1,19.570825576782227,5,20.39524269104004,0.5965653723412707,-2.8359354668921277,-3.66035258114994,NN,OMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,31.10936164855957,4,28.155689239501953,5,35.11907196044922,12.72619390699603,15.679866316053648,8.716483595106382,NN,OMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,22.346420288085938,3,29.080713272094727,5,29.297414779663086,0.6271908230251633,-6.107102160983626,-6.323803668551985,NN,OMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,29.020727157592773,4,30.501564025878906,1,29.073715209960938,3.9472180478867287,2.466381179600596,3.8942299955185646,NN,OMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,17.29149055480957,1,19.437490463256836,1,21.91422462463379,0.5934409520397281,-1.5525589564075375,-4.029293117784491,NN,OMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,25.8835391998291,2,23.569847106933594,1,25.02243423461914,0.8211439957631974,3.1348360886587052,1.6822489609731583,NN,OMI
Beromünster,7.92527777777778,background,2655840,1226780,7.6002726554870605,5,3.8849902153015137,5,5.601909637451172,0.32500512229071976,4.040287562476267,2.3233681403266084,NN,OMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,20.726533889770508,2,26.25957489013672,1,22.62419891357422,-3.5362561119927065,-9.069297112358917,-5.4339211357964174,NN,OMI
Bioggio,26.9662087912088,industry,2714170,1096525,25.361061096191406,4,25.504783630371094,2,23.489452362060547,1.6051476950173935,1.461425160837706,3.476756429148253,NN,OMI
Bodio,23.6654794520548,industry,2713360,1137370,19.259733200073242,3,17.53500747680664,2,19.582345962524414,4.405746251981558,6.13047197524816,4.083133489530386,NN,OMI
Brigerbad,17.4225274725275,industry,2636790,1127555,15.89610481262207,3,13.058890342712402,2,12.619329452514648,1.5264226599054282,4.363637129815096,4.80319802001285,NN,OMI
Brione-sopra-Minusio,7.3158904109589,background,2706015,1115655,8.883994102478027,1,14.341906547546387,2,14.249855041503906,-1.568103691519127,-7.0260161365874865,-6.933964630545006,NN,OMI
Bulle-Rue-de-Vevey,22.8915068493151,traffic,2570695,1162924,16.709514617919922,3,18.04498291015625,4,16.874340057373047,6.181992231395178,4.84652393915885,6.017166791942053,NN,OMI
Bussigny,29.9763085399449,traffic,2532800,1155660,28.436235427856445,5,28.104785919189453,4,31.02686882019043,1.5400731120884537,1.8715226207554458,-1.0505602802455307,NN,OMI
Camignolo,43.1873278236915,traffic,2715430,1106905,27.466808319091797,2,23.072616577148438,2,20.94284439086914,15.7205195045997,20.11471124654306,22.244483432822356,NN,OMI
Chaumont,4.98833333333333,background,2565090,1211040,4.603986740112305,2,6.043206691741943,4,4.587176322937012,0.38434659322102505,-1.0548733584086136,0.401157010396318,NN,OMI
Chiasso,30.8665745856354,traffic,2723490,1077455,28.453805923461914,1,22.124061584472656,2,27.50098419189453,2.4127686621734874,8.742513001162745,3.36559039374087,NN,OMI
Chur-A13,25.416620498615,traffic,2757725,1191375,25.132308959960938,3,22.173913955688477,1,22.89735221862793,0.28431153865406245,3.2427065429265234,2.5192682799870703,NN,OMI
Chur-RhB,11.8077777777778,background,2759645,1191105,15.875271797180176,4,15.904671669006348,1,18.846345901489258,-4.0674940194023765,-4.096893891228548,-7.038568123711459,NN,OMI
Davos-Promenade,22.5796143250689,background,2781957,1185583,11.688212394714355,2,6.465609073638916,1,11.57787036895752,10.891401930354544,16.114005251429983,11.00174395611138,NN,OMI
