Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,25.486309051513672,1,23.840181350708008,5,25.467885971069336,-3.302054907867273,-1.655927207061609,-3.283631827422937,NN,TROPOMI
Aigle,20.0332409972299,industry,2561330,1129900,15.04799747467041,3,11.569097518920898,5,14.06788158416748,4.9852435225594895,8.464143478309001,5.965359413062419,NN,TROPOMI
Airolo,17.5633608815427,traffic,2690021,1153641,19.102811813354492,1,20.769546508789062,4,22.98330307006836,-1.5394509318117926,-3.206185627246363,-5.41994218852566,NN,TROPOMI
Altdorf,17.8435616438356,traffic,2690175,1193550,23.552814483642578,5,27.068519592285156,4,27.28314208984375,-5.709252839806979,-9.224957948449557,-9.43958044600815,NN,TROPOMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,9.909797668457031,4,9.868917465209961,5,9.798394203186035,0.8786320836090695,0.9195122868561398,0.9900355488800656,NN,TROPOMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,17.317750930786133,3,15.8031005859375,3,15.191031455993652,2.917429124615566,4.432079469464199,5.044148599408047,NN,TROPOMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,19.400577545166016,1,23.582477569580078,5,24.791027069091797,-2.665687435275917,-6.847587459689979,-8.056136959201698,NN,TROPOMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,35.29312515258789,4,32.715667724609375,5,38.632511138916016,8.54243040296771,11.119887830946226,5.203044416639585,NN,TROPOMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,24.06415557861328,3,25.516639709472656,5,29.190954208374023,-1.0905444675021805,-2.5430285983615555,-6.217343097262923,NN,TROPOMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,31.535675048828125,4,30.44873809814453,1,30.771163940429688,1.4322701566513771,2.519207107334971,2.1967812650498146,NN,TROPOMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,19.087064743041992,1,18.718128204345703,1,20.709447860717773,-1.2021332361926937,-0.8331966974964047,-2.824516353868475,NN,TROPOMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,24.79801368713379,2,24.55864143371582,1,25.224639892578125,1.90666950845851,2.1460417618764787,1.480043303014174,NN,TROPOMI
Beromünster,7.92527777777778,background,2655840,1226780,6.945713043212891,3,4.995612621307373,5,6.127371311187744,0.9795647345648897,2.9296651564704073,1.7979064665900362,NN,TROPOMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,25.004226684570312,2,26.204938888549805,1,24.61615562438965,-7.813948906792511,-9.014661110772003,-7.425877846611847,NN,TROPOMI
Bioggio,26.9662087912088,industry,2714170,1096525,23.322965621948242,5,22.931385040283203,2,17.34635353088379,3.6432431692605576,4.034823750925597,9.61985526032501,NN,TROPOMI
Bodio,23.6654794520548,industry,2713360,1137370,20.246023178100586,2,19.065969467163086,2,17.594329833984375,3.4194562739542143,4.599509984891714,6.071149618070425,NN,TROPOMI
Brigerbad,17.4225274725275,industry,2636790,1127555,15.05823802947998,1,11.010031700134277,2,10.106308937072754,2.364289443047518,6.412495772393221,7.316218535454745,NN,TROPOMI
Brione-sopra-Minusio,7.3158904109589,background,2706015,1115655,13.455035209655762,1,14.95591926574707,2,12.203659057617188,-6.1391447986968615,-7.64002885478817,-4.887768646658287,NN,TROPOMI
Bulle-Rue-de-Vevey,22.8915068493151,traffic,2570695,1162924,18.002222061157227,3,14.853404998779297,4,14.196026802062988,4.889284788157873,8.038101850535803,8.695480047252111,NN,TROPOMI
Bussigny,29.9763085399449,traffic,2532800,1155660,26.974641799926758,2,25.561662673950195,4,21.917417526245117,3.001666740018141,4.414645865994704,8.058891013699782,NN,TROPOMI
Camignolo,43.1873278236915,traffic,2715430,1106905,22.911760330200195,4,20.17766571044922,2,18.8369197845459,20.2755674934913,23.00966211324228,24.3504080391456,NN,TROPOMI
Chaumont,4.98833333333333,background,2565090,1211040,5.079807281494141,1,6.273468494415283,4,6.42429256439209,-0.09147394816081089,-1.2851351610819535,-1.4359592310587601,NN,TROPOMI
Chiasso,30.8665745856354,traffic,2723490,1077455,25.280315399169922,1,24.174226760864258,2,22.081771850585938,5.58625918646548,6.692347824771144,8.784802735049464,NN,TROPOMI
Chur-A13,25.416620498615,traffic,2757725,1191375,21.993284225463867,4,19.249069213867188,1,19.66090202331543,3.4233362731511328,6.1675512847478124,5.75571847529957,NN,TROPOMI
Chur-RhB,11.8077777777778,background,2759645,1191105,15.158418655395508,4,14.748270034790039,1,15.371978759765625,-3.3506408776177086,-2.94049225701224,-3.5642009819878258,NN,TROPOMI
Davos-Promenade,22.5796143250689,background,2781957,1185583,9.243232727050781,4,7.165053844451904,1,8.26950454711914,13.336381598018118,15.414560480616995,14.310109777949759,NN,TROPOMI
Davos-Seehornwald,2.86694214876033,background,2784450,1187735,2.942411184310913,4,2.9940123558044434,1,4.486779689788818,-0.07546903555058293,-0.1270702070441132,-1.6198375410284882,NN,TROPOMI
Delémont,13.5618784530387,background,2593500,1246050,13.401033401489258,5,14.200689315795898,5,14.812387466430664,0.16084505154944218,-0.63881086275719845,-1.250509013391964,NN,TROPOMI
Dornach-Schulhaus-Brühl,13.3602739726027,background,2613144,1258911,13.022830963134766,1,13.120473861694336,5,15.133559226989746,0.3374430094679344,0.23980011090836406,-1.773285254387046,NN,TROPOMI
Dübendorf-EMPA,21.5528767123288,background,2688675,1250900,21.09389305114746,1,21.931737899780273,3,20.259218215942383,0.45898366118133893,-0.37886118745147357,1.293658496386417,NN,TROPOMI
