Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,24.845739866750623,1,23.9501791467953,5,24.499796677662747,-2.6614857231042244,-1.7659250031489009,-2.3155425340163482,RF,TROPOMI
Aigle,20.0332409972299,industry,2561330,1129900,17.79403088799637,3,17.781186981321163,5,18.01816313638293,2.239210109233529,2.2520540159087368,2.0150778608469686,RF,TROPOMI
Airolo,17.5633608815427,traffic,2690021,1153641,22.848428023525493,1,21.922495470737438,4,24.33943247703395,-5.285067141982793,-4.359134589194738,-6.776071595491249,RF,TROPOMI
Altdorf,17.8435616438356,traffic,2690175,1193550,23.69398912693347,5,24.349658748897355,4,24.998017792663713,-5.850427483097871,-6.506097105061755,-7.154456148828114,RF,TROPOMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,9.115585336940187,4,9.573426387890262,5,9.334118340914001,1.6728444151259136,1.215003364175839,1.4543114111520996,RF,TROPOMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,18.650656804230024,3,18.814485459634753,3,18.12272760718413,1.5845232511716745,1.4206945957669461,2.1124524482175673,RF,TROPOMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,20.065542365726166,1,19.954556069949046,5,20.017324023688808,-3.3306522558360676,-3.219665960058947,-3.282433913798709,RF,TROPOMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,27.194065793943068,4,28.263086055133677,5,27.670318763387453,16.641489761612533,15.572469500421924,16.165236792168148,RF,TROPOMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,26.061941104385724,3,25.309980163137087,5,23.877236858446555,-3.0883299932746233,-2.3363690520259865,-0.9036257473354539,RF,TROPOMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,30.84938953269981,4,31.033498081272377,1,31.00216158522942,2.118555672779692,1.934447124207125,1.9657836202500825,RF,TROPOMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,22.209061671321216,1,21.53511456879988,1,22.526112161611724,-4.324130164471917,-3.6501830619505817,-4.641180654762426,RF,TROPOMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,28.426120981223786,2,27.22508258479555,1,28.647242823803943,-1.7214377856314869,-0.5203993892032521,-1.9425596282116437,RF,TROPOMI
Beromünster,7.92527777777778,background,2655840,1226780,6.671018393953295,3,6.511009812520544,5,6.639824910088269,1.2542593838244853,1.4142679652572365,1.2854528676895116,RF,TROPOMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,25.29124677768265,2,25.54584590845769,1,24.899068373903546,-8.10096899990485,-8.355568130679888,-7.708790596125745,RF,TROPOMI
