Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,25.795846430039855,4,25.846174157922725,5,25.395806725203254,-3.6115922863934564,-3.661920014276326,-3.2115525815568553,SLR,OMI
Aigle,20.0332409972299,industry,2561330,1129900,20.059894393602843,1,20.181434724337095,5,20.3926932424565,-0.02665339637294295,-0.14819372710719492,-0.35945224522659913,SLR,OMI
Airolo,17.5633608815427,traffic,2690021,1153641,21.377747982188918,4,22.428872773977115,4,22.90796262768973,-3.8143871006462184,-4.865511892434416,-5.344601746147031,SLR,OMI
Altdorf,17.8435616438356,traffic,2690175,1193550,22.38190158930227,3,22.246058183249627,4,23.135276427786813,-4.538339945466671,-4.402496539414027,-5.291714783951214,SLR,OMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,9.393686298605118,4,9.274791336727649,5,10.824292189476052,1.3947434534609826,1.513638415338452,-0.03586243740995165,SLR,OMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,18.186329935076795,3,18.182691890577487,3,18.404334036277007,2.0488501203249037,2.0524881648242115,1.8308460191246922,SLR,OMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,17.750652473942903,1,17.67362400217807,5,17.621923612072898,-1.0157623640528044,-0.9387338922879707,-0.8870335021827991,SLR,OMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,38.041911688091545,4,37.27178730876793,5,35.04684677569101,5.793643867464056,6.563768246787674,8.788708779864592,SLR,OMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,29.245290976274546,3,29.762273103753103,5,27.003854892332384,-6.2716798651634456,-6.788661992642002,-4.030243781221284,SLR,OMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,31.996117883702823,4,31.961703395825513,1,31.984611395983375,0.9718273217766793,1.0062418096539893,0.983333809496127,SLR,OMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,23.755495535592868,1,25.321055963511757,1,25.82956219489496,-5.870564028743569,-7.4361244566624585,-7.944630688045663,SLR,OMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,27.29270238531068,2,28.030743060210746,1,28.961132931327825,-0.5880191897183806,-1.326059864618447,-2.2564497357355258,SLR,OMI
Beromünster,7.92527777777778,background,2655840,1226780,6.970144101861382,5,4.7424960254348125,5,7.2518544835004795,0.9551336759163984,3.182781752342968,0.6734232942773009,SLR,OMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,24.61030195432344,2,25.274764296876576,1,24.900797724092413,-7.420024176545638,-8.084486519098775,-7.710519946314612,SLR,OMI
Bioggio,26.9662087912088,industry,2714170,1096525,21.895277434621057,4,20.984891201926054,2,18.565959925913287,5.070931356587742,5.981317589282746,8.400248865295513,SLR,OMI
Bodio,23.6654794520548,industry,2713360,1137370,21.358980480498225,3,21.238576952523722,2,20.73999926106608,2.306498971556575,2.426902499531078,2.9254801909887185,SLR,OMI
Brigerbad,17.4225274725275,industry,2636790,1127555,12.234064578763103,3,12.126924535415444,2,11.451351674286926,5.188462893764395,5.295602937112054,5.971175798240573,SLR,OMI
Brione-sopra-Minusio,7.3158904109589,background,2706015,1115655,16.18629353892442,1,16.757034389606524,2,14.459517438827088,-8.87040312796552,-9.441143978647624,-7.143627027868188,SLR,OMI
Bulle-Rue-de-Vevey,22.8915068493151,traffic,2570695,1162924,18.307208810333414,3,18.13820268670188,4,17.764606037072724,4.584298038981686,4.753304162613219,5.126900812242376,SLR,OMI
Bussigny,29.9763085399449,traffic,2532800,1155660,28.218057533306542,5,28.112054739764307,4,26.564456140941562,1.758251006638357,1.8642538001805917,3.4118523990033367,SLR,OMI
Camignolo,43.1873278236915,traffic,2715430,1106905,28.868253870290978,2,28.78853391434638,2,26.47161419221158,14.319073953400519,14.398793909345116,16.715713631479918,SLR,OMI
Chaumont,4.98833333333333,background,2565090,1211040,6.036653402375609,2,6.87252381331292,4,6.411862296633633,-1.048320069042279,-1.8841904799795905,-1.4235289633003037,SLR,OMI
Chiasso,30.8665745856354,traffic,2723490,1077455,27.039010586654022,1,29.357591205419777,2,23.65890984912372,3.827563998981379,1.508983380215625,7.207664736511681,SLR,OMI
Chur-A13,25.416620498615,traffic,2757725,1191375,25.99615778457259,3,25.588412746916806,1,27.003663375696668,-0.5795372859575885,-0.17179224830180573,-1.587042877081668,SLR,OMI
Chur-RhB,11.8077777777778,background,2759645,1191105,19.226996195958616,4,20.231913502778784,1,18.716456896439883,-7.419218418180817,-8.424135725000985,-6.908679118662084,SLR,OMI
Davos-Promenade,22.5796143250689,background,2781957,1185583,7.854245700814822,2,7.794168684354931,1,6.688237975472466,14.725368624254077,14.785445640713968,15.891376349596433,SLR,OMI
Davos-Seehornwald,2.86694214876033,background,2784450,1187735,2.6944271174590595,4,3.4325693136492066,1,1.518008367477872,0.17251503130127066,-0.5656271648888764,1.3489337812824582,SLR,OMI
Delémont,13.5618784530387,background,2593500,1246050,19.31247013250047,2,20.074832613311102,5,19.25516431342182,-5.750591679461769,-6.512954160272402,-5.693285860383119,SLR,OMI
Dornach-Schulhaus-Brühl,13.3602739726027,background,2613144,1258911,16.11695234681254,2,17.067198205438995,5,16.069913360642378,-2.756678374209839,-3.706924232836295,-2.709639388039678,SLR,OMI
Dübendorf-EMPA,21.5528767123288,background,2688675,1250900,19.418845223033028,1,20.25806778062007,3,18.824100808061864,2.134031489295772,1.2948089317087295,2.7287759042669357,SLR,OMI
Ebikon-Sedel,17.3756164383562,background,2665480,1213325,20.28954236851332,5,21.21159321629019,4,21.371767885510017,-2.91392593015712,-3.8359767779339897,-3.9961514471538173,SLR,OMI
Egerkingen,25.810773480663,traffic,2627039,1240750,20.930214628949674,5,19.728988109158433,5,20.014069518192276,4.8805588517133245,6.081785371504566,5.796703962470723,SLR,OMI
