Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,26.251963116301955,4,26.284410142138476,5,26.318307527624683,-4.067708972655556,-4.1001559984920775,-4.134053383978284,SLR,TROPOMI
Aigle,20.0332409972299,industry,2561330,1129900,16.815973142370108,1,15.270778588287538,5,16.35886328011474,3.2172678548597915,4.762462408942362,3.67437771711516,SLR,TROPOMI
Airolo,17.5633608815427,traffic,2690021,1153641,25.29364406724649,4,26.25308417563897,4,26.87431344945658,-7.73028318570379,-8.689723294096272,-9.31095256791388,SLR,TROPOMI
Altdorf,17.8435616438356,traffic,2690175,1193550,24.950440381825388,3,25.18210830516267,4,25.931627771401335,-7.106878737989788,-7.338546661327072,-8.088066127565735,SLR,TROPOMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,9.835324853765169,4,10.218437571252721,5,11.190031497636118,0.953104898300932,0.5699921808133794,-0.4016017455700176,SLR,TROPOMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,18.541647180284617,3,18.353337704041756,3,19.41957546582382,1.6935328751170822,1.8818423513599427,0.8156045895778803,SLR,TROPOMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,17.970165236464744,1,16.779932377555994,5,16.72257272417945,-1.2352751265746456,-0.04504226766589525,0.012317385710648665,SLR,TROPOMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,35.42548634169394,4,34.055185965720064,5,31.193636154745207,8.41006921386166,9.780369589835537,12.641919400810394,SLR,TROPOMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,28.92511944939786,3,29.60034214138315,5,26.035608938312503,-5.951508338286761,-6.6267310302720475,-3.0619978272014023,SLR,TROPOMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,31.22426110472168,4,31.376424380130192,1,31.04760694978396,1.7436841007578217,1.5915208253493098,1.9203382556955404,SLR,TROPOMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,25.326762323030614,1,26.326941009702786,1,27.86649600075039,-7.441830816181316,-8.442009502853487,-9.981564493901093,SLR,TROPOMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,27.68481697282212,2,27.669025827573414,1,29.937220335050895,-0.9801337772298204,-0.9643426319811148,-3.2325371394585964,SLR,TROPOMI
Beromünster,7.92527777777778,background,2655840,1226780,7.702978025066263,5,6.023038130305328,5,8.22596593342903,0.22229975271151758,1.9022396474724523,-0.3006881556512502,SLR,TROPOMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,23.022564110603298,2,23.532138033497326,1,23.943887353913617,-5.832286332825497,-6.341860255719524,-6.7536095761358155,SLR,TROPOMI
Bioggio,26.9662087912088,industry,2714170,1096525,21.909968722812884,4,21.416739431619877,2,20.407538355924228,5.0562400683959154,5.549469359588922,6.558670435284572,SLR,TROPOMI
Bodio,23.6654794520548,industry,2713360,1137370,20.683545200508988,3,20.785411616396388,2,20.35394980079374,2.9819342515458125,2.880067835658412,3.3115296512610612,SLR,TROPOMI
Brigerbad,17.4225274725275,industry,2636790,1127555,13.433265245009538,3,13.589871012826228,2,13.201949190712623,3.98926222751796,3.832656459701271,4.220578281814875,SLR,TROPOMI
