Station_name,NO2,Type_of_station,X,Y,predicted,CV,predicted_CV,spatial_CV,predicted_spatialCV,residual,residual_CV,residual_spatialCV,model,product
Aarau-Buchenhof,22.1842541436464,traffic,2646140,1248741,22.24319076538086,1,27.562570571899414,5,32.610084533691406,-0.05893662173446046,-5.378316428253015,-10.425830390045007,XGB,TROPOMI
Aigle,20.0332409972299,industry,2561330,1129900,20.087493896484375,3,17.67534828186035,5,18.926427841186523,-0.054252899254475295,2.357892715369548,1.1068131560433763,XGB,TROPOMI
Airolo,17.5633608815427,traffic,2690021,1153641,17.52857208251953,1,25.94072723388672,4,26.37815284729004,0.03478879902316834,-8.37736635234402,-8.81479196574734,XGB,TROPOMI
Altdorf,17.8435616438356,traffic,2690175,1193550,17.858034133911133,5,23.539159774780273,4,23.364139556884766,-0.014472490075533528,-5.695598130944674,-5.520577913049166,XGB,TROPOMI
Avully-Passeiry,10.7884297520661,background,2489281,1113355,10.549897193908691,4,10.0523681640625,5,9.354567527770996,0.23853255815740937,0.7360615880036008,1.4338622242951047,XGB,TROPOMI
Baden-Schönaustrasse,20.2351800554017,background,2666075,1257972,20.266414642333984,3,15.827309608459473,3,14.216585159301758,-0.031234586932285424,4.407870446942226,6.018594896099941,XGB,TROPOMI
Basel-Binningen,16.7348901098901,background,2610890,1265605,16.84943199157715,1,12.905271530151367,5,14.260055541992188,-0.1145418816870496,3.8296185797387317,2.4748345678979113,XGB,TROPOMI
Basel-Feldbergstrasse,43.8355555555556,traffic,2611745,1268490,43.508914947509766,4,31.343957901000977,5,27.73198890686035,0.3266406080458353,12.491597654554624,16.10356664869525,XGB,TROPOMI
Basel-St-Johann,22.9736111111111,background,2610795,1268365,23.238929748535156,3,29.13969612121582,5,20.02805519104004,-0.2653186374240555,-6.1660850101047195,2.9455559200710617,XGB,TROPOMI
Bern-Bollwerk,32.9679452054795,traffic,2600170,1199990,32.8822135925293,4,30.922176361083984,1,29.91097640991211,0.08573161295020526,2.0457688443955178,3.0569687955673928,XGB,TROPOMI
Bern-Morgartenstrasse,17.8849315068493,background,2601818,1201338,17.997600555419922,1,22.392478942871094,1,23.22167205810547,-0.11266904857062343,-4.507547436021795,-5.33674055125617,XGB,TROPOMI
Bern-Wankdorf,26.7046831955923,traffic,2602040,1201565,26.80190086364746,2,30.47614288330078,1,31.962520599365234,-0.09721766805516197,-3.7714596877084823,-5.257837403772935,XGB,TROPOMI
Beromünster,7.92527777777778,background,2655840,1226780,7.775413990020752,3,4.958741188049316,5,7.297316551208496,0.14986378775702835,2.966536589728464,0.6279612265692842,XGB,TROPOMI
Biel-Bienne,17.1902777777778,background,2586025,1221660,17.143827438354492,2,21.36039161682129,1,23.14068603515625,0.04645033942330912,-4.170113839043488,-5.950408257378449,XGB,TROPOMI
Bioggio,26.9662087912088,industry,2714170,1096525,27.19493293762207,5,25.932029724121094,2,25.261104583740234,-0.22872414641327055,1.034179067087706,1.7051042074685654,XGB,TROPOMI
Bodio,23.6654794520548,industry,2713360,1137370,23.7277774810791,2,14.434892654418945,2,17.1342716217041,-0.06229802902430137,9.230586797635855,6.531207830350699,XGB,TROPOMI
Brigerbad,17.4225274725275,industry,2636790,1127555,17.39848518371582,1,16.178688049316406,2,11.437657356262207,0.024042288811678247,1.2438394232110923,5.9848701162652915,XGB,TROPOMI
Brione-sopra-Minusio,7.3158904109589,background,2706015,1115655,7.731195449829102,1,12.549104690551758,2,14.189969062805176,-0.4153050388702013,-5.233214279592858,-6.8740786518462755,XGB,TROPOMI
