eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.01,1,1,0.65,0.8,1000,9.1965882,0.5484755283488485
0.05,1,1,0.65,0.8,431,8.8556532,0.577335632376244
0.1,1,1,0.65,0.8,274,8.7449654,0.5881882113805719
0.3,1,1,0.65,0.8,164,8.815349,0.5836887534421998
0.01,3,1,0.65,0.8,1000,8.259637,0.6324575548907745
0.05,3,1,0.65,0.8,567,7.9332404,0.661159916646071
0.1,3,1,0.65,0.8,417,7.9162118,0.6630992231141143
0.3,3,1,0.65,0.8,113,8.2506752,0.6378703666547284
0.01,5,1,0.65,0.8,1000,7.9447828000000005,0.6598304622311763
0.05,5,1,0.65,0.8,839,7.5245914,0.6947321537090374
0.1,5,1,0.65,0.8,346,7.7531642,0.6769034956147206
0.3,5,1,0.65,0.8,101,7.9461866,0.6633227539720103
0.01,10,1,0.65,0.8,1000,7.7158755999999995,0.6807008093528726
0.05,10,1,0.65,0.8,401,7.7393216,0.6787989738903818
0.1,10,1,0.65,0.8,283,7.8118862,0.6735740030223115
0.3,10,1,0.65,0.8,50,8.4858452,0.6240835633577569
0.01,1,3,0.65,0.8,1000,9.1965882,0.5484755283488485
0.05,1,3,0.65,0.8,431,8.8556532,0.577335632376244
0.1,1,3,0.65,0.8,274,8.7449654,0.5881882113805719
0.3,1,3,0.65,0.8,164,8.815349,0.5836887534421998
0.01,3,3,0.65,0.8,1000,8.259943,0.6324221258248762
0.05,3,3,0.65,0.8,744,7.8188509999999996,0.6706870179659821
0.1,3,3,0.65,0.8,513,7.871871,0.6665420419678042
0.3,3,3,0.65,0.8,151,8.128340999999999,0.6479401450965803
0.01,5,3,0.65,0.8,1000,7.9466072,0.6596872635909922
0.05,5,3,0.65,0.8,549,7.6248504,0.6867211551101543
0.1,5,3,0.65,0.8,236,7.8068744,0.6718816435042174
0.3,5,3,0.65,0.8,82,8.0590852,0.6531980140723891
0.01,10,3,0.65,0.8,1000,7.6891606,0.6826014121991248
0.05,10,3,0.65,0.8,442,7.706479799999999,0.6812453233196021
0.1,10,3,0.65,0.8,210,7.8518034,0.6700975631569481
0.3,10,3,0.65,0.8,82,8.4834384,0.6256892588706932
0.01,1,5,0.65,0.8,1000,9.1965882,0.5484755283488485
0.05,1,5,0.65,0.8,431,8.8556532,0.577335632376244
0.1,1,5,0.65,0.8,274,8.7449654,0.5881882113805719
0.3,1,5,0.65,0.8,164,8.815349,0.5836887534421998
0.01,3,5,0.65,0.8,1000,8.2622924,0.6322209378723819
0.05,3,5,0.65,0.8,418,8.034849,0.6523448491352392
0.1,3,5,0.65,0.8,401,7.9466719999999995,0.660626226092237
0.3,3,5,0.65,0.8,238,8.0083348,0.6605560231398707
0.01,5,5,0.65,0.8,1000,7.9382114,0.6603209662609
0.05,5,5,0.65,0.8,614,7.5721812,0.6910279091277519
0.1,5,5,0.65,0.8,401,7.6970804,0.6819296897018117
0.3,5,5,0.65,0.8,117,7.8612846,0.6710581135477595
0.01,10,5,0.65,0.8,1000,7.6711165999999995,0.6838309363824324
0.05,10,5,0.65,0.8,446,7.6720125999999995,0.6839574040205915
0.1,10,5,0.65,0.8,237,7.8070942,0.6736671025664968
0.3,10,5,0.65,0.8,42,8.4136626,0.6288591273072643
0.01,1,7,0.65,0.8,1000,9.196588,0.5484755283488485
0.05,1,7,0.65,0.8,431,8.8556532,0.577335632376244
0.1,1,7,0.65,0.8,274,8.7449654,0.5881882113805719
0.3,1,7,0.65,0.8,164,8.815349,0.5836887534421998
0.01,3,7,0.65,0.8,999,8.259707599999999,0.6324256273459562
0.05,3,7,0.65,0.8,577,7.9266736,0.6616192184782993
0.1,3,7,0.65,0.8,378,7.9270428,0.6621715093892073
0.3,3,7,0.65,0.8,135,8.1517728,0.6458288447540533
0.01,5,7,0.65,0.8,1000,7.9451648,0.6597389323930727
0.05,5,7,0.65,0.8,781,7.5232186,0.6953563257506905
0.1,5,7,0.65,0.8,271,7.8223192,0.6708726792537343
0.3,5,7,0.65,0.8,132,7.9263088,0.6657358095373138
0.01,10,7,0.65,0.8,1000,7.6533086,0.685312607211278
0.05,10,7,0.65,0.8,695,7.6038084,0.6895771533662287
0.1,10,7,0.65,0.8,237,7.751112,0.6783330846557455
0.3,10,7,0.65,0.8,63,8.331247,0.6364759795352515
0.01,1,1,0.8,0.8,1000,9.2095312,0.5473115355283208
0.05,1,1,0.8,0.8,514,8.7870016,0.5841423768692033
0.1,1,1,0.8,0.8,276,8.7979238,0.5831235755850745
