selection,learning_rate,max_depth,num_leaves,bagging_fraction,feature_fraction,boosting_type,optimal_trees,min_RMSE
TRUE,0.01, 1, 25,0.50,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1, 25,0.50,0.50,gbdt,1000,9.068742092807906
TRUE,0.05, 1, 25,0.50,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1, 25,0.50,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1, 25,0.50,0.50,gbdt,992,8.491265806504524
FALSE,0.10, 1, 25,0.50,0.50,gbdt,842,8.677796537393862
TRUE,0.30, 1, 25,0.50,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1, 25,0.50,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3, 25,0.50,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3, 25,0.50,0.50,gbdt,998,8.235538953661075
TRUE,0.05, 3, 25,0.50,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3, 25,0.50,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3, 25,0.50,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3, 25,0.50,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3, 25,0.50,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3, 25,0.50,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5, 25,0.50,0.50,gbdt,1000,7.707769565661346
FALSE,0.01, 5, 25,0.50,0.50,gbdt,1000,7.855442447277664
TRUE,0.05, 5, 25,0.50,0.50,gbdt,999,7.396777756283543
FALSE,0.05, 5, 25,0.50,0.50,gbdt,998,7.483316769729002
TRUE,0.10, 5, 25,0.50,0.50,gbdt,995,7.249719639745491
FALSE,0.10, 5, 25,0.50,0.50,gbdt,1000,7.548845119456652
TRUE,0.30, 5, 25,0.50,0.50,gbdt,567,7.4964762860495355
FALSE,0.30, 5, 25,0.50,0.50,gbdt,219,7.850186137424747
TRUE,0.01, 8, 25,0.50,0.50,gbdt,1000,7.645445614534818
FALSE,0.01, 8, 25,0.50,0.50,gbdt,1000,7.818145151226745
TRUE,0.05, 8, 25,0.50,0.50,gbdt,1000,7.338710724463766
FALSE,0.05, 8, 25,0.50,0.50,gbdt,999,7.537379660119007
TRUE,0.10, 8, 25,0.50,0.50,gbdt,1000,7.210122332591372
FALSE,0.10, 8, 25,0.50,0.50,gbdt,914,7.541734262737257
TRUE,0.30, 8, 25,0.50,0.50,gbdt,556,7.628545343991804
FALSE,0.30, 8, 25,0.50,0.50,gbdt,283,7.898091048936344
TRUE,0.01,10, 25,0.50,0.50,gbdt,1000,7.652641326104551
FALSE,0.01,10, 25,0.50,0.50,gbdt,1000,7.80040735024295
TRUE,0.05,10, 25,0.50,0.50,gbdt,1000,7.341906343386774
FALSE,0.05,10, 25,0.50,0.50,gbdt,998,7.507114345945614
TRUE,0.10,10, 25,0.50,0.50,gbdt,996,7.229807490428698
FALSE,0.10,10, 25,0.50,0.50,gbdt,975,7.513778561423145
TRUE,0.30,10, 25,0.50,0.50,gbdt,396,7.779926017004419
FALSE,0.30,10, 25,0.50,0.50,gbdt,312,7.8092113736517765
TRUE,0.01, 1, 50,0.50,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1, 50,0.50,0.50,gbdt,1000,9.068742092807906
TRUE,0.05, 1, 50,0.50,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1, 50,0.50,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1, 50,0.50,0.50,gbdt,992,8.491265806504524
FALSE,0.10, 1, 50,0.50,0.50,gbdt,842,8.677796537393862
TRUE,0.30, 1, 50,0.50,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1, 50,0.50,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3, 50,0.50,0.50,gbdt,1000,8.104559805599813
