variable,importance
date,838820.8319341519
blh_15H,503874.0764644607
traffint_500,360986.3926475516
traffint_200,358264.86342346924
temperature_15H,299040.5342951371
ws_15H,290666.5237706242
enox_traf_200,204129.8948995753
traffint_0,201697.6247884792
enox_traf_500,178071.65470568195
precipitation_15H,177359.596670488
traffint_1000,169332.4712748
OMI_NO2,163608.58415719238
traffint_100,160677.2497934784
wd_15H,153674.1481354642
tcc_15H,145395.02828648416
pressure_15H,118731.17547694035
nearmjrd,95645.33926970116
enox_traf_100,88740.8778896402
