variable,importance
date,717944.0754682575
blh_12H,480711.25764850323
TROPOMI_NO2,443651.9109731267
traffint_500,361262.4734543801
traffint_200,360940.41645295254
temperature_12H,287593.9605823323
ws_12H,250317.6645153919
traffint_0,205937.12740016525
enox_traf_200,200563.30139486477
enox_traf_500,180741.16500442554
precipitation_12H,167364.35678007134
traffint_1000,165091.15066088332
traffint_100,159326.68561599523
wd_12H,148972.4588778939
tcc_12H,131457.3423188427
pressure_12H,109483.96372032248
nearmjrd,94888.74376044802
enox_traf_100,89007.74574299846
