variable,importance
date,838820.8319341519
blh_15H,503874.0764644607
traffint_500,360986.3926475516
traffint_200,358264.86342346924
temperature_15H,299040.5342951371
ws_15H,290666.5237706242
enox_traf_200,204129.8948995753
traffint_0,201697.6247884792
enox_traf_500,178071.65470568195
precipitation_15H,177359.596670488
traffint_1000,169332.4712748
OMI_NO2,163608.58415719238
traffint_100,160677.2497934784
wd_15H,153674.1481354642
tcc_15H,145395.02828648416
pressure_15H,118731.17547694035
nearmjrd,95645.33926970116
enox_traf_100,88740.8778896402
R1,81854.76964058174
R3,81830.66520984935
R2,80160.37998083302
enox_traf_1000,79886.33692714978
mjdens_500,60188.10396222145
mjdens_1000,51983.068591830095
mjdens_2000,44020.254540229864
mjdens_5000,34050.32177697693
mjdens_200,34031.14913642689
light_0,31403.44141048287
intersection_10000,26825.228271256008
enox_traf_0,26449.177194264845
rdens_1000,25984.192644553747
enox_traf_2000,25951.102000117855
rdens_200,24797.202163009315
enox_indu_1000,23794.278350804656
mjdens_100,21303.95118634498
traffint_2000,19665.302524509527
lc_NAT_percent_1000,19634.83011735609
rdens_2000,18634.742931742152
lc_BUILT_percent_500,17479.362119167734
NDVI_sp,17447.94974165463
enox_hoco_200,14877.92332130026
light_100,14831.924670501952
elevation_100,14428.550250049646
elevation_200,14243.962551827579
light_1000,14088.462654715637
enox_indu_500,13384.762224481747
elevation_0,13261.757823488044
light_200,12566.79764556761
elevation_500,12558.757642644676
elevation_2000,12540.694979822452
rdens_500,12482.232923647989
lc_IND_percent_1000,12058.615965453222
enox_agfo_5000,11593.979887723324
elevation_1000,11439.272059529632
lc_NAT_percent_500,11351.246046298733
lc_NAT_percent_2000,11204.309560664979
intersection_1000,10811.546335620971
rdens_5000,10710.001082903307
enox_indu_100,10542.030892681656
NDVI,10427.763099967635
mjdens_10000,10410.075911203781
enox_hoco_500,10177.830921286952
lc_IND_percent_2000,9969.070175274393
light_500,9829.824954968037
population_100,9730.799047046597
enox_agfo_10000,9433.308204101639
enox_indu_200,9185.901108263168
enox_hoco_100,8846.948220952792
enox_wood_10000,8678.312555370243
population_200,8361.330093863853
population_500,8331.79682491085
enox_agfo_2000,8155.888595763964
lc_AGR_percent_5000,7970.528599284338
lc_IND_percent_10000,7792.3866994096925
lc_AGR_percent_10000,7739.1407604534825
lc_NAT_percent_5000,7469.833047147929
elevation_5000,7431.7788170693475
rdens_100,7415.8024194377485
lc_IND_percent_5000,7298.723895963897
enox_hoco_10000,7239.8146034333895
population_0,7190.215088613739
rdens_10000,7185.108134188751
enox_traf_10000,7176.942388515049
light_10000,7148.162799514058
enox_wood_100,7110.369630852333
elevation_10000,7098.923943875497
rdens_0,7074.607073768427
lc_NAT_percent_10000,7041.414723329867
enox_wood_5000,7039.569470065348
enox_wood_200,7014.231292689967
intersection_0,6879.217110061395
enox_wood_500,6859.828276975059
enox_agfo_500,6623.04978707568
intersection_500,6453.660433164896
enox_traf_5000,6418.997173425893
enox_indu_10000,6150.60014081308
enox_agfo_1000,6139.158129990787
enox_hoco_0,6088.103140107941
enox_wood_2000,6027.099755798819
lc_AGR_percent_2000,5994.048316085756
enox_hoco_5000,5941.985415159191
traffint_10000,5920.800439656321
lc_RES_percent_500,5811.526154858933
intersection_5000,5723.705980839843
enox_hoco_1000,5716.394577185813
lc_BUILT_percent_1000,5651.453248669336
enox_wood_0,5428.04170960774
intersection_200,5413.231341502925
intersection_100,5389.828259381207
enox_wood_1000,5361.734724118387
light_5000,5346.066973126581
lc_BUILT_percent_10000,5294.2440828268855
lc_IND_percent_500,5112.049034548688
lc_AGR_percent_1000,5086.29758442668
intersection_2000,5066.939680922001
lc_BUILT_percent_5000,4975.480326773447
traffint_5000,4890.518199836658
lc_IND_percent_200,4886.863177636236
enox_indu_2000,4877.322411280013
enox_hoco_2000,4785.27796646742
lc_RES_percent_1000,4702.433895735926
lc_RES_percent_10000,4689.930996172622
population_1000,4676.555235390915
enox_indu_5000,4637.279987589219
population_10000,4596.742227030022
population_5000,4411.661555708796
lc_BUILT_percent_2000,4221.622356322656
lc_BUILT_percent_200,4185.695403673201
light_2000,4142.26509717815
population_2000,3907.213511459982
enox_agfo_200,3895.5696345707543
lc_RES_percent_5000,3882.5800275830206
enox_indu_0,3856.4398292116043
lc_URBGR_percent_10000,3846.9392622073083
lc_RES_percent_200,3626.706879147779
lc_RES_percent_2000,3625.3971255574693
lc_IND_percent_100,3565.1480135818274
lc_AGR_percent_500,3286.309396438652
lc_NAT_percent_200,3151.283185359653
mjdens_0,3089.8612096157894
enox_agfo_100,2857.368800121191
lc_NAT_percent_100,2718.018802065066
enox_agfo_0,2175.4700264344688
lc_URBGR_percent_5000,1882.1045557336072
lc_NAT_percent_0,1822.3258088044267
lc_AGR_percent_200,1608.9953527711843
lc_RES_percent_100,1559.6384854571124
lc_BUILT_percent_100,1284.2317959718748
lc_URBGR_percent_2000,1235.8205802483367
lc_RES_percent_0,837.8952887577029
lc_AGR_percent_100,794.0390913194673
lc_BUILT_percent_0,580.8600802319874
lc_AGR_percent_0,508.2931876567528
lc_URBGR_percent_1000,451.11403447113184
lc_IND_percent_0,378.81930408510743
lc_URBGR_percent_500,63.32714234682262
lc_URBGR_percent_0,0
lc_URBGR_percent_100,0
lc_URBGR_percent_200,0
