variable,importance
date,702142.83808605
blh_12H,493760.77924759587
TROPOMI_NO2,442326.76830793935
traffint_200,359487.4867570034
traffint_500,353809.7520319713
temperature_12H,289811.9616815381
ws_12H,249755.8490153561
traffint_0,204402.48356530393
enox_traf_200,204146.97074192044
enox_traf_500,180010.06924957712
traffint_1000,174983.25657178895
precipitation_12H,166783.80220686828
traffint_100,160490.60114026655
wd_12H,148148.91402967658
tcc_12H,133297.0104571358
pressure_12H,109783.8934381907
nearmjrd,97109.0284088831
enox_traf_100,87022.3916683821
R1,79012.20242547878
R3,77969.38042795839
R2,77435.34525901184
enox_traf_1000,68306.58562962657
mjdens_500,65832.31806068232
mjdens_1000,48796.87563559133
mjdens_2000,42410.07247766019
enox_traf_0,32485.52242315214
mjdens_200,32137.64700063097
mjdens_5000,31881.290217302667
light_0,29429.74888312386
enox_traf_2000,27280.614720792844
intersection_10000,25624.68472964595
rdens_200,25333.544026692598
rdens_1000,23989.3764001734
enox_indu_1000,22230.95945083317
rdens_2000,20240.46749638833
lc_NAT_percent_1000,19613.63925687855
mjdens_100,19512.103138041406
traffint_2000,18133.660190040042
light_100,15441.82128377668
lc_BUILT_percent_500,15388.651141839266
NDVI_sp,15131.510757869348
elevation_0,14209.453847769313
elevation_100,14135.555017044142
enox_hoco_200,13630.036380565018
elevation_200,13470.463711301329
elevation_2000,12801.296596108692
lc_IND_percent_1000,12555.660993504978
elevation_1000,12521.00679948622
rdens_500,12028.204319935689
enox_indu_100,11946.221967344813
lc_NAT_percent_2000,11720.47369187959
light_200,11634.034045636572
elevation_500,11508.973668017055
rdens_5000,11249.726533766247
enox_indu_500,11140.397872408004
light_1000,11086.21677824461
enox_indu_200,11055.281953778996
intersection_1000,10703.030974044032
lc_NAT_percent_500,10695.07690662343
light_500,10662.661142138448
NDVI,10567.33823364834
enox_agfo_5000,10288.058097338937
lc_IND_percent_2000,9922.82680854641
population_100,9450.959731069266
enox_agfo_10000,9106.269318796016
population_200,8926.163614954265
enox_hoco_100,8756.448075737073
mjdens_10000,8724.936646442824
enox_wood_10000,8566.91107728867
enox_hoco_500,8507.609139052289
intersection_0,8454.724916382807
enox_agfo_2000,8336.126281211746
lc_AGR_percent_5000,8192.551044511314
population_500,8189.578496182086
lc_AGR_percent_10000,8010.565523438908
elevation_5000,7945.5621325290385
lc_NAT_percent_5000,7681.506126083828
rdens_100,7537.444566174482
elevation_10000,7406.462093000849
rdens_0,7406.127433119158
lc_IND_percent_10000,7406.024479113499
population_0,7161.077986009276
enox_wood_200,7006.581376796791
lc_NAT_percent_10000,6988.126558549494
enox_hoco_10000,6871.047693991999
light_10000,6845.414813190212
rdens_10000,6816.198757030865
enox_wood_500,6768.205457441526
enox_wood_100,6740.04914165625
lc_IND_percent_5000,6656.629417035509
enox_traf_10000,6650.018260457714
enox_indu_10000,6611.317141891658
enox_agfo_500,6562.128137128911
enox_wood_5000,6527.587502046424
enox_traf_5000,6441.270646757488
traffint_10000,6358.38277279714
lc_AGR_percent_2000,6291.689263411661
enox_wood_2000,6157.6886529426
enox_hoco_0,6095.066847101197
enox_agfo_1000,6094.575745567167
lc_BUILT_percent_1000,6059.003453858231
intersection_500,5888.629547192162
intersection_2000,5799.6207117215645
lc_RES_percent_500,5786.646826148279
intersection_5000,5586.692886840783
enox_wood_0,5392.150886200164
intersection_200,5320.509508267929
intersection_100,5308.456244803831
lc_IND_percent_500,5302.9003095395265
enox_indu_2000,5259.844434706547
enox_hoco_5000,5249.267801902534
enox_wood_1000,5211.800370731719
enox_hoco_1000,5182.224245749262
light_5000,5132.819952895821
light_2000,5094.433220717517
enox_hoco_2000,4966.209572204288
lc_AGR_percent_1000,4952.510331793979
lc_RES_percent_1000,4898.672930600717
lc_IND_percent_200,4849.792200462047
population_10000,4780.745803345478
enox_indu_5000,4770.174928599901
traffint_5000,4753.866578066075
population_1000,4712.8095356014865
lc_BUILT_percent_5000,4627.13608075006
lc_URBGR_percent_10000,4532.246762442452
lc_BUILT_percent_10000,4505.035788071468
lc_BUILT_percent_2000,4483.366552391117
lc_RES_percent_10000,4383.53331063548
population_5000,4261.449187660636
lc_RES_percent_2000,4200.74559301969
enox_indu_0,3861.0088866957904
enox_agfo_200,3843.4224789190393
lc_RES_percent_200,3838.856501611526
population_2000,3758.849339638856
lc_RES_percent_5000,3719.962382976258
mjdens_0,3561.851823902177
lc_AGR_percent_500,3479.6363745472804
lc_IND_percent_100,3476.954134764977
lc_NAT_percent_200,3282.175801890347
lc_BUILT_percent_200,3260.423283886882
enox_agfo_100,2729.081591919342
lc_NAT_percent_100,2260.105104978849
enox_agfo_0,2179.357622218535
lc_NAT_percent_0,1756.509553465198
lc_URBGR_percent_5000,1741.5864741695368
lc_BUILT_percent_100,1673.7577256129648
lc_AGR_percent_200,1583.4367328811338
lc_RES_percent_100,1558.2535455740106
lc_URBGR_percent_2000,1210.3924963850532
lc_RES_percent_0,816.1007366307375
lc_AGR_percent_100,772.2748042451117
lc_BUILT_percent_0,566.6812431564543
lc_AGR_percent_0,502.7653259428895
lc_URBGR_percent_1000,422.79153555374234
lc_IND_percent_0,383.13425818673596
lc_URBGR_percent_500,78.11584230814454
lc_URBGR_percent_0,0
lc_URBGR_percent_100,0
lc_URBGR_percent_200,0
