type,name,value,min,max,model,product
CV,R2,0.70996469553725,0.6919996724204903,0.7530430185479486,GBM,OMI
CV,RMSE,7.335570617369229,6.406678346764941,8.911503681230228,GBM,OMI
spatialCV,R2,0.6576150480022163,0.6463912543170967,0.7162399824453288,GBM,OMI
spatialCV,RMSE,7.972616310934446,7.5144341238933405,9.172843726256803,GBM,OMI
temporalCV,R2,0.6921719009427998,0.6281091034647548,0.7783348895800399,GBM,OMI
temporalCV,RMSE,7.587986496480919,4.687207547398882,11.733559488549844,GBM,OMI
training,R2,0.9260196496001729,NA,NA,GBM,OMI
training,RMSE,3.7354485983524177,NA,NA,GBM,OMI
CV,intercept,0.1535558213957965,-0.004045770952514294,0.31115741374410727,GBM,OMI
CV,slope,1.0041648578227975,0.9973777333907131,1.0109519822548818,GBM,OMI
spatialCV,intercept,0.6735041412610266,0.5006535874113407,0.8463546951107126,GBM,OMI
spatialCV,slope,0.9761456862657331,0.9686973403262792,0.9835940322051869,GBM,OMI
temporalCV,intercept,1.4147425621317473,1.2585114654820795,1.5709736587814151,GBM,OMI
temporalCV,slope,0.9508724893290617,0.9441668040447481,0.9575781746133752,GBM,OMI
training,intercept,-0.7995005040831072,-0.8741258288106301,-0.7248751793555844,GBM,OMI
training,slope,1.0390926717080777,1.0359868529440137,1.0421984904721417,GBM,OMI
