type,name,value,min,max,model,product
CV,R2,0.6914417524308553,0.607236761539998,0.7888823509293801,GBM,TROPOMI
CV,RMSE,7.585924134460108,6.440677331672747,9.12047691009338,GBM,TROPOMI
spatialCV,R2,0.6809124841012134,0.6405248963633747,0.7299409746433297,GBM,TROPOMI
spatialCV,RMSE,7.6954216627145895,6.9347144976824,8.933905091717575,GBM,TROPOMI
temporalCV,R2,0.7240881440310535,0.6167044282375396,0.8136557937547395,GBM,TROPOMI
temporalCV,RMSE,7.17347086947275,4.3437503528252845,10.190428762737843,GBM,TROPOMI
training,R2,0.9280816850350533,NA,NA,GBM,TROPOMI
training,RMSE,3.680030438373913,NA,NA,GBM,TROPOMI
CV,intercept,1.1820581161474963,1.0242802661830217,1.339835966111971,GBM,TROPOMI
CV,slope,0.9626099498625252,0.9558128239751212,0.9694070757499292,GBM,TROPOMI
spatialCV,intercept,0.4796367425505719,0.31385910207431245,0.6454143830268314,GBM,TROPOMI
spatialCV,slope,0.9914553913493126,0.9842813045882666,0.9986294781103586,GBM,TROPOMI
temporalCV,intercept,0.8514061263452058,0.7028767882359461,0.9999354644544656,GBM,TROPOMI
temporalCV,slope,0.9852812001100607,0.978852341906665,0.9917100583134564,GBM,TROPOMI
training,intercept,-0.7561613770277839,-0.829520126642359,-0.6828026274132087,GBM,TROPOMI
training,slope,1.0369851365743656,1.0339338473885367,1.0400364257601946,GBM,TROPOMI
