type,name,value,min,max,model,product
CV,R2,0.7280819293433606,0.7097001560668547,0.7812823646552982,LGB,OMI
CV,RMSE,7.112908742596292,6.0446065356168415,8.632131204594446,LGB,OMI
spatialCV,R2,0.6653608906435283,0.6520276980140872,0.6986657405443268,LGB,OMI
spatialCV,RMSE,7.875284420073184,7.315204499493255,8.945582956770446,LGB,OMI
temporalCV,R2,0.7124583256260685,0.6198467301017252,0.7820775105907514,LGB,OMI
temporalCV,RMSE,7.34763452062242,4.6303746570039515,11.9815483087505,LGB,OMI
training,R2,0.9904293094117442,NA,NA,LGB,OMI
training,RMSE,1.3725964316334196,NA,NA,LGB,OMI
CV,intercept,-0.5675672402837771,-0.7227833005501836,-0.4123511800173707,LGB,OMI
CV,slope,1.036636981128591,1.0299376824056918,1.04333627985149,LGB,OMI
spatialCV,intercept,-0.06590521569160078,-0.24088568373183622,0.10907525234863465,LGB,OMI
spatialCV,slope,1.0038265472785868,0.996298330323674,1.0113547642334995,LGB,OMI
temporalCV,intercept,0.8100168225874603,0.6571250408742804,0.9629086043006403,LGB,OMI
temporalCV,slope,1.0012924414071704,0.9945656905904058,1.0080191922239352,LGB,OMI
training,intercept,-0.4960868665056842,-0.5220224069997865,-0.4701513260115818,LGB,OMI
training,slope,1.0250963459244868,1.0240307358487675,1.0261619560002062,LGB,OMI
