type,name,value,min,max,model,product
CV,R2,0.7241742708075569,0.6887143554010252,0.7756759820734366,LGB,TROPOMI
CV,RMSE,7.157879294276743,6.13841211782479,8.933816080568915,LGB,TROPOMI
spatialCV,R2,0.6729074601177691,0.6591140097083178,0.716879185070313,LGB,TROPOMI
spatialCV,RMSE,7.786915543696715,7.272690204631988,8.96565445833876,LGB,TROPOMI
temporalCV,R2,0.7419653231671064,0.642930940086416,0.8139370042400175,LGB,TROPOMI
temporalCV,RMSE,6.9374397125016065,4.306987527872778,10.198007093619468,LGB,TROPOMI
training,R2,0.9906482870432508,NA,NA,LGB,TROPOMI
training,RMSE,1.3546112093587388,NA,NA,LGB,TROPOMI
CV,intercept,-0.2596714967772279,-0.4145647915198673,-0.10477820203458849,LGB,TROPOMI
CV,slope,1.0234646007319759,1.0167851245613575,1.0301440769025942,LGB,TROPOMI
spatialCV,intercept,0.18028650698615528,0.00963439675364669,0.3509386172186639,LGB,TROPOMI
spatialCV,slope,0.9972655906260383,0.9899129689673778,1.0046182122846987,LGB,TROPOMI
temporalCV,intercept,0.48325232063908935,0.338825945284195,0.6276786959939837,LGB,TROPOMI
temporalCV,slope,1.0034787106209122,0.9972208032195395,1.0097366180222849,LGB,TROPOMI
training,intercept,-0.4754149623572368,-0.5010322533070702,-0.44979767140740334,LGB,TROPOMI
training,slope,1.0240848797536892,1.0230326864629642,1.0251370730444143,LGB,TROPOMI
