type,name,value,min,max,model,product
CV,R2,0.5282942793031683,0.5025901581387732,0.6001527783706037,NN,OMI
CV,RMSE,9.604693515017281,8.62942340312376,11.34236364800909,NN,OMI
spatialCV,R2,0.5282317762955581,0.4201188267474449,0.6475312325288146,NN,OMI
spatialCV,RMSE,9.86240072662401,8.320177107607384,11.889139690004226,NN,OMI
temporalCV,R2,0.5824209765680501,0.4100728386556417,0.7806005378955265,NN,OMI
temporalCV,RMSE,9.278801287465054,4.735942040624489,16.37978602978015,NN,OMI
training,R2,0.7691057990145553,NA,NA,NN,OMI
training,RMSE,7.275217692659431,NA,NA,NN,OMI
CV,intercept,3.215705471772093,3.017089619549264,3.4143213239949226,NN,OMI
CV,slope,0.9393534583035131,0.9299670294441352,0.948739887162891,NN,OMI
spatialCV,intercept,3.759184818258492,3.565238727477621,3.9531309090393627,NN,OMI
spatialCV,slope,0.9627127059302751,0.9530916548265154,0.9723337570340349,NN,OMI
temporalCV,intercept,4.436928867326404,4.265977646361273,4.607880088291534,NN,OMI
temporalCV,slope,0.9040520256912752,0.8959570044375325,0.9121470469450179,NN,OMI
training,intercept,-0.10892911505827658,-0.24670085949581938,0.028842629379266224,NN,OMI
training,slope,1.1598853518938943,1.1531648412963054,1.1666058624914832,NN,OMI
