type,name,value,min,max,model,product
CV,R2,0.5425707957304434,0.5020755424343852,0.597839486944539,NN,TROPOMI
CV,RMSE,9.479283150194178,8.583362635158055,10.893575506035182,NN,TROPOMI
spatialCV,R2,0.5437104350071713,0.4524979226982685,0.6629529775587396,NN,TROPOMI
spatialCV,RMSE,9.482400010828098,7.9418695183776515,11.341965455900038,NN,TROPOMI
temporalCV,R2,0.6420391304890681,0.6420391304890681,0.6420391304890681,NN,TROPOMI
temporalCV,RMSE,8.44130192933129,8.44130192933129,8.44130192933129,NN,TROPOMI
training,R2,0.7723185434869558,NA,NA,NN,TROPOMI
training,RMSE,6.922568473271954,NA,NA,NN,TROPOMI
CV,intercept,2.9455854006724094,2.7496718980903916,3.141498903254427,NN,TROPOMI
CV,slope,0.9599558603817037,0.9506349412897315,0.9692767794736759,NN,TROPOMI
spatialCV,intercept,3.7482344589026977,3.559425655067649,3.9370432627377463,NN,TROPOMI
spatialCV,slope,0.9095638300995464,0.9007524618314353,0.9183751983676576,NN,TROPOMI
temporalCV,intercept,3.409302934108119,3.2495128234477146,3.5690930447685236,NN,TROPOMI
temporalCV,slope,0.9253965467917955,0.9180895546644158,0.9327035389191752,NN,TROPOMI
training,intercept,0.6776694163151112,0.5449568480174364,0.8103819846127861,NN,TROPOMI
training,slope,1.083803696236729,1.0775808371927331,1.090026555280725,NN,TROPOMI
