type,name,value,min,max,model,product
CV,R2,0.6193464397357176,0.5873004131028572,0.6876983018127414,RF,TROPOMI
CV,RMSE,8.400440001469423,7.786808016760431,9.377232807811279,RF,TROPOMI
spatialCV,R2,0.6164518138669448,0.5966089041692622,0.6365942441943175,RF,TROPOMI
spatialCV,RMSE,8.434809167809625,7.630751819145885,9.377771161817359,RF,TROPOMI
temporalCV,R2,0.7434948193727834,0.6334583870138804,0.8325473597966135,RF,TROPOMI
temporalCV,RMSE,6.925447585131009,4.11605498835714,11.188418373864552,RF,TROPOMI
training,R2,0.8420307039861499,NA,NA,RF,TROPOMI
training,RMSE,5.455792473944881,NA,NA,RF,TROPOMI
CV,intercept,0.43830772930144185,0.2502281256290267,0.626387332973857,RF,TROPOMI
CV,slope,0.9809159421758503,0.972787373001029,0.9890445113506716,RF,TROPOMI
spatialCV,intercept,-0.6021264726432333,-0.7989583342394107,-0.4052946110470559,RF,TROPOMI
spatialCV,slope,1.028524225894169,1.0199487325837489,1.037099719204589,RF,TROPOMI
temporalCV,intercept,-1.1877231476162646,-1.3405415441447663,-1.034904751087763,RF,TROPOMI
temporalCV,slope,1.0598589005915513,1.0532786666169436,1.066439134566159,RF,TROPOMI
training,intercept,-1.2779016364162117,-1.3926354809497894,-1.163167791882634,RF,TROPOMI
training,slope,1.059814710381771,1.0549625347950162,1.0646668859685258,RF,TROPOMI
