type,name,value,min,max,model,product
CV,R2,0.667535673321931,0.5940208134344845,0.7360989868376325,SLMER,TROPOMI
CV,RMSE,7.882810587802033,7.198017102437927,9.2888840948505,SLMER,TROPOMI
spatialCV,R2,0.6598179034497341,0.5869873616606379,0.7519400971923512,SLMER,TROPOMI
spatialCV,RMSE,7.969902563363655,6.595234235217282,9.980975895858998,SLMER,TROPOMI
temporalCV,R2,0.4004782487662924,0.4161724681084685,0.6383254628777819,SLMER,TROPOMI
temporalCV,RMSE,10.588926368686932,6.7107461086888955,18.60379028329664,SLMER,TROPOMI
training,R2,0.7022379278781727,NA,NA,SLMER,TROPOMI
training,RMSE,7.456157200652163,NA,NA,SLMER,TROPOMI
CV,intercept,1.2558565093878675,1.0903913022811311,1.421321716494604,SLMER,TROPOMI
CV,slope,0.9693516390299373,0.9621205980432845,0.97658268001659,SLMER,TROPOMI
spatialCV,intercept,0.8145341780231736,0.643517673299465,0.9855506827468823,SLMER,TROPOMI
spatialCV,slope,0.994258956607901,0.9867127728138408,1.0018051404019612,SLMER,TROPOMI
temporalCV,intercept,0.987768806251778,0.7125382101350469,1.262999402368509,SLMER,TROPOMI
temporalCV,slope,1.002027147486006,0.9890679925807645,1.0149863023912475,SLMER,TROPOMI
training,intercept,0.16816573895328116,0.008016436176742664,0.3283150417298196,SLMER,TROPOMI
training,slope,1.0221243140639527,1.0150890491571865,1.0291595789707189,SLMER,TROPOMI
