type,name,value,min,max,model,product
CV,R2,0.4332212317757605,0.3589020896973189,0.5328016210175405,SLR,OMI
CV,RMSE,10.312547550958985,9.304612682780578,11.612442116341278,SLR,OMI
spatialCV,R2,0.43806139403129846,0.31197751318879097,0.5872971331509607,SLR,OMI
spatialCV,RMSE,10.271006160437262,8.5644438367554,12.313828858074974,SLR,OMI
temporalCV,R2,0.41231770951372865,0.40093072885514697,0.5927128508360555,SLR,OMI
temporalCV,RMSE,10.485168486291474,7.471803025213402,19.838487828861247,SLR,OMI
training,R2,0.44826377411298307,NA,NA,SLR,OMI
training,RMSE,10.166450305222796,NA,NA,SLR,OMI
CV,intercept,1.697806917966519,1.4465642471964397,1.9490495887365982,SLR,OMI
CV,slope,0.970461505211407,0.9587283606661005,0.9821946497567134,SLR,OMI
spatialCV,intercept,0.8720716443054588,0.6140857801697474,1.1300575084411704,SLR,OMI
spatialCV,slope,1.0154253039135108,1.0032687882559581,1.0275818195710635,SLR,OMI
temporalCV,intercept,1.4706193896616304,1.2069578932430112,1.7342808860802497,SLR,OMI
temporalCV,slope,0.9762216614136714,0.9639023074059705,0.9885410154213723,SLR,OMI
training,intercept,0.6919368779508738,0.4367991054500818,0.9470746504516657,SLR,OMI
training,slope,1.0186876918982581,1.0067416461140641,1.0306337376824521,SLR,OMI
