type,name,value,min,max,model,product
CV,R2,0.7109903234085886,0.6633347965816399,0.7663328341554252,LGB,TROPOMI
CV,RMSE,7.330384265770872,6.272525252336792,9.1998477995412,LGB,TROPOMI
spatialCV,R2,0.646283479545855,0.6171808882341274,0.6804519315726016,LGB,TROPOMI
spatialCV,RMSE,8.096881068106487,7.5018372533762365,9.333027051259046,LGB,TROPOMI
temporalCV,R2,0.7382500592056523,0.6428656159840858,0.8092497040333775,LGB,TROPOMI
temporalCV,RMSE,6.983735422089013,4.349199597490737,10.36959308926477,LGB,TROPOMI
training,R2,0.9911990609332845,NA,NA,LGB,TROPOMI
training,RMSE,1.3169986572531902,NA,NA,LGB,TROPOMI
CV,intercept,-0.49498460060452515,-0.6560418491156533,-0.33392735209339697,LGB,TROPOMI
CV,slope,1.0335315113884649,1.0265632921534262,1.0404997306235035,LGB,TROPOMI
spatialCV,intercept,0.15829748573271027,-0.022097984052304592,0.33869295551772516,LGB,TROPOMI
spatialCV,slope,0.9935889460502783,0.9858158034916108,1.0013620886089458,LGB,TROPOMI
temporalCV,intercept,0.5595262870277288,0.41420617454491016,0.7048463995105474,LGB,TROPOMI
temporalCV,slope,0.9976124855084504,0.9913307859172661,1.0038941850996346,LGB,TROPOMI
training,intercept,-0.47920067203003586,-0.5040504449562238,-0.45435089910384796,LGB,TROPOMI
training,slope,1.024270112682434,1.0232494733438848,1.0252907520209833,LGB,TROPOMI
