type,name,value,min,max,model,product
CV,R2,0.5641461792804334,0.5357536501402592,0.6465042997895545,RF,TROPOMI
CV,RMSE,9.346472038591259,8.13673559031871,10.71318150737009,RF,TROPOMI
spatialCV,R2,0.5349440304115177,0.4854764608493269,0.6164249066890874,RF,TROPOMI
spatialCV,RMSE,9.548005754581618,8.590415447113914,11.181011791554623,RF,TROPOMI
temporalCV,R2,0.6459866587574192,0.5892907118073828,0.7917203046263137,RF,TROPOMI
temporalCV,RMSE,8.181606629465884,4.929425250844247,16.159530909378066,RF,TROPOMI
training,R2,0.7199005801297711,NA,NA,RF,TROPOMI
training,RMSE,7.3505894715594415,NA,NA,RF,TROPOMI
CV,intercept,-7.022527487425049,-7.295035727453121,-6.750019247396977,RF,TROPOMI
CV,slope,1.3342325576731227,1.3218308961574925,1.3466342191887528,RF,TROPOMI
spatialCV,intercept,-6.218033815304143,-6.498747965110059,-5.937319665498226,RF,TROPOMI
spatialCV,slope,1.2854753760505415,1.272800727156691,1.298150024944392,RF,TROPOMI
temporalCV,intercept,-2.311193560317303,-2.508926560743939,-2.113460559890667,RF,TROPOMI
temporalCV,slope,1.1174807253697776,1.1087326640656419,1.1262287866739134,RF,TROPOMI
training,intercept,-2.942672199906442,-3.114786213314904,-2.77055818649798,RF,TROPOMI
training,slope,1.1442646580572957,1.136716863614998,1.1518124524995934,RF,TROPOMI
