type,name,value,min,max,model,product
CV,R2,0.6907359616411366,0.6486401774628434,0.7516669290659286,XGB,TROPOMI
CV,RMSE,7.5759056026513445,6.4684771262331875,9.370496611325041,XGB,TROPOMI
spatialCV,R2,0.6403315231332884,0.6160954767942808,0.6858397612403678,XGB,TROPOMI
spatialCV,RMSE,8.166503673886691,7.593127665708257,9.2131362568620645,XGB,TROPOMI
temporalCV,R2,0.7317917564385436,0.6423262568134797,0.8127269028038956,XGB,TROPOMI
temporalCV,RMSE,7.084627578356408,4.338918486667143,10.312574492718744,XGB,TROPOMI
training,R2,0.9322703262359177,NA,NA,XGB,TROPOMI
training,RMSE,3.571481569506294,NA,NA,XGB,TROPOMI
CV,intercept,0.005652977591895562,-0.1597121117516335,0.17101806693542462,XGB,TROPOMI
CV,slope,1.0119487285435886,1.0047882685365654,1.0191091885506118,XGB,TROPOMI
spatialCV,intercept,0.35882500005254037,0.17766305911717015,0.5399869409879106,XGB,TROPOMI
spatialCV,slope,0.9896180106917416,0.9817748687629401,0.9974611526205431,XGB,TROPOMI
temporalCV,intercept,0.8477505977596613,0.7017565189611539,0.9937446765581688,XGB,TROPOMI
temporalCV,slope,0.9920358215262423,0.9856848027650627,0.9983868402874219,XGB,TROPOMI
training,intercept,-0.726392453823681,-0.7974448090225563,-0.6553400986248057,XGB,TROPOMI
training,slope,1.035515818950268,1.032564276486779,1.038467361413757,XGB,TROPOMI
