model,product,training_R2,training_RMSE,training_slope,training_intercept,CV_R2,CV_RMSE,CV_slope,CV_intercept,spatialCV_R2,spatialCV_RMSE,spatialCV_slope,spatialCV_intercept,temporalCV_R2,temporalCV_RMSE,temporalCV_slope,temporalCV_intercept
SLR,OMI,0.773,4.557,1.036 (0.923~1.149),0.399 (-1.968~2.765),0.758 (0.624~0.850),4.692 (3.523~6.246),1.016 (0.900~1.133),0.754 (-1.677~3.185),0.756 (0.614~0.893),4.745 (3.444~6.203),1.039 (0.919~1.158),0.465 (-2.006~2.936),0.773,4.545,1.034,0.388
SLR,TROPOMI,0.770,4.534,1.037 (0.923~1.152),0.099 (-2.320~2.517),0.756 (0.605~0.847),4.658 (3.478~6.222),1.022 (0.904~1.139),0.390 (-2.091~2.871),0.749 (0.617~0.890),4.742 (3.520~6.100),1.039 (0.918~1.161),0.125 (-2.430~2.680),0.770,4.547,1.039,0.136
SLMER,OMI,0.770,4.513,1.042 (0.926~1.157),-0.150 (-2.597~2.297),0.750 (0.616~0.863),4.695 (3.284~6.352),1.019 (0.900~1.139),0.312 (-2.219~2.842),0.729 (0.616~0.894),4.917 (3.464~6.914),1.031 (0.904~1.158),0.303 (-2.360~2.967),0.767,4.640,1.039,0.430
SLMER,TROPOMI,0.770,4.509,1.035 (0.920~1.149),-0.017 (-2.450~2.416),0.751 (0.612~0.852),4.683 (3.421~6.344),1.016 (0.897~1.134),0.367 (-2.152~2.885),0.737 (0.615~0.894),4.825 (3.483~6.447),1.026 (0.902~1.150),0.243 (-2.380~2.866),0.766,4.610,1.023,0.618
RF,OMI,0.996,0.586,1.020 (1.008~1.033),-0.476 (-0.752~-0.200),0.698 (0.684~0.883),5.138 (3.065~7.163),0.922 (0.800~1.045),1.559 (-1.153~4.271),0.698 (0.634~0.830),5.102 (3.814~5.741),0.965 (0.837~1.093),0.712 (-2.102~3.527),0.993,0.827,1.036,-0.662
RF,TROPOMI,0.996,0.609,1.021 (1.009~1.034),-0.499 (-0.786~-0.212),0.697 (0.681~0.885),5.166 (3.044~7.221),0.910 (0.789~1.032),1.796 (-0.896~4.488),0.698 (0.623~0.840),5.107 (3.725~5.647),0.963 (0.835~1.091),0.761 (-2.051~3.573),0.993,0.848,1.036,-0.669
XGB,OMI,1.000,0.142,1.003 (1.000~1.006),-0.070 (-0.138~-0.001),0.774 (0.768~0.870),4.416 (3.173~6.258),0.996 (0.887~1.105),0.271 (-2.106~2.647),0.739 (0.748~0.803),4.747 (4.222~4.944),0.976 (0.858~1.093),0.664 (-1.897~3.225),0.999,0.583,1.023,-0.044
XGB,TROPOMI,1.000,0.127,1.002 (0.999~1.005),-0.041 (-0.103~0.020),0.797 (0.750~0.896),4.189 (2.912~5.743),1.006 (0.904~1.109),0.184 (-2.046~2.415),0.763 (0.739~0.823),4.518 (3.875~4.913),0.985 (0.874~1.096),0.389 (-2.047~2.824),0.999,0.852,1.034,0.051
LGB,OMI,1.000,0.044,1.003 (1.002~1.004),-0.042 (-0.057~-0.026),0.777 (0.731~0.905),4.404 (2.748~6.053),1.061 (0.947~1.176),-1.109 (-3.602~1.384),0.737 (0.707~0.771),4.754 (4.189~5.074),1.012 (0.890~1.134),-0.261 (-2.935~2.414),0.998,0.957,1.030,0.229
LGB,TROPOMI,1.000,0.049,1.003 (1.002~1.004),-0.043 (-0.061~-0.025),0.770 (0.750~0.895),4.469 (2.930~6.436),1.043 (0.928~1.158),-0.701 (-3.206~1.804),0.745 (0.732~0.800),4.684 (3.873~5.011),1.007 (0.888~1.126),-0.048 (-2.648~2.551),0.999,0.687,1.025,0.040
NN,OMI,0.985,3.253,1.170 (1.141~1.200),-0.278 (-0.847~0.290),0.618 (0.572~0.781),6.161 (5.138~8.363),0.904 (0.761~1.048),3.868 (0.991~6.745),0.662 (0.464~0.818),6.236 (4.626~7.581),0.937 (0.802~1.072),4.187 (1.601~6.772),0.988,3.080,1.117,0.663
NN,TROPOMI,0.989,2.567,1.099 (1.076~1.123),0.405 (-0.074~0.883),0.621 (0.537~0.721),6.159 (4.517~8.002),0.924 (0.778~1.070),3.607 (0.710~6.503),0.668 (0.510~0.832),5.808 (4.408~7.036),0.891 (0.764~1.018),4.085 (1.518~6.651),0.990,2.337,1.077,0.616
