model,product,training_slope,training_intercept,CV_slope,CV_intercept,spatialCV_slope,spatialCV_intercept,temporalCV_slope,temporalCV_intercept
SLR,OMI,1.019 (1.007~1.031),0.693 (0.438~0.948),1.003 (0.991~1.014),0.979 (0.723~1.235),1.015 (1.003~1.028),0.874 (0.616~1.132),0.976 (0.964~0.988),1.472 (1.208~1.736)
SLR,TROPOMI,1.024 (1.015~1.032),0.305 (0.109~0.501),1.014 (1.006~1.023),0.468 (0.271~0.666),1.017 (1.008~1.026),0.503 (0.303~0.703),1.017 (1.008~1.026),0.507 (0.308~0.707)
SLMER,OMI,1.030 (1.023~1.037),0.018 (-0.145~0.181),1.016 (1.008~1.023),0.328 (0.161~0.495),1.001 (0.993~1.008),0.850 (0.676~1.025),1.054 (1.041~1.068),0.104 (-0.177~0.384)
SLMER,TROPOMI,1.022 (1.015~1.029),0.168 (0.008~0.328),1.009 (1.002~1.016),0.431 (0.267~0.596),0.994 (0.987~1.002),0.815 (0.644~0.986),1.002 (0.989~1.015),0.985 (0.709~1.260)
RF,OMI,1.051 (1.046~1.055),-1.091 (-1.205~-0.977),0.984 (0.976~0.991),0.360 (0.174~0.545),0.995 (0.987~1.003),0.134 (-0.061~0.329),1.031 (1.024~1.038),-0.593 (-0.754~-0.433)
RF,TROPOMI,1.053 (1.048~1.057),-1.132 (-1.244~-1.020),0.982 (0.974~0.990),0.379 (0.195~0.562),1.003 (0.995~1.012),-0.035 (-0.229~0.158),1.050 (1.044~1.057),-0.987 (-1.140~-0.835)
XGB,OMI,1.039 (1.036~1.042),-0.800 (-0.874~-0.725),1.004 (0.997~1.011),0.154 (-0.004~0.311),0.976 (0.969~0.984),0.674 (0.501~0.846),0.951 (0.944~0.958),1.415 (1.259~1.571)
XGB,TROPOMI,1.037 (1.034~1.040),-0.759 (-0.833~-0.685),1.008 (1.001~1.015),0.180 (0.026~0.334),0.982 (0.975~0.989),0.479 (0.311~0.646),0.995 (0.988~1.001),0.841 (0.693~0.988)
LGB,OMI,1.025 (1.024~1.026),-0.496 (-0.522~-0.470),1.037 (1.030~1.043),-0.568 (-0.723~-0.412),1.004 (0.996~1.011),-0.066 (-0.241~0.109),1.001 (0.995~1.008),0.810 (0.657~0.963)
LGB,TROPOMI,1.024 (1.023~1.025),-0.475 (-0.501~-0.450),1.023 (1.017~1.030),-0.260 (-0.415~-0.105),0.997 (0.990~1.005),0.180 (0.010~0.351),1.003 (0.997~1.010),0.483 (0.339~0.628)
NN,OMI,1.160 (1.153~1.167),-0.109 (-0.247~0.029),0.939 (0.930~0.949),3.216 (3.017~3.414),0.963 (0.953~0.972),3.759 (3.565~3.953),0.904 (0.896~0.912),4.437 (4.266~4.608)
NN,TROPOMI,1.084 (1.078~1.090),0.678 (0.545~0.810),0.960 (0.951~0.969),2.946 (2.750~3.141),0.910 (0.901~0.918),3.748 (3.559~3.937),0.925 (0.918~0.933),3.409 (3.250~3.569)
