eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.01,1,1,0.65,0.8,730,6.6050436,0.6669632018225352
0.05,1,1,0.65,0.8,198,6.4932676,0.6743544304664287
0.1,1,1,0.65,0.8,75,6.5183159999999996,0.6764737577562292
0.3,1,1,0.65,0.8,20,6.6613018,0.663936367706844
0.01,3,1,0.65,0.8,430,6.2585672,0.698206727269544
0.05,3,1,0.65,0.8,100,6.2990402,0.6939008825369523
0.1,3,1,0.65,0.8,45,6.4669904,0.6772224794294083
0.3,3,1,0.65,0.8,15,6.5568844,0.6657262409314486
0.01,5,1,0.65,0.8,502,6.1442614,0.7093678761305987
0.05,5,1,0.65,0.8,100,6.2658376,0.6973691125999262
0.1,5,1,0.65,0.8,49,6.3193706,0.691924857644875
0.3,5,1,0.65,0.8,12,6.5085902,0.6782668662611926
0.01,10,1,0.65,0.8,621,6.2244582,0.7044522576851199
0.05,10,1,0.65,0.8,106,6.3506076,0.6921437390343739
0.1,10,1,0.65,0.8,105,6.386599,0.6878713253132471
0.3,10,1,0.65,0.8,20,6.6404176,0.670170385774997
0.01,1,3,0.65,0.8,730,6.6050436,0.6669632018225352
0.05,1,3,0.65,0.8,198,6.4932678,0.6743544304664287
0.1,1,3,0.65,0.8,75,6.5183159999999996,0.6764737577562292
0.3,1,3,0.65,0.8,20,6.661302,0.663936367706844
0.01,3,3,0.65,0.8,430,6.2424906,0.6996768566325978
0.05,3,3,0.65,0.8,93,6.341711800000001,0.689145011055913
0.1,3,3,0.65,0.8,59,6.47955,0.6758546443915359
0.3,3,3,0.65,0.8,13,6.7336232,0.652113039293641
0.01,5,3,0.65,0.8,484,6.1315942,0.710273675714061
0.05,5,3,0.65,0.8,101,6.1926702,0.704699202441916
0.1,5,3,0.65,0.8,48,6.4436422,0.6804068833456028
0.3,5,3,0.65,0.8,20,6.523238,0.6775480310262688
0.01,10,3,0.65,0.8,571,6.1478832,0.7106681167446441
0.05,10,3,0.65,0.8,133,6.316819,0.6942105109482694
0.1,10,3,0.65,0.8,53,6.4048296,0.6867957287362964
