month,name,value,model,product
1,Moran_I_statistic,-0.013990018018161136,GBM,TROPOMI
1,Expectation,-0.010101010101010102,GBM,TROPOMI
1,Variance,3.5437966111078934e-5,GBM,TROPOMI
1,p,0.7432145662756002,GBM,TROPOMI
2,Moran_I_statistic,-0.0197545840365354,GBM,TROPOMI
2,Expectation,-0.010526315789473684,GBM,TROPOMI
2,Variance,3.956033377462729e-5,GBM,TROPOMI
2,p,0.9288395933273439,GBM,TROPOMI
3,Moran_I_statistic,-0.022610181565580922,GBM,TROPOMI
3,Expectation,-0.010526315789473684,GBM,TROPOMI
3,Variance,3.923666411372898e-5,GBM,TROPOMI
3,p,0.9731421850137746,GBM,TROPOMI
4,Moran_I_statistic,-0.011956249206825552,GBM,TROPOMI
4,Expectation,-0.010526315789473684,GBM,TROPOMI
4,Variance,3.73186247890105e-5,GBM,TROPOMI
4,p,0.5925361978988625,GBM,TROPOMI
5,Moran_I_statistic,-0.05934185254136687,GBM,TROPOMI
5,Expectation,-0.010638297872340425,GBM,TROPOMI
5,Variance,3.953113950570203e-5,GBM,TROPOMI
5,p,0.9999999999999952,GBM,TROPOMI
6,Moran_I_statistic,-0.012316865743551843,GBM,TROPOMI
6,Expectation,-0.010638297872340425,GBM,TROPOMI
6,Variance,3.927017457870945e-5,GBM,TROPOMI
6,p,0.6055963690209006,GBM,TROPOMI
7,Moran_I_statistic,-0.01331842875518387,GBM,TROPOMI
7,Expectation,-0.010638297872340425,GBM,TROPOMI
7,Variance,3.965783407770151e-5,GBM,TROPOMI
7,p,0.6647967188961424,GBM,TROPOMI
8,Moran_I_statistic,-0.01385127971034322,GBM,TROPOMI
8,Expectation,-0.010638297872340425,GBM,TROPOMI
8,Variance,3.983708108326161e-5,GBM,TROPOMI
8,p,0.6946430848137446,GBM,TROPOMI
9,Moran_I_statistic,-0.013355211728499735,GBM,TROPOMI
9,Expectation,-0.010638297872340425,GBM,TROPOMI
9,Variance,3.994066208720342e-5,GBM,TROPOMI
9,p,0.6663660930198614,GBM,TROPOMI
10,Moran_I_statistic,-0.04474864824837575,GBM,TROPOMI
10,Expectation,-0.010526315789473684,GBM,TROPOMI
10,Variance,3.9384468170402064e-5,GBM,TROPOMI
10,p,0.9999999752567759,GBM,TROPOMI
11,Moran_I_statistic,-0.006105726731741151,GBM,TROPOMI
11,Expectation,-0.010526315789473684,GBM,TROPOMI
11,Variance,3.96216254377839e-5,GBM,TROPOMI
11,p,0.24125041650084075,GBM,TROPOMI
12,Moran_I_statistic,-0.01537201016170293,GBM,TROPOMI
12,Expectation,-0.010416666666666666,GBM,TROPOMI
12,Variance,3.7391015921773565e-5,GBM,TROPOMI
12,p,0.7911398553900038,GBM,TROPOMI
