month,name,value,model,product
1,Moran_I_statistic,-0.016749063399258208,LGB,OMI
1,Expectation,-0.010526315789473684,LGB,OMI
1,Variance,3.951814063960224e-5,LGB,OMI
1,p,0.8388843839186746,LGB,OMI
2,Moran_I_statistic,-0.007941365881537975,LGB,OMI
2,Expectation,-0.010526315789473684,LGB,OMI
2,Variance,3.974708249449668e-5,LGB,OMI
2,p,0.34089755577397723,LGB,OMI
3,Moran_I_statistic,-0.005606557854686871,LGB,OMI
3,Expectation,-0.010526315789473684,LGB,OMI
3,Variance,3.864769176530393e-5,LGB,OMI
3,p,0.21436279484281318,LGB,OMI
4,Moran_I_statistic,-0.012690956071289988,LGB,OMI
4,Expectation,-0.010526315789473684,LGB,OMI
4,Variance,3.6186853909178686e-5,LGB,OMI
4,p,0.6405168797859753,LGB,OMI
5,Moran_I_statistic,-0.02493521515971025,LGB,OMI
5,Expectation,-0.010638297872340425,LGB,OMI
5,Variance,3.939265249810225e-5,LGB,OMI
5,p,0.9886337533556576,LGB,OMI
6,Moran_I_statistic,-0.010574348283127614,LGB,OMI
6,Expectation,-0.010638297872340425,LGB,OMI
6,Variance,3.9088995698726434e-5,LGB,OMI
6,p,0.49591950362845305,LGB,OMI
7,Moran_I_statistic,-0.005079194529117152,LGB,OMI
7,Expectation,-0.010638297872340425,LGB,OMI
7,Variance,3.885285631956547e-5,LGB,OMI
7,p,0.18623586796316677,LGB,OMI
8,Moran_I_statistic,-0.015162906348980642,LGB,OMI
8,Expectation,-0.010638297872340425,LGB,OMI
8,Variance,3.975066923712049e-5,LGB,OMI
8,p,0.7635114492739772,LGB,OMI
9,Moran_I_statistic,-0.006452307001448029,LGB,OMI
9,Expectation,-0.010638297872340425,LGB,OMI
9,Variance,3.8329933889916495e-5,LGB,OMI
9,p,0.24947953204262246,LGB,OMI
10,Moran_I_statistic,-0.047809708156768764,LGB,OMI
10,Expectation,-0.010526315789473684,LGB,OMI
10,Variance,3.9141731315199435e-5,LGB,OMI
10,p,0.9999999987334133,LGB,OMI
11,Moran_I_statistic,-0.019495345582118417,LGB,OMI
11,Expectation,-0.010526315789473684,LGB,OMI
11,Variance,3.9382940385015446e-5,LGB,OMI
11,p,0.9235258599784397,LGB,OMI
12,Moran_I_statistic,-0.008588862995952391,LGB,OMI
12,Expectation,-0.010526315789473684,LGB,OMI
12,Variance,3.78460552023907e-5,LGB,OMI
12,p,0.376405533001649,LGB,OMI
