month,name,value,model,product
1,Moran_I_statistic,-0.031566080129392333,LGB,TROPOMI
1,Expectation,-0.010526315789473684,LGB,TROPOMI
1,Variance,3.911185291982206e-5,LGB,TROPOMI
1,p,0.9996162229976392,LGB,TROPOMI
2,Moran_I_statistic,-0.010789366048611011,LGB,TROPOMI
2,Expectation,-0.010526315789473684,LGB,TROPOMI
2,Variance,3.964857261947801e-5,LGB,TROPOMI
2,p,0.5166612934229488,LGB,TROPOMI
3,Moran_I_statistic,-0.0052612193998879085,LGB,TROPOMI
3,Expectation,-0.010526315789473684,LGB,TROPOMI
3,Variance,3.9379151586301715e-5,LGB,TROPOMI
3,p,0.20072859043853644,LGB,TROPOMI
4,Moran_I_statistic,-0.0042630919715324015,LGB,TROPOMI
4,Expectation,-0.010526315789473684,LGB,TROPOMI
4,Variance,3.752858768750623e-5,LGB,TROPOMI
4,p,0.15329804874233402,LGB,TROPOMI
5,Moran_I_statistic,-0.04361754469762392,LGB,TROPOMI
5,Expectation,-0.010638297872340425,LGB,TROPOMI
5,Variance,3.940121905480969e-5,LGB,TROPOMI
5,p,0.9999999255641886,LGB,TROPOMI
6,Moran_I_statistic,-0.01810032589366956,LGB,TROPOMI
6,Expectation,-0.010638297872340425,LGB,TROPOMI
6,Variance,3.908367420505071e-5,LGB,TROPOMI
6,p,0.8836829637227374,LGB,TROPOMI
7,Moran_I_statistic,-0.007949771788297096,LGB,TROPOMI
7,Expectation,-0.010638297872340425,LGB,TROPOMI
7,Variance,3.937554163127856e-5,LGB,TROPOMI
7,p,0.3341614639067336,LGB,TROPOMI
8,Moran_I_statistic,-0.018818529858372766,LGB,TROPOMI
8,Expectation,-0.010638297872340425,LGB,TROPOMI
8,Variance,4.019653827363207e-5,LGB,TROPOMI
8,p,0.9015167372719489,LGB,TROPOMI
9,Moran_I_statistic,-0.003337662135377466,LGB,TROPOMI
9,Expectation,-0.010638297872340425,LGB,TROPOMI
9,Variance,3.912288864203043e-5,LGB,TROPOMI
9,p,0.12156483564086405,LGB,TROPOMI
10,Moran_I_statistic,-0.03409744383492232,LGB,TROPOMI
10,Expectation,-0.010526315789473684,LGB,TROPOMI
10,Variance,3.947115656491777e-5,LGB,TROPOMI
10,p,0.9999122175548675,LGB,TROPOMI
11,Moran_I_statistic,-0.018891792572595684,LGB,TROPOMI
11,Expectation,-0.010526315789473684,LGB,TROPOMI
11,Variance,3.940055936582628e-5,LGB,TROPOMI
11,p,0.9086884431310239,LGB,TROPOMI
12,Moran_I_statistic,-0.010323929494311147,LGB,TROPOMI
12,Expectation,-0.010526315789473684,LGB,TROPOMI
12,Variance,3.814516975239966e-5,LGB,TROPOMI
12,p,0.48692945575090923,LGB,TROPOMI
