month,name,value,model,product
1,Moran_I_statistic,-0.02710706404461828,RF,TROPOMI
1,Expectation,-0.010526315789473684,RF,TROPOMI
1,Variance,3.9213518207338374e-5,RF,TROPOMI
1,p,0.9959492042164877,RF,TROPOMI
2,Moran_I_statistic,-0.02209693947650254,RF,TROPOMI
2,Expectation,-0.010526315789473684,RF,TROPOMI
2,Variance,3.968743771797698e-5,RF,TROPOMI
2,p,0.9668704075562117,RF,TROPOMI
3,Moran_I_statistic,-0.03129240724696222,RF,TROPOMI
3,Expectation,-0.010526315789473684,RF,TROPOMI
3,Variance,3.936748828735447e-5,RF,TROPOMI
3,p,0.9995329853305385,RF,TROPOMI
4,Moran_I_statistic,-0.022055592435809845,RF,TROPOMI
4,Expectation,-0.010526315789473684,RF,TROPOMI
4,Variance,3.863010898746834e-5,RF,TROPOMI
4,p,0.9682004165999115,RF,TROPOMI
5,Moran_I_statistic,-0.06895350995137231,RF,TROPOMI
5,Expectation,-0.010638297872340425,RF,TROPOMI
5,Variance,3.982896176558037e-5,RF,TROPOMI
5,p,1,RF,TROPOMI
6,Moran_I_statistic,-0.02659991873296762,RF,TROPOMI
6,Expectation,-0.010638297872340425,RF,TROPOMI
6,Variance,3.945002746944367e-5,RF,TROPOMI
6,p,0.9944777040463445,RF,TROPOMI
7,Moran_I_statistic,-0.0056356275589927885,RF,TROPOMI
7,Expectation,-0.010638297872340425,RF,TROPOMI
7,Variance,3.9368337115220986e-5,RF,TROPOMI
7,p,0.21263490139254151,RF,TROPOMI
8,Moran_I_statistic,-0.011653757478090044,RF,TROPOMI
8,Expectation,-0.010638297872340425,RF,TROPOMI
8,Variance,4.0020544477880764e-5,RF,TROPOMI
8,p,0.5637631020704424,RF,TROPOMI
9,Moran_I_statistic,-0.011364343773747733,RF,TROPOMI
9,Expectation,-0.010638297872340425,RF,TROPOMI
9,Variance,3.958653924466128e-5,RF,TROPOMI
9,p,0.5459343284775624,RF,TROPOMI
10,Moran_I_statistic,-0.04493562577446408,RF,TROPOMI
10,Expectation,-0.010526315789473684,RF,TROPOMI
10,Variance,3.9047222748434356e-5,RF,TROPOMI
10,p,0.9999999817050114,RF,TROPOMI
11,Moran_I_statistic,-0.013734067401043916,RF,TROPOMI
11,Expectation,-0.010526315789473684,RF,TROPOMI
11,Variance,3.931470291238441e-5,RF,TROPOMI
11,p,0.6955314961683091,RF,TROPOMI
12,Moran_I_statistic,-0.05475936657803061,RF,TROPOMI
12,Expectation,-0.010526315789473684,RF,TROPOMI
12,Variance,3.8365469659680114e-5,RF,TROPOMI
12,p,0.9999999999995377,RF,TROPOMI
