month,name,value,model,product
1,Moran_I_statistic,-0.017432322261792373,SLMER,OMI
1,Expectation,-0.010526315789473684,SLMER,OMI
1,Variance,3.825855946312853e-5,SLMER,OMI
1,p,0.8678980853031573,SLMER,OMI
2,Moran_I_statistic,-0.008014164254511805,SLMER,OMI
2,Expectation,-0.010526315789473684,SLMER,OMI
2,Variance,3.9442525311165775e-5,SLMER,OMI
2,p,0.34457707628981216,SLMER,OMI
3,Moran_I_statistic,-0.006407669704016842,SLMER,OMI
3,Expectation,-0.010526315789473684,SLMER,OMI
3,Variance,3.946468300151003e-5,SLMER,OMI
3,p,0.2560353121389101,SLMER,OMI
4,Moran_I_statistic,-0.006304575983264025,SLMER,OMI
4,Expectation,-0.010526315789473684,SLMER,OMI
4,Variance,3.92431033685859e-5,SLMER,OMI
4,p,0.250180374698539,SLMER,OMI
5,Moran_I_statistic,-0.037388699196999504,SLMER,OMI
5,Expectation,-0.010638297872340425,SLMER,OMI
5,Variance,4.0537884441526576e-5,SLMER,OMI
5,p,0.9999867397773397,SLMER,OMI
6,Moran_I_statistic,-0.004276734120699298,SLMER,OMI
6,Expectation,-0.010638297872340425,SLMER,OMI
6,Variance,3.990009911540354e-5,SLMER,OMI
6,p,0.15694096464684013,SLMER,OMI
7,Moran_I_statistic,-0.01197638461023242,SLMER,OMI
7,Expectation,-0.010638297872340425,SLMER,OMI
7,Variance,3.991127613393807e-5,SLMER,OMI
7,p,0.5838704639740778,SLMER,OMI
8,Moran_I_statistic,-0.009731257039199265,SLMER,OMI
8,Expectation,-0.010638297872340425,SLMER,OMI
8,Variance,3.9354714297081325e-5,SLMER,OMI
8,p,0.4425185847869005,SLMER,OMI
9,Moran_I_statistic,-0.0028991448327152533,SLMER,OMI
9,Expectation,-0.010638297872340425,SLMER,OMI
9,Variance,3.9799473733589225e-5,SLMER,OMI
9,p,0.10995897283684551,SLMER,OMI
10,Moran_I_statistic,-0.017795871054770148,SLMER,OMI
10,Expectation,-0.010526315789473684,SLMER,OMI
10,Variance,3.897796894514003e-5,SLMER,OMI
10,p,0.8778668775507581,SLMER,OMI
11,Moran_I_statistic,-0.029503794533071077,SLMER,OMI
11,Expectation,-0.010526315789473684,SLMER,OMI
11,Variance,3.901696272741788e-5,SLMER,OMI
11,p,0.998809893885071,SLMER,OMI
12,Moran_I_statistic,-0.008307956953293798,SLMER,OMI
12,Expectation,-0.010526315789473684,SLMER,OMI
12,Variance,3.7681066698572454e-5,SLMER,OMI
12,p,0.3589058045727425,SLMER,OMI
