month,name,value,model,product
1,Moran_I_statistic,-0.01587780975674074,SLR,OMI
1,Expectation,-0.010526315789473684,SLR,OMI
1,Variance,3.836273420716785e-5,SLR,OMI
1,p,0.806209618198364,SLR,OMI
2,Moran_I_statistic,-0.006315667349025428,SLR,OMI
2,Expectation,-0.010526315789473684,SLR,OMI
2,Variance,3.944616977576898e-5,SLR,OMI
2,p,0.25129524065238495,SLR,OMI
3,Moran_I_statistic,-0.010410359268129794,SLR,OMI
3,Expectation,-0.010526315789473684,SLR,OMI
3,Variance,3.9507538415769244e-5,SLR,OMI
3,p,0.4926406302292477,SLR,OMI
4,Moran_I_statistic,-0.009526716307951133,SLR,OMI
4,Expectation,-0.010526315789473684,SLR,OMI
4,Variance,3.928355413088649e-5,SLR,OMI
4,p,0.43664327297086436,SLR,OMI
5,Moran_I_statistic,-0.04571017919087222,SLR,OMI
5,Expectation,-0.010638297872340425,SLR,OMI
5,Variance,4.0563994672616676e-5,SLR,OMI
5,p,0.9999999817153022,SLR,OMI
6,Moran_I_statistic,-0.004926849561987081,SLR,OMI
6,Expectation,-0.010638297872340425,SLR,OMI
6,Variance,3.991000884875215e-5,SLR,OMI
6,p,0.18297733195657367,SLR,OMI
7,Moran_I_statistic,-0.013473260315240005,SLR,OMI
7,Expectation,-0.010638297872340425,SLR,OMI
7,Variance,3.99383897787414e-5,SLR,OMI
7,p,0.6731371870858145,SLR,OMI
8,Moran_I_statistic,-0.014035172353622566,SLR,OMI
8,Expectation,-0.010638297872340425,SLR,OMI
8,Variance,3.932129602881009e-5,SLR,OMI
8,p,0.7059903064724453,SLR,OMI
9,Moran_I_statistic,-0.0034423989674528103,SLR,OMI
9,Expectation,-0.010638297872340425,SLR,OMI
9,Variance,3.984567604606301e-5,SLR,OMI
9,p,0.12714883611375777,SLR,OMI
10,Moran_I_statistic,-0.012908425087845093,SLR,OMI
10,Expectation,-0.010526315789473684,SLR,OMI
10,Variance,3.899876798908396e-5,SLR,OMI
10,p,0.6485648679559645,SLR,OMI
11,Moran_I_statistic,-0.023587456161076673,SLR,OMI
11,Expectation,-0.010526315789473684,SLR,OMI
11,Variance,3.904380755312329e-5,SLR,OMI
11,p,0.9817037914369108,SLR,OMI
12,Moran_I_statistic,-0.0060496377752037225,SLR,OMI
12,Expectation,-0.010526315789473684,SLR,OMI
12,Variance,3.775097728812622e-5,SLR,OMI
12,p,0.23312185867097332,SLR,OMI
