layers,neurons,epochs,batch.size,regularization,regularization_factor,garson_selection,dropout_rate,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
1,5,25,3,NA,0.001,NA,0,29.080409330696884,56.50695015759553,3.564290674974043,5.58789350246291,0.7964810699232541,0.6115034722269781
2,5,25,3,NA,0.001,NA,0,32.0283133585117,115.24123144788368,3.824752017531778,7.343900920856603,0.7758148581951424,0.35965796215766554
3,5,25,3,NA,0.001,NA,0,29.51663044820479,70.50163071866899,3.512923297084353,6.044817844015426,0.7907120049172082,0.49557642602045204
4,5,25,3,NA,0.001,NA,0,26.717548999053513,54.72345298934835,3.4936713971450994,5.397735904026136,0.8005400218693158,0.6171832417743595
1,10,25,3,NA,0.001,NA,0,22.193004798026887,58.882652962406986,3.0795770799424296,5.739106971747576,0.8468556503973967,0.5964573733644551
2,10,25,3,NA,0.001,NA,0,20.931992111229285,61.35509124268635,3.0122672418837744,5.7018430515907665,0.8499343298195543,0.5891069904846397
3,10,25,3,NA,0.001,NA,0,19.928113338553434,53.42304448646372,2.9889624827924313,5.359356931088051,0.8543411305817574,0.6267517549895677
4,10,25,3,NA,0.001,NA,0,26.35120153495463,54.458436533566015,3.2320989349338185,5.432854739825259,0.813767129899922,0.6043752752192826
1,50,25,3,NA,0.001,NA,0,20.083509627261282,55.568984928989025,3.038527261859667,5.573265848894521,0.8916959886057457,0.6157168344781341
2,50,25,3,NA,0.001,NA,0,12.211546352846288,54.57416494296638,2.3066895139201025,5.489329519370324,0.9093670857737088,0.6097729052344738
3,50,25,3,NA,0.001,NA,0,19.763790086084356,57.11923810696271,3.2773090030607364,5.470504756829804,0.9008071384615504,0.6067656401420586
4,50,25,3,NA,0.001,NA,0,11.833860174317516,65.85538795053675,2.3668567422528537,5.856959075875102,0.913300416497693,0.5445141092824853
1,100,25,3,NA,0.001,NA,0,16.68295035675514,55.74269727186529,2.971553029661139,5.489923222856837,0.8921346832376518,0.6171997172989367
2,100,25,3,NA,0.001,NA,0,10.795350550119696,56.433005872553096,2.195528812293194,5.537118055905288,0.9198781236097583,0.604386333247603
